atmosphere,fbcount,fbscore,food,id,overall,reviewcount,selection,service
4.55,,,4.4375,96,87.99996,5,4.2,4.45
3.5,,,0,19055,73.33335,1,3.75,3.75
5,,,5,6770,100,1,5,5
4.5,,,4.375,14344,92.499975,2,4.5,4.875
3.785714286,,,3.875,98,83.09535,7,4.714285714,3.964285714
3.916666667,,,4,100,76.6667,3,4,3.583333333
4,,,4.25,15765,88.3334,1,4.75,4.5
4.625,,,0,2674,89.16665,2,4.375,4.375
4.25,,,0,16583,88.3334,1,4.75,4.25
4.625,,,4,113,88.33325,2,4,4.625
3.5,,,0,6057,71.6667,1,3.75,3.5
4.5,,,0,16236,90,1,4.5,4.5
5,,,0,2516,100,1,5,5
4,,,0,2517,93.3334,1,5,5
4.25,,,0,11932,83.3333,1,4,4.25
4,,,0,6139,82.22226667,3,4.333333333,4
4,,,0,9899,83.3334,1,4.5,4
4,,,0,11958,83.33335,1,4.25,4.25
4,,,0,6212,86.66675,1,4.75,4.25
3,,,0,6064,71.6668,1,4.25,3.5
4,,,0,6639,76.6668,1,4.5,3
3.75,,,0,5339,79.99995,1,3.75,4.5
3.5,,,0,3730,71.6667,1,3.75,3.5
4.75,,,0,2684,93.3334,1,5,4.25
3.75,,,3.75,2205,81.66675,1,4.5,4
4.25,,,4.25,4653,85.00005,1,4.5,4
3.75,,,4.25,11277,81.6667,1,4.25,4.25
4.5,,,5,11245,86.6666,1,4,4.5
4,,,4.5,3066,86.66675,1,4.75,4.25
3.5,,,4.5,6107,83.3334,1,4.5,4.5
4.25,,,4.5,5578,86.6667,1,4.5,4.25
4.5,,,4.5,6132,81.66665,1,4,3.75
4.5,,,4.5,2206,88.3333,1,4.25,4.5
4.75,,,4.75,11371,90.00005,1,4.75,4
4,,,4.25,6131,80.00005,1,4.25,3.75
4.25,,,4.5,5579,86.6667,1,4.5,4.25
4.5,,,4.5,146,89.99995,1,4.25,4.75
4.25,,,4.25,149,86.6667,2,4.5,4.25
4.5,,,4.25,150,84.999925,2,3.875,4.375
4.5,,,0,155,86.666575,2,3.875,4.625
1,,,0,9733,36.6671,1,4,0.5
1.5,,,0,9990,29.9999,1,1,2
4.75,,,4.25,5408,88.33325,1,4,4.5
4.25,,,4.25,5308,84.99995,1,4,4.5
3.75,,,4.75,8760,85.0001,1,4.75,4.25
4,,,0,18641,71.6666,1,3.25,3.5
2.5,,,0,5369,69.16695,2,4.875,3
4.5,,,4.25,191,89.99995,1,4.25,4.75
3,,,0,20797,66.6666,1,3,4
4.5,,,0,15897,90,1,4.5,4.5
3.5625,,,3.375,10357,75.000125,4,4.375,3.3125
3.625,,,4.5,207,83.333325,2,4.125,4.75
4.5,,,4.375,208,86.66665,2,4.25,4.25
3,,,0,12051,73.3333,1,3.5,4.5
3.875,,,4.416666667,211,76.249975,4,3.6875,3.875
4.75,,,4.875,216,92.77785,3,5,4.166666667
5,,,0,17518,96.6666,1,4.5,5
4.125,,,0,6206,87.499975,2,4.25,4.75
4.5,,,3.75,5908,80,1,4,3.5
3.875,,,0,225,73.33325,2,3.25,3.875
4.65,,,4.5,6565,96.33337,5,5,4.8
4.083333333,,,4.5,235,85.55556667,3,4.333333333,4.416666667
4.25,,,4.25,10979,88.33335,1,4.5,4.5
4.375,,,0,251,73.33315,2,2.75,3.875
3,,,0,12658,76.6669,1,5,3.5
4,,,0,5906,63.3331,1,2,3.5
4.25,,,0,274,87.5,2,4.375,4.5
2.5,,,0,17213,61.6667,1,3.25,3.5
4.75,,,5,2170,96.6667,2,5,4.75
4,,,0,11250,76.6667,1,4,3.5
5,,,0,12625,93.3332,1,4,5
4.5,,,0,3350,95.416675,4,4.8125,5
4,,,4.25,6056,81.6667,1,4.25,4
4,,,4.25,8839,81.66665,1,4,4.25
4.25,,,4.5,11276,84.99995,1,4,4.5
4.5,,,4.25,323,92.00002,5,4.7,4.6
4.5,,,4.75,19547,91.66665,1,4.5,4.75
4.75,,,4.75,6384,91.66665,1,4.5,4.5
4.583333333,,,4.875,10023,88.33325,3,4,4.666666667
5,,,0,5336,100,1,5,5
4.75,,,0,1960,98.33335,2,5,5
4,,,4.5,511,79.99995,1,3.75,4.25
4.625,,,4.625,349,83.333225,2,3.625,4.25
3.75,,,0,206,81.6666,1,3.75,4.75
4.25,,,4,19295,86.66675,1,4.75,4
3,,,1,17734,56.6667,1,3,2.5
2,,,0,19403,43.3333,1,2,2.5
3.625,,,4,6300,76.666675,2,3.875,4
4.5,,,4,3719,93.3333,1,4.5,5
3.625,,,0,375,83.3334,2,4.5,4.375
4.5,,,4.5,2171,84.99995,1,4,4.25
3.75,,,0,17342,78.3333,1,3.75,4.25
3.875,,,4.75,13029,86.666725,2,4.625,4.5
4.5,,,0,12507,86.6667,1,4.5,4
4.25,,,3.75,6055,81.6667,1,4.25,3.75
4.5,,,4.125,1834,93.33336667,3,4.833333333,4.666666667
4.3125,,,4.375,394,84.999975,4,4.125,4.3125
4.1875,,,4.166666667,6306,85.4166875,4,4.375,4.25
2,,,2.5,11858,61.66705,1,5,2.25
4.5,,,3.625,419,84.166625,2,4,4.125
3.5,,,3.625,424,84.1667,2,4.375,4.75
4.5,,,4.5,14158,88.33335,1,4.5,4.25
4,,,3,7619,80.0002,1,5,3
4,,,4.5,430,82.22218333,3,3.916666667,4.416666667
4.5,,,0,16582,84.99985,1,3.5,4.75
4,,,4.25,7385,78.33325,1,3.5,4.25
4.375,,,4.25,2172,84.166575,2,3.75,4.5
4.375,,,4.166666667,3722,86.2499625,4,4.125,4.4375
4.75,,,0,13684,95,1,4.75,4.75
4.25,,,4,9701,86.66665,1,4.25,4.5
3.833333333,,,3.25,2945,80.00005,3,4.25,3.916666667
4.541666667,,,0,438,95.000025,6,4.875,4.833333333
4.25,,,4.25,9998,88.3334,1,4.75,4.25
4,,,4.5,9801,78.33325,1,3.5,4.25
5,,,4.25,439,93.33325,1,4.25,4.75
4.75,,,4.25,5366,88.33335,1,4.5,4
4.5,,,0,6034,86.6667,1,4.5,4
4,,,0,19244,86.66665,1,4.25,4.75
4.25,,,0,4619,81.66665,1,4,4
5,,,0,6245,96.6666,1,4.5,5
4.5,,,4.25,17162,93.3333,1,4.5,5
3,,,0,479,76.6668,1,4.5,4
4.5,,,4,5907,74.99975,1,2.5,4.25
5,,,0,493,89.9998,1,3.5,5
4.5,,,0,502,88.3333,1,4.25,4.5
4.25,,,4.5,513,76.6666,1,3.5,3.75
4.125,,,4.5,515,75.8333,2,3.625,3.625
3.25,,,3.5,11199,71.6666,1,3.25,4.25
3.5,,,0,6213,70,1,3.5,3.5
4.5,,,2.75,18930,78.3332,1,3.25,4
4.583333333,,,4,14129,92.22223333,3,4.666666667,4.583333333
4,,,4.125,6553,83.3333,2,4,4.5
4.25,,,4,21125,86.66665,1,4.25,4.5
4,,,4.25,565,82.22225,3,4.25,4.083333333
1.75,,,0,3933,51.667,1,4.25,1.75
4.25,,,0,6268,84.166675,2,4.25,4.125
4.25,,,0,2174,74.99995,1,3.5,3.5
3.5,,,2.5,1971,71.66685,1,4.5,2.75
4,,,0,12300,81.66665,2,4,4.25
4.875,,,4,17285,92.499925,2,4.25,4.75
5,,,0,2656,100,1,5,5
3,,,3.25,5193,76.11128333,3,4.666666667,3.75
4.25,,,4,6087,81.66655,2,3.5,4.5
4.5,,,4.25,2215,86.6667,1,4.5,4
4,,,4.25,2216,83.33335,1,4.25,4.25
4.75,,,4.25,16689,93.33335,1,4.75,4.5
4.5,,,4.25,6618,86.66675,1,4.75,3.75
4.291666667,,,4.5625,614,88.33334167,6,4.458333333,4.5
5,,,4.75,10045,89.9999,1,4,4.5
3.875,,,0,9417,88.333425,2,4.875,4.5
4,,,4,647,80.00005,1,4.25,3.75
4.25,,,0,16495,68.33305,1,2,4
3.75,,,0,661,87.77785,3,4.75,4.666666667
4.916666667,,,0,12934,94.99995,3,4.5,4.833333333
4.1875,,,4.25,670,87.5000125,4,4.4375,4.5
3,,,0,16497,63.33345,1,3.75,2.75
4,,,0,672,78.33335,1,4,3.75
4,,,4.75,681,87.22226667,3,4.583333333,4.5
4,,,0,10990,80.833325,2,4,4.125
3.75,,,4.25,682,81.66665,1,4,4.5
3.5,,,0,2217,71.66675,2,4,3.25
4.5,,,4,5909,78.3332,1,3.25,4
4.25,,,3.25,5905,82.49995,2,3.875,4.25
4.25,,,4.25,7806,83.33335,1,4.25,4
4.25,,,3.5,2218,74.99985,1,3,4
3.75,,,0,704,73.3333,1,3.5,3.75
2,,,1.5,17547,40,1,2,2
4.625,,,4.625,706,88.750025,4,4.5625,4.125
2.5,,,0,9633,65.00005,1,3.5,3.75
4,,,2.75,2176,71.6666,1,3.25,3.5
4.75,,,4.75,2178,96.6667,1,5,4.75
4.25,,,4.25,2179,87.77776667,3,4.333333333,4.583333333
5,,,0,2659,100,1,5,5
4.5,,,4,4652,87.499975,2,4.25,4.375
4.5,,,3.5,14988,83.3332,1,3.5,4.5
4.125,,,4,729,80.833275,2,3.75,4.25
4.5,,,4.25,11358,87.7778,3,4.5,4.166666667
4.9375,,,4.875,734,95.8333375,4,4.8125,4.625
4.25,,,0,15606,81.66665,1,4,4
5,,,0,6559,93.3334,1,5,4
4.25,,,0,9982,81.66665,1,4,4
3.5,,,0,18404,68.33335,2,3.5,3.25
4.25,,,4.125,753,88.3333,2,4.25,4.75
5,,,4.25,18719,96.6667,1,5,4.5
4.375,,,4.75,1978,87.5001,2,4.875,3.875
4,,,0,6665,73.3332,1,3,4
4,,,0,15692,86.66665,1,4.25,4.75
4.25,,,4.5,6214,83.33325,1,3.75,4.5
3.5,,,0,13645,81.6667,1,4.25,4.5
4.75,,,4,774,86.24995,4,4.0625,4.125
5,,,0,5203,100,1,5,5
4.25,,,0,13846,88.333375,2,4.625,4.375
3.875,,,3.625,778,77.916575,4,3.4375,4.375
4.95,,,0,4687,97.00003,5,5,4.6
4.113636364,,,4.125,779,84.54548636,11,4.386363636,4.181818182
4.25,,,4.25,1979,84.99995,1,4,4.5
4.5,,,3,1980,93.3334,1,5,4.5
4,,,0,13355,76.6667,1,4,3.5
4.666666667,,,0,792,93.3333,3,4.5,4.833333333
4.285714286,,,4.25,796,87.38099286,7,4.571428571,4.25
4.125,,,4,799,82.499975,2,4,4.25
4.25,,,4.25,6105,79.99995,1,3.75,4
3.416666667,,,0,805,83.33343333,3,4.666666667,4.416666667
4,,,4,2231,76.6667,1,4,3.5
4.45,,,4.25,811,84.33331,5,4.1,4.1
4.5,,,0,8788,73.3331,1,2.5,4
4,,,4.25,7393,76.6665,1,3,4.5
3.75,,,4.5,1982,76.6667,1,4,3.75
4.75,,,3.75,16350,95.00005,1,5,4.5
4.25,,,4,17757,93.3334,1,5,4.75
4,,,4.75,12103,84.16675,2,4.625,4
4,,,0,15373,85.0001,1,4.75,4
4,,,0,8836,74.99985,1,3,4.25
4.625,,,0,13964,86.666675,2,4.375,4
4.25,,,4.75,6561,91.6667,1,4.75,4.75
4.25,,,0,15068,75,1,3.75,3.25
4.25,,,4.5,3229,86.11111667,3,4.333333333,4.333333333
4,,,0,6613,83.33335,1,4.25,4.25
4.583333333,,,0,12187,89.44448333,3,4.666666667,4.166666667
4.125,,,0,881,82.499975,2,4,4.25
3.875,,,0,882,81.666675,2,4.125,4.25
4.75,,,4.5,887,95.83335,2,4.875,4.75
5,,,4,1983,86.6668,1,5,3
4.4375,,,4.4375,10580,90.41675,4,4.9375,4.1875
3.75,,,0,907,78.3333,1,3.75,4.25
0.75,,,0,18679,13.3333,1,0.5,0.75
4.25,,,0,12865,85.833325,2,4.25,4.375
4.666666667,,,3.625,913,92.7778,6,4.75,4.5
4.375,,,4,2186,92.500075,2,5,4.5
4,,,4.75,928,69.9998,1,2.5,4
2,,,0,16585,43.3332,1,1.5,3
3.75,,,0,2188,76.6667,1,4,3.75
3.5,,,3.5,10009,73.3334,1,4,3.5
3.5,,,3.5,935,73.3334,1,4,3.5
3.5,,,3.75,10071,61.66655,1,2.5,3.25
4.5,,,0,11243,95,1,4.75,5
4,,,0,15534,85,1,4.25,4.5
4.25,,,4,6072,79.99995,1,3.75,4
4.25,,,4,1986,83.3333,1,4,4.25
3.75,,,0,18403,83.33335,1,4.25,4.5
2,,,0,14138,35.00005,1,2,1.25
4,,,0,11373,83.3333,1,4,4.5
4.833333333,,,3.25,977,91.11105,3,4.25,4.583333333
4,,,0,11951,83.33335,1,4.25,4.25
4,,,4,6876,73.3334,1,4,3
4,,,4.25,6350,79.99995,1,3.75,4.25
2,,,2.5,2191,26.6666,1,1,1
4.25,,,3.75,19405,88.3333,1,4.25,4.75
4.5,,,4.5,5414,88.33335,1,4.5,4.25
2.916666667,,,4.25,995,58.88898333,3,3.416666667,2.5
4,,,4.5,7979,74.99985,1,3,4.25
4,,,3.25,8838,86.666725,2,4.625,4.375
4,,,3.9,1008,83.33345,5,4.75,3.75
3.5,,,3.5,1009,78.3335,1,4.75,3.5
4.75,,,4.625,1010,95,2,4.75,4.75
1,,,4.5,17715,50.0005,1,5,1.5
1,,,4,11754,48.33385,1,5,1.25
4,,,3.666666667,3198,78.33332,5,3.85,3.9
5,,,0,21094,94.9999,1,4.25,5
4.5,,,0,14119,91.6667,1,4.75,4.5
4.5,,,0,11341,95.00005,1,5,4.75
3,,,0,14974,49.9999,1,2,2.5
4,,,4,6070,83.33335,1,4.25,4.25
5,,,2,20907,93.3332,1,4,5
3.5,,,2.9375,1033,57.9166625,4,2.875,2.3125
3.75,,,0,7445,71.66655,1,3,4
3.75,,,0,1037,83.3333,1,4,4.75
4,,,4.375,1059,79.58325,4,3.5625,4.375
4.5,,,0,2554,89.999975,2,4.375,4.625
4.5,,,4,9979,95.000025,2,4.875,4.875
3.75,,,4.5,11160,81.66665,1,4,4.5
4,,,3,1069,76.6666,1,3.5,4
3.5,,,0,16856,73.3334,1,4,3.5
3.75,,,3.5,19774,73.3332,1,3,4.25
4.125,,,0,16586,82.49995,2,3.875,4.375
3.5,,,0,13357,85.0001,1,4.75,4.5
4,,,2.5,1105,71.66655,1,3,3.75
4.25,,,4.5,1093,81.66665,1,4,4
4,,,4,2233,82.9167125,4,4.375,4.0625
4.25,,,4.25,2234,84.99985,1,3.5,5
4.3125,,,3.9375,1141,86.25,4,4.3125,4.3125
4.386363636,,,4.25,1145,90.90915455,11,4.863636364,4.386363636
4.5,,,4.25,11491,91.6667,1,4.75,4.5
2.5,,,3.375,1156,48.333375,2,2.625,2.125
4,,,0,3036,86.66665,1,4.25,4.75
3.625,,,3.333333333,1158,73.7499375,4,3.375,4.0625
4.5,,,4,1159,84.9999,1,3.75,4.5
3.625,,,3.75,1163,73.333275,2,3.375,4
4.5,,,0,7160,84.9998,1,3.25,5
4.4375,,,0,1164,87.0833875,4,4.625,4
3.25,,,0,6215,64.99995,1,3,3.5
3,,,4,1177,69.166775,2,4,3.375
3.75,,,4,7384,76.66655,1,3.25,4.5
3.9375,,,3.916666667,1180,84.5833375,4,4.25,4.5
4.75,,,4.5,6382,89.99995,1,4.25,4.5
3.875,,,4.25,1186,82.500075,2,4.5,4
4.5,,,4.25,10298,84.99995,1,4,4.25
4.75,,,4.75,1200,92.22226667,3,4.833333333,4.25
4.333333333,,,4.166666667,1211,87.77781667,3,4.583333333,4.25
4.5,,,4.375,371,90.00001667,3,4.583333333,4.416666667
4.25,,,0,12015,85.00005,1,4.5,4
4,,,0,17343,79.99995,1,3.75,4.25
4,,,4,6071,79.99995,1,3.75,4.25
4.0625,,,4,1233,79.58335,4,4.0625,3.8125
3.75,,,4.375,1237,78.88888333,3,3.916666667,4.166666667
4.25,,,0,2666,90.00005,1,4.75,4.5
5,,,5,11374,100,1,5,5
3.5,,,0,6004,78.3334,1,4.25,4
5,,,0,13311,96.6667,1,5,4.5
4,,,4.25,6985,81.66675,1,4.5,3.75
4.125,,,4.375,1264,82.499975,2,4,4.25
4.125,,,3.875,10262,75.833175,2,3,4.25
4.3125,,,4.166666667,1271,89.166675,4,4.5,4.5625
4.5,,,4.25,17856,90.0001,1,5,4
3.75,,,4.5,18111,85.000075,2,4.625,4.375
4.818181818,,,4.194444444,1277,95.75760909,11,4.954545455,4.590909091
4,,,3.5,9499,79.9999,1,3.5,4.5
4.25,,,4.5,1996,90.00005,1,4.75,4.5
3,,,0,15605,70.0001,1,4,3.5
1,,,0,1286,15.00005,1,1,0.25
4,,,0,20913,83.3334,1,4.5,4
4.375,,,4.125,2238,90.83335,2,4.625,4.625
3,,,0,11787,78.33355,1,5,3.75
4,,,0,6638,86.6666,1,4,5
2.75,,,4.25,14542,60.0001,1,3.5,2.75
4.75,,,0,16179,86.66665,1,4.25,4
3.25,,,2.75,8837,61.66665,1,3,3
4.25,,,0,18885,86.6667,1,4.5,4.25
4,,,3.75,9849,76.6666,1,3.5,4
3.875,,,0,3228,80.8333,2,3.875,4.375
2.5,,,0,2669,66.6669,1,4.5,3
4.35,,,4.375,1313,87.3333,5,4.2,4.55
4.5,,,4.5,1314,87.49998333,6,4.291666667,4.333333333
4.25,,,4,19374,83.33335,1,4.25,4
3.833333333,,,5,1327,77.22223333,3,3.916666667,3.833333333
3.75,,,3.5,17499,76.66675,1,4.25,3.5
4.25,,,4.375,12004,86.666675,2,4.375,4.375
2.125,,,0,19404,45.00005,2,2.5,2.125
4.25,,,0,2239,85.23820714,7,4.821428571,3.714285714
2.833333333,,,0,7951,65.00011667,3,3.833333333,3.083333333
4.25,,,0,7493,85.8334,2,4.625,4
4.25,,,0,14992,88.33335,1,4.5,4.5
4.25,,,0,6460,85.0001,1,4.75,3.75
4.25,,,3.875,1343,86.2499875,4,4.25,4.4375
3.916666667,,,4.25,1358,83.3333,3,4,4.583333333
5,,,0,1362,100,1,5,5
4.5,,,4,1368,86.6666,1,4,4.5
3,,,0,9980,78.33335,1,4,4.75
3.75,,,0,19806,83.33335,1,4.25,4.5
4.5,,,0,20182,90,1,4.5,4.5
3.75,,,4.25,13888,81.6667,1,4.25,4.25
4.166666667,,,3,1377,76.11115,3,4,3.25
3.25,,,3,20299,68.3334,1,3.75,3.25
4.5,,,0,2565,91.6667,1,4.75,4.5
5,,,3.75,11786,88.3333,1,4.25,4
2.75,,,0,10657,61.6668,1,3.75,2.75
4.25,,,0,2569,81.66665,1,4,4
4,,,0,10200,75,1,3.75,3.5
3.5,,,0,6208,71.6667,1,3.75,3.5
4,,,0,6065,81.6667,1,4.25,4
3.25,,,0,10206,68.33335,1,3.5,3.5
3,,,0,16478,76.6666,1,3.5,5
4.25,,,0,6453,83.3334,1,4.5,3.75
4.5,,,4.583333333,1427,91.66668333,3,4.666666667,4.583333333
4.5,,,4.75,18738,86.6667,1,4.5,4
4.5,,,0,11006,96.6667,1,5,5
5,,,4.75,10658,89.9999,1,4,4.5
4.75,,,4.5,11686,93.8889,3,4.75,4.583333333
4.5,,,4.25,16662,88.3334,1,4.75,4
4.125,,,4,6304,75.833475,2,4.5,2.75
4.333333333,,,3.5,2242,81.11123333,3,4.666666667,3.166666667
4.25,,,0,19061,84.99995,1,4,4.5
3.375,,,0,18968,69.999925,2,3.125,4
5,,,4.5,18678,100,1,5,5
5,,,0,18923,100,1,5,5
4.875,,,0,15003,84.999775,2,3.125,4.75
4,,,0,2479,73.3334,1,4,3
4,,,0,19301,81.6667,1,4.25,4
4.333333333,,,4.583333333,27,87.22223333,3,4.416666667,4.333333333
3.5,,,0,3152,70,1,3.5,3.5
4.375,,,0,2481,83.333275,2,3.875,4.25
1,,,0,11619,38.3337,1,3.75,1
4.75,,,0,8809,96.66665,1,4.75,5
5,,,4.5,19866,100,1,5,5
4.2,,,3.916666667,71,79.33342,5,4.4,3.3
5,,,0,14920,100,1,5,5
5,,,0,3864,98.3333,1,4.75,5
4,,,2.5,13477,86.666725,2,4.625,4.375
5,,,5,15667,100,2,5,5
4,,,4,5069,80,1,4,4
4.25,,,4.25,16385,85,1,4.25,4.25
4,,,0,10931,85.00005,1,4.5,4.25
4.525,,,4,190,91.666685,10,4.675,4.55
4.5,,,4,11836,90.0001,1,5,4
4.125,,,3.833333333,199,81.6666625,4,4.0625,4.0625
4.5625,,,4.75,200,92.08335,4,4.6875,4.5625
4.625,,,4,201,91.2499625,4,4.375,4.6875
5,,,0,3183,100,1,5,5
3.5,,,0,14013,74.9999,1,3.25,4.5
3.6,,,2.75,16548,83.33339,5,4.45,4.45
3.9375,,,3.5,223,78.7500375,4,4.125,3.75
4.875,,,4.5,238,94.166675,2,4.75,4.5
3.75,,,3.875,242,79.166675,2,4,4.125
3.875,,,4,3853,75.833325,2,3.75,3.75
4.5,,,3.625,3854,81.6666,2,3.75,4
3.5,,,0,16943,82.22223333,3,4.166666667,4.666666667
3.75,,,4.125,266,79.16665,2,3.875,4.25
3.6875,,,3.4375,6188,84.1667875,4,4.8125,4.125
4.5,,,0,8212,93.3334,1,5,4.5
4,,,4.5,9889,85,1,4.25,4.5
4.75,,,0,2486,94.99995,2,4.5,5
3,,,4.5,18415,66.667,1,5,2
4.25,,,4,313,86.42857143,7,4.321428571,4.392857143
4.464285714,,,0,315,82.61891429,7,3.464285714,4.464285714
5,,,0,13875,100,2,5,5
3.75,,,0,13926,85.00005,1,4.5,4.5
4.5,,,4,16194,87.5,2,4.375,4.25
4.25,,,0,13127,83.3333,1,4,4.25
4.0625,,,4,340,87.5000125,4,4.4375,4.625
4,,,0,2489,86.6668,1,5,4
4.125,,,0,16982,85.83325,2,3.875,4.875
5,,,0,14442,93.3332,1,4,5
4.25,,,4,10935,78.33325,1,3.5,4
4.25,,,4.25,351,80,1,4,3.75
4.25,,,0,17912,91.66665,1,4.5,5
5,,,0,6607,100,1,5,5
4,,,4.25,370,76.11106667,3,3.583333333,3.833333333
4.75,,,4.5,3865,88.3333,1,4.25,4.25
4.5,,,0,9457,76.6666,1,3.5,3.5
4.821428571,,,3.5,378,97.14287857,7,4.964285714,4.785714286
5,,,0,15876,100,1,5,5
4.25,,,4,10776,87.49995,2,4.125,4.75
3.375,,,0,12442,68.33335,2,3.5,3.375
4,,,0,18082,90.0001,1,5,4.5
4.333333333,,,0,12496,92.22226667,3,4.833333333,4.666666667
3.805555556,,,3.428571429,423,75.00002778,9,3.888888889,3.555555556
4.275,,,3.857142857,1932,85.1668,10,4.925,3.575
4.75,,,0,6922,88.33315,1,3.5,5
4.0625,,,4,5133,81.6667,4,4.25,3.9375
4.65625,,,0,495,92.29164375,8,4.5,4.6875
4,,,3.75,501,80,1,4,4
4.5,,,4.75,518,85.5555,3,4,4.333333333
4.75,,,0,13158,93.33325,1,4.25,5
4.5,,,4.5,15890,90,1,4.5,4.5
4.354166667,,,4.5,542,89.58336667,12,4.645833333,4.4375
3.75,,,0,12407,83.33335,1,4.25,4.5
5,,,0,16569,100,1,5,5
4,,,4,12916,83.3334,1,4.5,4
4,,,0,12106,86.6666,1,4,5
4.25,,,4,15993,94.166725,2,5,4.875
