"id","name","street","location_id","postal_code","country","phone","brewery_type_id","url","web"
98,Aiken Brewing Company,"104 Laurens St., SW","26,187","29801",USA,(803) 502-0707,6,/brewers/aiken/4017/,https://www.facebook.com/aikenbrewingcompany
102,Airdale Brewing Company,"8385 Miramar Mall, Ste 206","6,960","92121",USA,,1,/brewers/airdale/9800/,https://www.facebook.com/pages/Airdale-Brewing-Company/49673759080
103,Airline Brewing Company,"22 Mill Lane",,"04605",USA,(207) 584-2337,4,/brewers/airline/28397/,https://www.facebook.com/airlinebrewingcompany
104,Airways Brewing Company,"6644 S 196th St #T-100","4,751","98032",USA,(253) 200-1707,4,/brewers/airways/11438/,https://www.facebook.com/airwaysbrewing
106,Akademia Brewing Company,"150 Crane Dr.","7,083","30622",USA,,5,/brewers/akademia/30709/,https://www.facebook.com/AKADEMIABC/
107,Akasha Brewing Company,"909 East Market Street, Suite 700","11,333","40206",USA,(502) 742-7770,4,/brewers/akasha/22225/,https://www.facebook.com/AkashaBrewing
108,Aksarben Brewing Company,"11337 Davenport St.","20,641","68154",USA,,4,/brewers/aksarben/6606/,http://
114,Alameda Brewing Co.,"4765 NE Fremont Street","10,960","97213",USA,(503) 460-9025,6,/brewers/alameda/1471/,https://www.facebook.com/AlamedaBrewingCompany
115,Alameda Island Brewing Company,"1716 Park Street","6,479","94501",USA,(510) 217 8885,4,/brewers/alameda-island/22116/,https://www.facebook.com/AlamedaIslandBrewing
116,Alamo Beer Company,"202 Lamar Street","29,609","78202",USA,(210) 872-5589,4,/brewers/alamo-beer-company/8879/,https://www.facebook.com/AlamoBeerCo
117,Alamogordo Brewing Company,"817 Scenic Drive","17,309","88310",USA,(505) 434-4156,6,/brewers/alamogordo/14785/,http://http:
118,Alarmist Brewing,"4055 West Peterson Avenue, Rear Suite","11,056","60646",USA,,4,/brewers/alarmist-brewing/22547/,https://www.facebook.com/alarmistbrewing
119,Alaska Cider Company,"600 W. 58 Ave. Ste B","29,536","99518",USA,(907) 250-8362,7,/brewers/alaska-cider-company/13099/,https://www.facebook.com/pages/Celestial-Meads/60021699832
120,Alaskan Brewing Company,"5429 Shaune Dr","7,606","99801",USA,(907) 780-5866,4,/brewers/alaskan/4/,https://www.facebook.com/AlaskanBrewingCo
121,Alaskan Wilderness Wines,"498 Shearwater","23,232","99615",USA,(907) 486-1420,8,/brewers/alaskan-wilderness-wines/10908/,https://www.facebook.com/pages/Alaskan-Wilderness-Wines/129826110370922
122,Alba Vineyard,"269 Route 627",,"08848",USA,(908) 995-7800,7,/brewers/alba-vineyard/10228/,https://www.facebook.com/pages/Alba-Vineyard/250122010606
123,Albemarle Ciderworks,"2550 Rural Ridge Lane","6,706","22959",USA,(434) 297-2326,7,/brewers/albemarle-ciderworks/10625/,https://www.facebook.com/pages/Albemarle-Ciderworks/158971377471840
125,Albia Brewing Company,"11 Benton Ave","5,338","52531",USA,(641) 932-4085,6,/brewers/albia/17110/,https://www.facebook.com/AlbiaBrewingCompany
127,Albuquerque Brewing Company,"8620 Pan American Fwy NE","18,536","87113",USA,(505) 797-1842,4,/brewers/albuquerque/24543/,https://www.facebook.com/abqbrewco
128,Alcatraz Brewing,"20 City Blvd W, Ste R-1","8,044","92868",USA,(714) 939-8686,6,/brewers/alcatraz-brewing/11144/,https://www.facebook.com/AlcatrazBrewing
129,Alcatraz Brewing Company,"49 W. Maryland St. Ste 104 Circle Centre Mall","28,532","46204",USA,(317) 488-1230,6,/brewers/alcatraz/283/,https://www.facebook.com/profile.php?id=1460514487
134,Aldus Brewing Company,"555 Centennial Ave","15,303","17331",USA,,6,/brewers/aldus/24067/,https://www.facebook.com/aldusbrewing
135,Ale & Ocean Brew Pub,"7536 Fay Avenue","13,906","92037",USA,,6,/brewers/ale-and-ocean-brew-pub/3162/,http://
136,Ale Asylum,"2002 Pankratz Street",542,"53704",USA,(608) 663-3926,5,/brewers/ale-asylum/6879/,https://www.facebook.com/aleasylum
138,Ale House Brewing Company,"4020 Colmery Ct","22,819","95118",USA,(408) 390-7574,4,/brewers/ale-house/26906/,https://www.facebook.com/Ale-House-Brewing-Company-295956787124211
139,Ale Industries,"3096 East 10th St.","9,012","95601",USA,(925) 470-5280,4,/brewers/ale-industries/10397/,https://www.facebook.com/pages/Ale-Industries/86191682727
142,Ale Republic,"28 Arroyo Seco","13,888","87008",USA,(505) 2812828,6,/brewers/ale-republic/30720/,https://www.facebook.com/alerepublic/
143,Ale Syndicate Brewers,"2601 W. Diversey Ave.","11,056","60647",USA,(773) 340-2337,4,/brewers/ale-syndicate-brewers/16219/,https://www.facebook.com/AleSyndicate
146,Aleman Brewing,,"11,056",,USA,(812) 340-4198,1,/brewers/aleman-brewing/18193/,https://www.facebook.com/pages/Aleman-Brewing/264505396906121
150,Alesatian Brewing Company,"23 North Loudoun","1,906","22601",USA,(540) 6672743,5,/brewers/alesatian/28169/,https://www.facebook.com/AlesatianBrewing
151,AleSmith Brewing Company,"9990 AleSmith Ct","6,960","92126",USA,(858) 549-9888,4,/brewers/alesmith/432/,https://www.facebook.com/AleSmithBrewing
152,Alesong Brewing & Blending,PO Box 23303,"20,189","97402",USA,(541) 972-3303,4,/brewers/alesong-brewing-and-blending/27576/,https://www.facebook.com/alesongbrewing
153,AleWerks Brewing Company,"189-B Ewell Rd","28,166","23188",USA,(757) 220-3670,4,/brewers/alewerks/7755/,https://www.facebook.com/AleWerks
159,Algomah Acres Honey House Meadery,"611 Plank Road","15,227","49929",USA,(906) 883-3894,8,/brewers/algomah-acres-honey-house-meadery/16592/,https://www.facebook.com/pages/Algomah-Acres-Honey-House-Meadery/124502994321555
160,Alibi Ale Works,"204 E. Enterprise St","6,123","89451",USA,(775) 298-7001,5,/brewers/alibi-ale-works/21714/,https://www.facebook.com/AlibiAleWorks
161,Alien Brew Pub,"6601 Uptown Blvd","18,536","87110",USA,(505)  884-1116,6,/brewers/alien-brew-pub/26429/,https://www.facebook.com/abqbrewpub
163,All American Grill & Brewhouse,"101 Summerfield Drive","15,396","55390",USA,,6,/brewers/all-american-brewhouse/9418/,http://www.grillandbrew.com
167,All Rise Brewing Company,"235 N. Ashland Ave.","11,056","60607",USA,(312) 226-6300,4,/brewers/all-rise/19924/,https://www.facebook.com/allrisebrewing
169,All Saints Brewing Company,"1602 Route 119","8,547","15601",USA,(724) 289-1202,4,/brewers/all-saints/13430/,https://www.facebook.com/allsaintsbrewing
173,Allagash Brewing Company,"50 Industrial Way","11,808","04103",USA,(800) 330-5385,4,/brewers/allagash/525/,https://www.facebook.com/pages/Allagash-Brewing-Company/111357972232101
323,Anzalone Special Beer,,"8,798","18708",USA,,1,/brewers/anzalone-special-beer/29455/,https://www.facebook.com/anzalonespeciallager/
175,Allegheny City Brewing,"407 Foreland Street","18,744","15212",USA,(412) 904-3732,4,/brewers/allegheny-city-brewing/28937/,https://www.facebook.com/Allegheny-City-Brewing-1524325011166863/
182,Alliance Brewing Company,"1130 Sevier Ave","10,184","37920",USA,,4,/brewers/alliance/24940/,https://www.facebook.com/AllianceBrewingCo
183,Alligator Brewing Company (aka: Tall Paul Brew House),"10 SE 2nd Ave.","21,610","32601",USA,(352) 505-0990,6,/brewers/alligator-aka-tall-paul-brew-house/12582/,https://www.facebook.com/pages/Alligator-Brewing-Co/360641719554
184,Alloy Brewing Company,"2700 Coon Rapids Blvd",,"55433",USA,,4,/brewers/alloy/31733/,https://www.facebook.com/AlloyBrewingCompany
185,Alltech Lexington Brewing And Distilling,"401 Cross Street","6,648","40508",USA,(859) 225-8095,4,/brewers/alltech-lexington-brewing-and-distilling/1212/,https://www.facebook.com/KentuckyAle
186,Alluvial Brewing Company,"3715 West 190th Street","20,969","50014",USA,(515) 337-1182,4,/brewers/alluvial/23826/,https://www.facebook.com/alluvialbrewing
187,Alma Brewing Company,"208 E Superior Street","26,774","48801",USA,(989) 462-0208,5,/brewers/alma/25724/,https://www.facebook.com/almabrewing
188,Almanac Beer Company,"2339 3rd Street, Suite 20","9,350","94107",USA,(415) 992-3438,1,/brewers/almanac-beer-company/13058/,https://www.facebook.com/almanacbeer
189,Almar Orchards,"1431 Duffield Rd","18,947","48433",USA,(810) 659-6568,7,/brewers/almar-orchards/4138/,https://www.facebook.com/pages/Almar-Orchards/145428512143967
192,Aloha Beer Company (formerly: Big Aloha Brewery),"580 N. Nimitz Highway","10,133","96817",USA,(808) 545-7979,6,/brewers/aloha-beer-company-formerly-big-aloha-brewery/3372/,https://www.facebook.com/AlohaBeerCo/
193,Alosta Brewing Co.,"692 Arrow Grand Circle","21,191","91722",USA,(626) 470-7897,4,/brewers/alosta/17784/,https://www.facebook.com/AlostaBrewingCo
194,Alpenfire Cider,"220 Pocket Lane","13,213","98368",USA,(360) 379-8915,7,/brewers/alpenfire-cider/11249/,https://www.facebook.com/pages/Alpenfire-Cider/126530330750964
195,Alpenglow Beer Company,,"14,521","94549",USA,,1,/brewers/alpenglow-beer-company/27271/,https://www.facebook.com/buckwildbeer
196,Alpha Acid Brewing Company,"121 Industrial Rd Ste 12","13,220","94002",USA,(650) 594-2337,4,/brewers/alpha-acid/21468/,https://www.facebook.com/pages/Alpha-Acid-Brewing-Company/296933900455230
197,Alpha Brewing Company,"1409 Washington Ave Rear",,"63101",USA,(314) 621-2337,4,/brewers/alpha/16281/,https://www.facebook.com/pages/Alpha-Brewing-Co/299694693433793
201,Alphabet City Brewing Company,"7th Street and Avenue A",,"10009",USA,(646) 331 4183,1,/brewers/alphabet-city/14401/,https://www.facebook.com/pages/Alphabet-City-Brewing-Co-ACBC/287859064575924
202,Alpine Beer Company (CA),"2363 Alpine Blvd","2,202","91901",USA,(619) 445-2337,4,/brewers/alpine-beer-company-ca/2776/,https://www.facebook.com/alpinebeercompany
203,Alpine Brewing Company (WA),"821 Fourteenth Street","20,320","98844",USA,(509) 476-9662,4,/brewers/alpine-wa/2902/,https://www.facebook.com/pages/ALPINE-BREWING-COMPANY/58635402333
204,Alpine Dog Brewery,"1505 Ogden St","8,398","80218",USA,(720) 214-5170,4,/brewers/alpine-dog-brewery/21444/,https://www.facebook.com/alpinedogbrewery
205,Alpine Village Hofbrau,"833 W. Torrance Blvd.","13,628","90502",USA,(310) 327-4384,6,/brewers/alpine-village-hofbrau/1902/,https://www.facebook.com/thealpinevillage
207,Alt Brew,"1808 Wright Street",542,"53704",USA,(608) 352-3373,4,/brewers/alt-brew/19602/,https://www.facebook.com/altbrew
208,Alt Platz Brewing Company,"615 High St",365,"23704",USA,,6,/brewers/alt-platz/7812/,http://www.altplatzbrewing.com/
210,Altamont Beer Works,"2402 Research Dr","26,311","94550",USA,(925) 443-2337,4,/brewers/altamont-beer-works/14781/,https://www.facebook.com/pages/Altamont-Beer-Works/310137182336613
211,Altamont Brewing Company,"1042 Haywood Road","13,139","28806",USA,(828) 575-2400,5,/brewers/altamont/16026/,https://www.facebook.com/pages/The-Altamont-Brewing-Company/175609402477826
216,Alter Brewing Company,"2300 Wisconsin Ave  # 213","10,542","60515",USA,(630) 541-9558,5,/brewers/alter/25472/,https://www.facebook.com/Alter-Brewing-Company-788285347877043/
217,Alter Ego Cider,,"10,960",,USA,(503) 757-5881,7,/brewers/alter-ego-cider/28997/,https://www.facebook.com/AlterEgoCider
220,Altitude Chophouse and  Brewery,"302 S 2nd St","28,795","82070",USA,(307) 721-4031,6,/brewers/altitude-chophouse-and-brewery/3569/,https://www.facebook.com/altitudechophouse
222,Altruist Brewing Company,"559 Main Street Unit 105","22,842",,USA,,4,/brewers/altruist/31142/,https://www.facebook.com/altruistbrewingco/
223,Altstadt Brewery,"6120 US Hwy 290 East","10,951","78624",USA,(830) 304-2337,4,/brewers/altstadt-brewery/31245/,https://www.facebook.com/altstadtbrewery/
226,Alulu Brew,"2011 South Laflin Street","11,056","60608",USA,,6,/brewers/alulu-brew/30803/,https://www.facebook.com/AluluBrew
227,Alvarado Street Brewery,"426 Alvarado St","5,811","93940",USA,(831) 655-2337,5,/brewers/alvarado-street-brewery/19601/,https://www.facebook.com/alvaradostreetbrewery
229,Amador Brewing Company,"9659 Main Street","26,927","95669",USA,(209) 507-1900,5,/brewers/amador/23189/,https://www.facebook.com/amadorbrewingcompany
230,Amalgam Brewing,"101 2nd Avenue","17,306","80544",USA,,4,/brewers/amalgam-brewing/27376/,https://www.facebook.com/Amalgam-Brewing-880948411989504/
231,Amalgamated Brewing Company / The Stable Brew House,"1921 Cherokee Street",,"63118",USA,(314) 771-8500,6,/brewers/amalgamated--the-stable-brew-house/10519/,https://www.facebook.com/amalgamatedbrew
234,Ambacht Brewing,"1060 NE 25th Ave Suite B","29,247","97124",USA,(503) 828-1400,4,/brewers/ambacht-brewing/11410/,https://www.facebook.com/AmbachtAle
238,Amber Lantern Brewing,"44 N Main Street","14,468","14569",USA,(585) 786-3559,6,/brewers/amber-lantern-brewing/25874/,https://www.facebook.com/amber.lantern
242,Ambrosia Meadery,"4921 85th Avenue W","5,736","98467",USA,(206) 851-6363,8,/brewers/ambrosia-meadery/3739/,http://www.ambrosiamead.com/
244,Amelia Tavern,"318 Center Street","7,850","32034",USA,(904) 3106088,4,/brewers/amelia-tavern/27565/,http://ameliatavernbrewery.com
245,American Beverage,"914 SW 5th St",,"73109",USA,(405) 232-3022,1,/brewers/american-beverage/16147/,http://olglorybeer.com/
246,American Brewing Company (Pacific Brewing & Malting Company),"180 West Dayton Street","15,400","98020",USA,(425) 774-1717,4,/brewers/american-pacific-brewing-and-malting-company/12589/,https://www.facebook.com/pages/American-Brewing-Company/135960839795485
247,American Honor Beer Company,"700 N Pennsylvania Avenue",,"18705",USA,(800) 961-8176,1,/brewers/american-honor-beer-company/11617/,https://www.facebook.com/pages/American-Honor-Beer-Company/117355608348000
248,American River Brewing Co.,"11151 Trade Center Dr. #104","20,372","95670",USA,(916) 635-2537,4,/brewers/american-river/1500/,https://www.facebook.com/pages/American-River-Brewing-Company/800870413341470
249,American Solera,"1803 S 49th W Ave","7,924","74107",USA,(918) 949-4318,4,/brewers/american-solera/26797/,https://www.facebook.com/Americansolera
250,Americas Brewpub,"205 N. Broadway","9,001","60505",USA,(630) 892-0034,6,/brewers/americas-brewpub/2989/,https://www.facebook.com/americas.brewpub
251,Amerisports Brew Pub at Ameristar Casino,"8201 NE Birmingham Rd","21,489","64161",USA,(816) 414-7000,6,/brewers/amerisports-brew-pub-at-ameristar-casino/1829/,https://www.facebook.com/Ameristar.Casino.KC
252,Amherst Brewing Company,"10 University Drive","15,069","01002",USA,(413) 253-4400,6,/brewers/amherst/2073/,https://www.facebook.com/AmherstBrewingCo
253,Amicas Pizza & Microbrew,"136 E Second St","26,615","81201",USA,(719) 539-5219,5,/brewers/amicas-pizza-and-microbrew/4030/,https://www.facebook.com/amicaspizzaandbrewery
256,AMMO Brewing,"235 N Market Street","29,404","23803",USA,(804) 722-1667,4,/brewers/ammo-brewing/28054/,https://www.facebook.com/ammobrewing
257,Amnesia Brewing,"1834 Main St.","15,965","98671",USA,(360) 335-1008,6,/brewers/amnesia-brewing/4887/,https://www.facebook.com/pages/Amnesia-Brewing/111919678932987
260,Amplified Ale Works,"4150 MIssion Blvd, Ste 208","6,960","92109",USA,(858) 270-5222,4,/brewers/amplified-ale-works/15292/,https://www.facebook.com/amplifiedales
266,Anacapa Brewing Company,"472 E. Main Street","11,044","93001",USA,(805) 643-BEER,6,/brewers/anacapa/5873/,https://www.facebook.com/pages/Anacapa-Brewing-Company/80288547476
268,Anaheim Brewery,"336 South Anaheim Boulevard","14,147","92805",USA,(714) 780-1888,4,/brewers/anaheim-brewery/13079/,https://www.facebook.com/anaheimbrewery
271,Ancestry Brewery,"20585 SW Tualatin-Sherwood Road","22,609","97062",USA,(503) 454-0821,6,/brewers/ancestry-brewery/27622/,https://www.facebook.com/pages/Ancestry-Brewing/880004915417045
272,Anchor Brewing Company,"1705 Mariposa Street","9,350","94107",USA,(415) 863-8350,4,/brewers/anchor/11/,https://www.facebook.com/anchorbrewing
273,Anchorage Brewing Company,"148 W 91st Ave","29,536","99515",USA,(907) 360-5104,4,/brewers/anchorage/12723/,https://www.facebook.com/pages/Anchorage-Brewing-Company/329603410491223
274,Ancient City Brewing,"3420 Agricultural Center Drive  Suite 8","3,208","32092",USA,(904) 429-9654,4,/brewers/ancient-city-brewing/24287/,https://www.facebook.com/ancientcitybrewing
275,Ancient Lakes Brewing,"21547 Road 11.2 NW","11,621","98848",USA,(509) 398-2703,4,/brewers/ancient-lakes-brewing/12932/,https://www.facebook.com/pages/Ancient-Lakes-Brewing-Company/10150127004000626
277,Andean Brewing Company,,"9,149","10913",USA,(646) 450-5852,1,/brewers/andean/14173/,https://www.facebook.com/kukabeer
279,Anderson Valley Brewing Company,"17700 Highway 253","5,894","95415",USA,(707) 895-2337,4,/brewers/anderson-valley/60/,https://www.facebook.com/AndersonValleyBrewingCompany
280,Andersons Vineyard & Winery,"430 E. US-6",566,"46383",USA,(219) 464-4936,7,/brewers/andersons-vineyard-and-winery/10900/,https://www.facebook.com/AndersonsWinery
281,Andersonville Brewing Company,"5400 N. Clark","11,056","60640",USA,(773) 7846969,6,/brewers/andersonville/10911/,https://www.facebook.com/maryschicago
285,Andrews Brewing Company,"565 Aquone Road","22,007","28901",USA,(828) 321-2006,4,/brewers/andrews/18735/,https://www.facebook.com/AndrewsBrewing
288,Andys Brewpub,"2521 Atlantic Highway","16,195","04849",USA,(207) 789-5550,6,/brewers/andys-brewpub/1093/,https://www.facebook.com/Andys-Brew-Pub-Lobster-Pound-398179753656507/
290,Angel City Brewing Company,"216 S Alameda St","20,952","90013",USA,(310) 329-8881,4,/brewers/angel-city/433/,https://www.facebook.com/AngelCityBeer
291,Angelic Brewing Company,"322 W. Johnson St.",542,"53703",USA,,6,/brewers/angelic/359/,http://www.angelicbrewing.com/
293,Angry Cedar Brewing,"730 Technology Place","17,173","50677",USA,(319) 961-8162,4,/brewers/angry-cedar-brewing/12857/,https://www.facebook.com/pages/Angry-Cedar-Brewing-Co/188881835494
294,Angry Chair Brewing,"6401 N. Florida Avenue","24,636","33604",USA,(813) 892-1651,4,/brewers/angry-chair-brewing/16719/,https://www.facebook.com/angrychairbrewing
295,Angry Erik Brewing,"10 Millpond Drive","17,248","07848",USA,(862) 432-9003,4,/brewers/angry-erik-brewing/18883/,https://www.facebook.com/pages/Angry-Erik-Brewing/513992115320294
296,Angry Goat Brewing Company,"8525 Mckenny Ln SW","2,544","98512",USA,,4,/brewers/angry-goat/23361/,https://www.facebook.com/pages/Angry-Goat-Brewing/379690258774542
297,Angry Hanks Micro Brewery,"20 N. 30th Street","23,461","59101",USA,(406) 252-3370,4,/brewers/angry-hanks-micro-brewery/8682/,https://www.facebook.com/pages/Angry-Hanks-Micro-Brewery/115890695097741
298,Angry Inch Brewing,"20841 Holyoke Ave","14,012","55044",USA,,4,/brewers/angry-inch-brewing/25929/,https://www.facebook.com/Angry-Inch-Brewing-632502360094820
299,Angry Minnow,"10440 Florida Avenue","3,070","54843",USA,(715) 934-3055,6,/brewers/angry-minnow/5850/,https://www.facebook.com/AngryMinnowBrewPub
300,Angry Orchard (Boston Beer Company),"1625 Central Parkway","9,416","45202",USA,,7,/brewers/angry-orchard-boston-beer-company/13519/,https://www.facebook.com/pages/Angry-Orchard/223248931062039
301,Angry Troll Brewing,"222 E Main Street, Suite U6","5,131","28621",USA,,4,/brewers/angry-troll-brewing/30127/,https://www.facebook.com/angrytrollbrewing
302,Anheuser-Busch InBev,One Busch Place,,"63119",USA,(800) 342-5283,3,/brewers/anheuser-busch-inbev/84/,https://www.facebook.com/Budweiser
303,Animas Brewing Company,"1560 E 2nd Ave","20,656","81301",USA,(970) 403-8850,5,/brewers/animas/21746/,https://www.facebook.com/animasbrewing
307,Annandale Cidery,"8 Davis Way","6,594","12571",USA,(845) 758-6338,7,/brewers/annandale-cidery/13578/,https://www.facebook.com/pages/Montgomery-Place-Orchards-Farm-Market/192877647425828
311,Another Road Brewing,"1175 8th Ave","14,009","52302",USA,(319) 212-8563,5,/brewers/another-road-brewing/20629/,https://www.facebook.com/pages/Another-Road-Brewing/225604440948579
