"id","city","state_code","state_name"
737,Sykeston,ND,North Dakota
738,Tallmadge,OH,Ohio
739,Saunemin,IL,Illinois
740,McAllen,TX,Texas
741,Chloride,AZ,Arizona
742,Beirne,AR,Arkansas
743,Bethel Springs,TN,Tennessee
744,Goodwin,SD,South Dakota
745,Russian Mission,AK,Alaska
746,Bear Creek,PA,Pennsylvania
747,Halfway,KY,Kentucky
748,Niles,MI,Michigan
749,Recluse,WY,Wyoming
750,Elmhurst,PA,Pennsylvania
751,La Pointe,WI,Wisconsin
752,Wolf Creek,MT,Montana
753,Zapata,TX,Texas
754,Randolph,NE,Nebraska
755,Davisboro,GA,Georgia
756,Sundance,WY,Wyoming
757,Fruitvale,TN,Tennessee
758,Grafton,WV,West Virginia
759,Grassy Creek,NC,North Carolina
760,Briggsville,AR,Arkansas
761,Meeker,OK,Oklahoma
762,Diller,NE,Nebraska
763,Harlan,IN,Indiana
764,Davison,MI,Michigan
765,Kents Hill,ME,Maine
766,South Hill,VA,Virginia
767,Redford,NY,New York
768,Headland,AL,Alabama
769,Inwood,NY,New York
770,Trafalgar,IN,Indiana
771,Brewer,ME,Maine
772,Wolf Lake,MN,Minnesota
773,Lake Park,IA,Iowa
774,Julian,WV,West Virginia
775,Mayer,MN,Minnesota
776,Gentry,MO,Missouri
777,Santa Teresa,NM,New Mexico
778,Ary,KY,Kentucky
779,Killduff,IA,Iowa
780,Lloyd,FL,Florida
781,Boles,AR,Arkansas
782,North Street,MI,Michigan
783,Luke,MD,Maryland
784,Everson,WA,Washington
785,Grove City,MN,Minnesota
786,Cold Spring Harbor,NY,New York
787,Campbellsburg,IN,Indiana
788,Cedar Vale,KS,Kansas
789,Upatoi,GA,Georgia
790,North Highlands,CA,California
791,Upperville,VA,Virginia
792,Weston,MI,Michigan
793,Amlin,OH,Ohio
794,Elkton,MI,Michigan
795,Page,AZ,Arizona
796,Cove City,NC,North Carolina
797,Mount Bethel,PA,Pennsylvania
798,Winigan,MO,Missouri
799,Walkerton,IN,Indiana
800,Oberlin,KS,Kansas
801,Marlin,WA,Washington
802,La Push,WA,Washington
803,Geneva,FL,Florida
804,Nahma,MI,Michigan
805,Limestone,TN,Tennessee
806,New Roads,LA,Louisiana
807,Pipestem,WV,West Virginia
808,Palm Bay,FL,Florida
809,Monterey,MA,Massachusetts
810,Coventry,CT,Connecticut
811,Stewartsville,MO,Missouri
812,Midvale,UT,Utah
813,Victor,WV,West Virginia
814,Washington,AR,Arkansas
815,Ridgefield Park,NJ,New Jersey
816,Rockville,IN,Indiana
817,Brashear,MO,Missouri
818,Newton,KS,Kansas
819,Kingston,GA,Georgia
820,Strandquist,MN,Minnesota
821,Powell,WY,Wyoming
822,Wallace,WV,West Virginia
823,Salisbury,MD,Maryland
824,Lysite,WY,Wyoming
825,Buchanan,ND,North Dakota
826,Penryn,PA,Pennsylvania
827,Maunie,IL,Illinois
828,Lilburn,GA,Georgia
829,Manchester,NY,New York
830,Platte City,MO,Missouri
831,Hastings,PA,Pennsylvania
832,Zillah,WA,Washington
833,Gay,WV,West Virginia
834,Chelsea,AL,Alabama
835,Missouri City,TX,Texas
836,Simon,WV,West Virginia
837,Hampton,NJ,New Jersey
838,Buffalo,MT,Montana
839,Calvin,KY,Kentucky
840,Piedmont,SD,South Dakota
841,York,AL,Alabama
842,Bouse,AZ,Arizona
843,Wilsonburg,WV,West Virginia
844,Argenta,IL,Illinois
845,Calexico,CA,California
846,Corunna,IN,Indiana
847,Christopher,IL,Illinois
848,Weir,KS,Kansas
849,Trappe,MD,Maryland
850,Ukiah,CA,California
851,Brazoria,TX,Texas
852,Coila,MS,Mississippi
853,Hudson,NC,North Carolina
854,Levelland,TX,Texas
855,Naples,NC,North Carolina
856,Collegeville,MN,Minnesota
857,Keyesport,IL,Illinois
858,Vail,AZ,Arizona
859,Dalton,GA,Georgia
860,Arjay,KY,Kentucky
861,Ephrata,PA,Pennsylvania
862,Lexington,TX,Texas
863,Big Cabin,OK,Oklahoma
864,East Poultney,VT,Vermont
865,Tomahawk,WI,Wisconsin
866,Lafayette,AL,Alabama
867,Devils Elbow,MO,Missouri
868,Providence,RI,Rhode Island
869,Deerbrook,WI,Wisconsin
870,Clover,VA,Virginia
871,Goshen,VA,Virginia
872,Quincy,FL,Florida
873,Potosi,WI,Wisconsin
874,Crouseville,ME,Maine
