"","id","brewery_id","beer_style_id","brewery_type_id","post_code","loc_id","name","description","abv","calories","ibu","num_ratings","overall_rating","beer_style_rating","mean_rating","beer_style_name","beer_style_norm","brewery_name","brewery_type","city","state","zip_code","country","lat","long","style_score"
"11","11","9,329",73,4,"26,685","20574","New Glarus Dancing Man Wheat","If you dream of wheat this brew will get your toes tapping. Since 1995 we have brewed Bavarian style wheat beers exclusively for the same great state that grows and malts our own Wisconsin wheat. In a world full of posers this is a true hefe-weizen naturally 100% bottle fermented and hazy. 

Expect this beer to cascade effervescent into your glass. The rich spicy clove and cinnamon notes will greet your nose while sweet fruit and wheat kisses your lips.  

Lick the foam from your mouth and admit sometimes you just gotta get up and dance.",7.2,216,NA,567,99,100,NA,"Weizen Bock","Wheat Beer","New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","USA",42.81636,-89.64075,3
"12","26","13,171",32,4,"26,021","15101","Three Floyds Gumballhead","An American Wheat Beer brewed with red wheat and boat loads of amarillo hops gives this summer brew a lemony finish.  The slight haze in the bottle is from the bottle-conditioning, where yeast is added to the bottle for a secondary fermentation.  Gumballhead is a Skingraft Comics hero.  Check out Skingraft Comics and Records at www.skingraftrecords.com.  Cheers!",5.5,165,28,1691,98,100,NA,"Wheat Ale","Wheat Beer","Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","USA",41.551457,-87.50143,3
"13","27","13,466",36,5,"10,041","8398","TRVE / Prairie Barrel Fermented Gose Aged on Peaches","",4.9,147,NA,12,98,99,4.04,"Grodziskie/Gose/Lichtenhainer","Sour","TRVE Brewing","Brew Pub/Brewery","Denver","CO","80203","USA",39.731286,-104.98306,2
"14","30","14,139",36,4,"25,875","6745","Westbrook Gozu","This is our interpretation of Gose, a traditional German sour wheat beer brewed with coriander and salt. But this time, we decided to citrus-it-up and throw some ultra-tart Yuzu juice into the mix!",4,120,NA,182,98,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Westbrook Brewing","Microbrewery","Mount Pleasant","SC","29464","USA",32.813518,-79.85899,2
"15","46","11,877",4,NA,NA,NA,"Side Launch Wheat","Side Launch Wheat is an authentic Bavarian style wheat beer, served unfiltered with its natural yeast and proteins.
Formerly known as Denison's Weissbeer. Michael Hancock is now brewing at Side Launch Brewing.",5.3,159,NA,301,97,100,NA,"German Hefeweizen","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"16","12","2,726",73,4,"4,759","4881","Brooklyner-Schneider Hopfen-Weisse","This Beer is served on DRAFT and in 750ml BROOKLYN bottles. 
 In May 2007, Garrett Oliver traveled to the 400 yr-old Schneider brewery in Kelheim, Germany, to brew Schneider-Brooklyner Hopfen-Weisse. This was dry-hopped with the local Hallertauer Saphir hop variety. In July, Drexler brought his yeast to Brooklyn and brewed Brooklyner-Schneider Hopfen-Weisse, choosing the American Amarillo and Palisade varieties for the dry-hopping. Now you can taste the result, the latest beer in our Brewmaster's Reserve series. The beer has a full orange color and the aromatics pair the banana and clove notes from the Schneider yeast with the mango and citrus qualities of the hops. The bitterness is robust but balanced, and the beer has a clean, hoppy finish.  Brooklyner-Schneider Hopfen-Weisse pairs well with Caribbean seafood preparations, crab cakes, jerk chicken, Thai cuisine, Szechuan cooking and many Mexican dishes.??",8.5,255,NA,547,99,99,NA,"Weizen Bock","Wheat Beer","Brooklyn Brewery","Microbrewery","Brooklyn","NY","11211","USA",40.71209,-73.95427,3
"17","13","13,090",36,4,"32,285","23801","The Veil Never Never Forever Forever","Double Passionfruit Gose.",5.1,153,NA,28,99,99,3.97,"Grodziskie/Gose/Lichtenhainer","Sour","The Veil Brewing Company","Microbrewery","Richmond","VA","23230","USA",37.580346,-77.48831,2
"18","14","9,329",73,4,"26,685","20574","New Glarus Thumbprint Series Imperial Weizen","Do not waste time attempting to box this brew into some esoteric guide to styles. This is Dan's bold creation. His passion for unfiltered Weiss collides with Cascade Hops inventing our Imperial Hefe-Weizen. Dry hopping boldly rules over Wisconsin red wheat and our special strain of Bavarian yeast. At almost 20 O.P. this is the super mac daddy of Weiss beers. Decoction mashing was followed by excessive dry hopping to create a fierce onslaught of clove, cinnamon and citrus all in this living beer. Don't bother waiting to enjoy - the time is now.",9.25,278,NA,464,99,99,NA,"Weizen Bock","Wheat Beer","New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","USA",42.81636,-89.64075,3
"19","15","12,491",76,1,"2,278","7362","Stillwater Barrel Aged Series - Cellar Door","Wheat beer aged for 8 months in red wine barrels and refermented with multiple strains of Brettanomyces.",6.8,204,NA,90,99,100,NA,"Witbier","Wheat Beer","Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","USA",39.284607,-76.55696,3
"20","16","882",4,NA,NA,NA,"Weihenstephaner Hefeweissbier","Our golden-yellow wheat beer, with its fine-pored white foam, smells of cloves and impresses consumers with its refreshing banana flavour. It is full bodied and with a smooth yeast taste. To be enjoyed at any time (always a pleasure / enjoyment), goes excellently with fish and seafood, with spicy cheese and especially with the traditional Bavarian veal sausage. Brewed according to our centuries-old brewing tradition on the Weihenstephan hill.",5.4,162,14,3241,98,100,NA,"German Hefeweizen","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"21","17","390",36,6,"14,553","26038","Arizona Wilderness Blood Orange Gose","A SOUR/SALTY wheat ale with AZ blood oranges (Steadfast Farms), AZ salt & Sonoran White Wheat (Hayden Flour Mills).",3.6,108,NA,13,99,99,4.08,"Grodziskie/Gose/Lichtenhainer","Sour","Arizona Wilderness Brewing Company","Brew Pub","Gilbert","AZ","85233","USA",33.348593,-111.80833,2
"22","18","10,047",36,4,"10,371","13078","Paradox Beer Skully Barrel No. 30 (Salty Melons)","Inspired by the Gose style of salted sour beers, this sour mash golden ale was aged in white wine barrels. Next it spent extended aging on generous amounts of watermelon juice, which comes through in the nose and on the palette. The result is tart, dry, and luscious, like a ripe salted chunk of watermelon in a glass.",8.9,267,NA,36,99,99,3.92,"Grodziskie/Gose/Lichtenhainer","Sour","Paradox Beer Company","Microbrewery","Divide","CO","80814","USA",38.927344,-105.18746,2
"23","19","",76,NA,NA,NA,"Kormoran Podroze Kormorana Witbier","A top fermented beer. Unfiltered, pasteurized. Ingredients: water, barley malt, wheat, wheat malt, oat, spelt (dinkel wheat/hulled wheat), hops, coriander, sweet orange peals, dry orange Curacao peals, yeast. Alc. 4.6% vol.; ext. 12.5 P.",4.6,138,NA,300,98,100,NA,"Witbier","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"24","20","4,110",36,4,"38,521","11640","De Garde Amarillo Hose","A Gose style ale dry hopped with Amarillo hops",4,120,NA,25,98,99,3.94,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389,2
"25","21","9,658",76,4,"28,926","9349","OEC Albus","Historic interpretation of a white ale brewed with ginger root, chamomile and lemon balm. Mixed fermentation with saccharomyces and lactobaccilus.",4.7,141,14,21,98,94,3.97,"Witbier","Wheat Beer","OEC Brewing (Ordinem Ecentrici Coctores)","Microbrewery","Oxford","CT","06478","USA",41.428163,-73.12729,3
"26","22","11,636",73,NA,NA,NA,"Schneider Weisse Tap 5 Meine Hopfen-Weisse","",8.2,246,40,1730,98,99,NA,"Weizen Bock","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"27","23","",73,NA,NA,NA,"Hacker-Pschorr Weisse Bock","A traditional German Weizenbock. Presents both the characteristics of a rich, malty dopplebock and spicy dunkleweiss. Very rich and comlex.",7,210,NA,45,98,99,NA,"Weizen Bock","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"28","24","7,082",36,4,"24,344","12976","J. Wakefield / Omnipollo One Trick Pony","One Trick Pony is a collaborative brew with Omnipollo from Sweden. Brewed here in Miami, this Imperial Lassi Gose style German Ale is brewed with Mango, Dragon Fruit, Passion Fruit, Sea Salt, and Lactose.",7,210,10,51,98,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","J. Wakefield Brewing","Microbrewery","Miami","FL","33127","USA",25.813808,-80.2058,2
"29","25","8,117",4,4,"1,948","26624","Live Oak Hefe Weizen","Has a cloudy, straw-colored appearance with a thick, creamy head.",5.2,156,NA,366,98,100,NA,"German Hefeweizen","Wheat Beer","Live Oak Brewing Company","Microbrewery","Austin","TX","78702","USA",30.265158,-97.71879,3
"30","156","6,469",42,4,"15,509","16829","Hill Farmstead Everett - Bourbon Barrel Aged (2014-)","Released May 2014, Editor's Note: This version aged in Bourbon barrels only  500ML bottle no-wax",NA,NA,NA,90,99,100,NA,"Porter","Porter","Hill Farmstead Brewery","Microbrewery","Greensboro Bend","VT","05842","USA",44.574196,-72.24333,9
"31","28","5,929",36,1,NA,NA,"Grimm Super Going","Aggressively dry hopped with new German aroma hops Mandarina Bavaria and Huell Melon; orange zest to boost. Lightly toasted white oak provides tannin's and mouthfeel. Assertively tart, with light sea salt appearing on the finish",4.8,144,NA,64,98,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Grimm Artisanal Ales","Client Brewer",NA,NA,"","USA",NA,NA,2
"32","29","",76,NA,NA,NA,"Western Herd Back Beat Witbier","The Back Beat of hops work in harmony with citrus orange and coriander notes to produce this perfectly tuned beer.  Pouring hazy in the glass with a strong white head, this beer is refreshingly smooth.",5,150,NA,12,98,100,4.05,"Witbier","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"33","31","882",73,NA,NA,NA,"Weihenstephaner Vitus","Our light-coloured, spicy single-bock, ??Vitus?? is saturated with fine yeast and a creamy foam. It is a specialty with a round character based on the extra long storage time. The fruity smell of dried apricots joins aromas of citrus, cloves and hints of banana. Full-bodied and sparkling with an effervescent mouthfeel. Thus, the Vitus does not taste like a typical Bock beer but more like a noble, fruity wheat beer. Perfect with red meat, strong cheese and also able to guide desserts. Brewed according to our centuries-old brewing tradition on the Weihenstephan hill.",7.7,231,17,1866,98,99,NA,"Weizen Bock","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"34","32","5,929",36,1,NA,NA,"Grimm Super Spruce","Super Spruce owes its immense pine aromatics to a double dose of resin. The new growth of spruce trees layered with Chinook hops create a complex profile of fresh pine that includes floral, citrus, cola, and bubble gum undertones. This unboiled beer is luminous and hazy with a grapefruit-like acidity that perfectly showcases the bright coniferous flavors. Sea salt rounds the mouthfeel, while white oak provides tannic structure.",4.7,141,NA,63,98,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Grimm Artisanal Ales","Client Brewer",NA,NA,"","USA",NA,NA,2
"35","33","",32,NA,NA,NA,"3 Sheeps Hello My Name is Joe","Imperial black wheat infused with a custom blend of Alterra Coffee) We at 3 Sheeps love our coffee. We also love our beer. This union was inevitable. The sweet and roasty notes of the Sumatra coffee dance merrily with the smooth, roasty, and chocolate hints found in our Baaad Boy Black Wheat. If you are a coffee fan, this is not a beer you want to miss out on.",7.7,231,13,43,98,100,NA,"Wheat Ale","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"36","34","13,274",36,5,"1,264","18571","Tired Hands PermaShore","Oak fermented gose brewed with wheat and sea salt.",6.8,204,NA,22,97,99,3.9,"Grodziskie/Gose/Lichtenhainer","Sour","Tired Hands Brewing Company","Brew Pub/Brewery","Ardmore","PA","19003","USA",40.000861,-75.29694,2
"37","35","390",36,6,"14,553","26038","Arizona Wilderness / Beavertown Opinyonated Gratzer","With our friends from Beavertown Brewing out of London, England, we brewed up a historical style with an Arizona twist. We smoked some Malta with pine cones we collected on an adventure to northern Arizona and used them to add a smoky component to this lesser-known style. With earthy and piney resinous characteristics to balance out the smoke, this beer has a wide range of flavors but is truly sessionable.",4,120,NA,11,98,99,4.03,"Grodziskie/Gose/Lichtenhainer","Sour","Arizona Wilderness Brewing Company","Brew Pub","Gilbert","AZ","85233","USA",33.348593,-111.80833,2
"38","36","1,968",73,NA,NA,NA,"Ayinger Weizen-Bock","",7.1,213,NA,674,97,99,NA,"Weizen Bock","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"39","37","273",76,4,"958","29536","Anchorage Whiteout Wit Bier","This is a variation on the classic Belgian Witbier style, but aged in French Oak Chardonnay barrels Brewed with lemon peel, black peppercorns and corriander (sic). 
Triple fermented - first in the tank with Belgian yeast, second in french oak Chardonnay barrels with brettanomyces, and finally in the bottle with a third yeast for natural carbonation.",6.5,195,20,402,97,100,NA,"Witbier","Wheat Beer","Anchorage Brewing Company","Microbrewery","Anchorage","AK","99515","USA",61.122943,-149.88852,3
"40","38","",36,NA,NA,NA,"To ??l Santa Gose F%-It All","Gose-style Ale brewed with Passionsfruit, Guava, Mango. 
Santa gave up delivering presents and took a Holiday to the Bahamas.",4,120,NA,93,97,98,NA,"Grodziskie/Gose/Lichtenhainer","Sour",NA,NA,NA,NA,NA,NA,NA,NA,2
"41","39","4,110",36,4,"38,521","11640","De Garde Cherry Raz Gose","",5.4,162,NA,11,97,98,4.01,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389,2
"42","40","13,090",36,4,"32,285","23801","The Veil Never Forever","Gose Ale with Passionfruit",4.9,147,NA,26,97,98,3.85,"Grodziskie/Gose/Lichtenhainer","Sour","The Veil Brewing Company","Microbrewery","Richmond","VA","23230","USA",37.580346,-77.48831,2
"43","41","9,329",32,4,"26,685","20574","New Glarus Hopster","This living beer is Dan's bold Hopped Wheat creation. You hold the return of Crack'd Wheat the marriage of a sophisticated Bavarian Hefeweiss and an American Pale Ale. Amarillo dry hopping consorts with Wisconsin Red Wheat. Traditional Open Top fermentation cultivates our proprietary Bavarian Weiss yeast in our dedicated Wheat Beer Cellar. Absolutely 100% natural bottle conditioned this is a Living beer.",5.9,177,NA,394,98,100,NA,"Wheat Ale","Wheat Beer","New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","USA",42.81636,-89.64075,3
"44","157","4,050",42,4,"24,922","23182","Dangerous Man Peanut Butter Porter","",5.3,159,29,43,99,100,NA,"Porter","Porter","Dangerous Man Brewing Company","Microbrewery","Minneapolis","MN","55413","USA",44.997665,-93.24927,9
"45","431","",87,NA,NA,NA,"Taihu Escobar","",4,120,NA,11,63,92,3.42,"Cream Ale","Pils/Lager",NA,NA,NA,NA,NA,NA,NA,NA,12
"46","42","8,960",36,4,"34,355","6960","Modern Times Fruitlands - Passion Fruit & Guava","Fruitlands is tart, fruity, & frighteningly delicious. The sour, salty base beer lays down the funky refreshment while a heavy dose of passion fruit and guava turns the whole thing into a wall-to-wall tropical fruit fiesta. It's a marvelous mix of elements that collides with your mouth like a fruit-filled asteroid of flavor traveling at the supersonic speed of party.",4.9,147,NA,79,97,98,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Modern Times Beer","Microbrewery","San Diego","CA","92110","USA",32.766482,-117.20077,2
"47","43","",28,NA,NA,NA,"3 Sheeps Nimble Lips Noble Tongue Series: Uber Joe","",10.1,303,NA,12,97,100,3.98,"Dunkelweizen","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"48","44","10,782",36,4,"20,692","1444","Rapp Gose","A sour, salty, and unfiltered wheat beer style that almost went extinct.  Originally brewed in the German city of Goslar, and now predominantly brewed in Leipzig.  Very refreshing and flavorful!",4,120,10,121,97,98,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Rapp Brewing Company","Microbrewery","Largo","FL","33777","USA",27.851052,-82.76111,2
"49","45","11,636",73,NA,NA,NA,"Schneider Weisse Tap X Mathilda Soleil","Pure enjoyment in a summer mood. Highest art in brewing for those who enjoy extraordinary wheat beers: ""Mathilda Soleil"" - the unique special edition, named after our strong-minded head of the brewery, Mathilde Schneider (in 1907 she presented Bavaria's first wheat dopplebock). Her pioneering spirit is our claim today - thanks to this new, specially cultivated hops, this special and limited wheat beer edition brings a sparkling and unique treat. It is spicy and nutty with a sun and refreshing fruity note of apples, pears and quince and still has a dry and drinkable finish - it is the perfect drink for sunny afternoons just by itself or to",7,210,NA,298,97,99,NA,"Weizen Bock","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"50","47","10,151",36,4,"33,751","4037","Perennial Suburban Beverage","Gose-style ale brewed with salt, orange peel, lemon peel and key lime juice from Brewer Andy Hille. The ideal drink after a long summer day working in the yard, picking the kids up from soccer practice, or a taking the dog for a walk. Tart and refreshing, it will certainly make you feel alright.",4.2,126,NA,123,97,98,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Perennial Artisan Ales","Microbrewery","Saint Louis","MO","63111","USA",38.559302,-90.25174,2
"51","48","",76,NA,NA,NA,"T??te d??Allumette Blanche T??te et les 7 Grains","Brassin Staff #1. Blanche florale au riz basmati.",5,150,NA,13,97,100,3.95,"Witbier","Wheat Beer",NA,NA,NA,NA,NA,NA,NA,NA,3
"52","49","4,110",36,4,"38,521","11640","De Garde Azacca Hose","A gose style ale aged in oak barrels and dry hopped.",4,120,NA,19,97,98,3.87,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389,2
"53","50","8,584",32,4,"6,978","11056","Marz Jungle Boogie","Jungle Boogie is an American Wheat beer with just enough complex malt character to balance the juicy Mosaic hops and rooibos tea flavors. Canned version brewed at Against the Grain.",5.4,162,44,62,97,100,NA,"Wheat Ale","Wheat Beer","Marz Community Brewing Company","Microbrewery","Chicago","IL","60608","USA",41.850532,-87.6699,3
"54","51","12,231",68,3,"20,423","23514","Southern Tier Oaked Pumking","",8.6,258,NA,67,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Southern Tier Brewing Company (ABV)","Commercial Brewery","Lakewood","NY","14750","USA",42.098657,-79.32439,1
"55","52","9,424",68,4,"935","14147","Noble Ale Works Naughty Sauce","Golden Milk Stout with Portola Coffee. Originally brewed with Portola's Don Pachi Coffee in collaboration with Playground DTSA and Portola Coffee. First called Don's Naughty Sauce.",5.5,165,NA,44,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Noble Ale Works","Microbrewery","Anaheim","CA","92806","USA",33.835465,-117.87362,1
"56","53","11,737",68,6,"35,338","7755","Selins Grove Pumpkin Ale","Served on nitrogen.",4.7,141,NA,38,99,100,4.09,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Selins Grove Brewing Co.","Brew Pub","Selinsgrove","PA","17870","USA",40.812047,-76.86138,1
"57","54","",68,NA,NA,NA,"Mikkeller Texas Ranger Barrel Aged","Danish: En Porter brygget specielt til Texas p??: vand, malt (smoked, maris otter, cara-crystal, brown og chocolate), ristet byg, humle (zeus, saaz og centennial), g??r og chipotle chili. Lagret p?? bourbonfade.",6.6,198,NA,283,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,1
"58","55","6,139",68,4,"32,286","23801","Hardywood Bourbon GBS (Gingerbread Stout)","Gingerbread Stout Aged in Virginia Bourbon Barrels 
Hardywood Gingerbread Stout, described by BeerAdvocate as ??freagin' Christmas in a bottle,?? is an imperial milk stout brewed with vanilla beans, cinnamon, fresh Casselmonte Farm baby ginger and Bearer Farms wildflower honey. Gingerbread Stout is then matured in Virginia bourbon barrels, where it adapts an incredibly mellow character with oak, caramel and bourbon undertones, and emerges 12 weeks later as Bourbon GBS. A festive blend of spice character laces this rich, chocolatey stout, which warms the palate and the soul.",11,330,55,138,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Hardywood Park Craft Brewery","Microbrewery","Richmond","VA","23220","USA",37.549396,-77.45739,1
"59","70","173",68,4,"30,945","11808","Allagash Ghoulschip","Brewed with 300 #'s fresh shredded pumpkin and 200 #'s of toasted pumpkin seed (for 15 bbl batch). No spices. Beer was cooled in our cool ship on Halloween night 2008. It was then piteched with our house strain, and after primary ferment, it was placed in french oak (previously holding Chardonnay).",7,210,NA,107,98,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Allagash Brewing Company","Microbrewery","Portland","ME","04103","USA",43.685882,-70.2903,1
"60","56","8,828",68,4,"973","29536","Midnight Sun T.R.E.A.T. Imperial Chocolate Pumpkin Porter","Intriguing doses of sweet spices, cocoa nibs and pumpkin transform an exceptional porter into a mesmerizing potion. Pour this tantalizing brew into a snifter and experience its many eccentric nuances, which will delight your taste buds.
 
This is the same award-winning recipe that garnered a GOLD MEDAL at GABF in 2007. Formerly known simply as Imperial Chocolate Pumpkin Porter, we've named it T.R.E.A.T.: The Royal Eccentric Ale Treatment.
 
TREAT melds rich decadent flavors into an enticing brew that is perfect for pairing with both sweet and savory dishes. Add depth to desserts like pumpkin cheesecake, bread pudding and tiramisu. Reduce this porter down then glaze grilled meats. Mix Moroccan spices with TREAT to marinate lamb shanks before slow-roasting. The options are endless. But the most important step is pouring yourself a lovely glass of TREAT to enjoy with the rewarding results of your efforts.
 
With so many tones and textures to experience, will you find this brew?? Demented??or delightful?",7.8,234,30,446,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Midnight Sun Brewing Company","Microbrewery","Anchorage","AK","99507","USA",61.154834,-149.82865,1
"61","57","",68,NA,NA,NA,"Mikkeller Mexas Ranger","Danish: Ingredienser: vand, malt (maris otter pale, smoked, chocolate, cara-crystal, brown), ristet byg, humle (tomahawk, centennial, saaz), majs, masa harina, mexicansk horchata sirup, black turtle beans, mexicansk chokolade, avocado blade, epazote, chili (cascabel, de ??rbol, guajillo, mulato, pasilla) og aleg??r.
 
English: Ale brewed with spices, almond milk, cocoa, chili, black beans & avocado leaves.",6.6,198,NA,491,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,1
"62","58","14,267",68,6,"1,502","13139","Wicked Weed Barrel Aged Xibalba","Xibalba is our pumpkin ale, brewed with cacao nib, ancho, serrano, and habenaro chiles with fall spices. This version has been Bourbon barrel aged with ancho chiles, cacao nibs, vanilla and pumpkin spices.",9.5,285,NA,24,99,100,3.97,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Wicked Weed Brewing (AB-InBev)","Brew Pub","Asheville","NC","28801","USA",35.595661,-82.55632,1
