"","id","brewery_id","beer_style_id","brewery_type_id","post_code","loc_id","name","description","abv","calories","ibu","num_ratings","overall_rating","beer_style_rating","mean_rating","beer_style_name","beer_style_norm","brewery_name","brewery_type","city","state","zip_code","country","lat","long"
"12","27","13,466",36,5,"10,041","8398","TRVE / Prairie Barrel Fermented Gose Aged on Peaches","",4.9,147,NA,12,98,99,4.04,"Grodziskie/Gose/Lichtenhainer","Sour","TRVE Brewing","Brew Pub/Brewery","Denver","CO","80203","USA",39.731286,-104.98306
"13","12","2,726",73,4,"4,759","4881","Brooklyner-Schneider Hopfen-Weisse","This Beer is served on DRAFT and in 750ml BROOKLYN bottles. 
 In May 2007, Garrett Oliver traveled to the 400 yr-old Schneider brewery in Kelheim, Germany, to brew Schneider-Brooklyner Hopfen-Weisse. This was dry-hopped with the local Hallertauer Saphir hop variety. In July, Drexler brought his yeast to Brooklyn and brewed Brooklyner-Schneider Hopfen-Weisse, choosing the American Amarillo and Palisade varieties for the dry-hopping. Now you can taste the result, the latest beer in our Brewmaster's Reserve series. The beer has a full orange color and the aromatics pair the banana and clove notes from the Schneider yeast with the mango and citrus qualities of the hops. The bitterness is robust but balanced, and the beer has a clean, hoppy finish.  Brooklyner-Schneider Hopfen-Weisse pairs well with Caribbean seafood preparations, crab cakes, jerk chicken, Thai cuisine, Szechuan cooking and many Mexican dishes.??",8.5,255,NA,547,99,99,NA,"Weizen Bock","Wheat Beer","Brooklyn Brewery","Microbrewery","Brooklyn","NY","11211","USA",40.645099,-73.945032
"14","13","13,090",36,4,"32,285","23801","The Veil Never Never Forever Forever","Double Passionfruit Gose.",5.1,153,NA,28,99,99,3.97,"Grodziskie/Gose/Lichtenhainer","Sour","The Veil Brewing Company","Microbrewery","Richmond","VA","23230","USA",37.580346,-77.48831
"15","14","9,329",73,4,"26,685","20574","New Glarus Thumbprint Series Imperial Weizen","Do not waste time attempting to box this brew into some esoteric guide to styles. This is Dan's bold creation. His passion for unfiltered Weiss collides with Cascade Hops inventing our Imperial Hefe-Weizen. Dry hopping boldly rules over Wisconsin red wheat and our special strain of Bavarian yeast. At almost 20 O.P. this is the super mac daddy of Weiss beers. Decoction mashing was followed by excessive dry hopping to create a fierce onslaught of clove, cinnamon and citrus all in this living beer. Don't bother waiting to enjoy - the time is now.",9.25,278,NA,464,99,99,NA,"Weizen Bock","Wheat Beer","New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","USA",42.81636,-89.64075
"16","15","12,491",76,1,"2,278","7362","Stillwater Barrel Aged Series - Cellar Door","Wheat beer aged for 8 months in red wine barrels and refermented with multiple strains of Brettanomyces.",6.8,204,NA,90,99,100,NA,"Witbier","Wheat Beer","Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","USA",39.284607,-76.55696
"17","17","390",36,6,"14,553","26038","Arizona Wilderness Blood Orange Gose","A SOUR/SALTY wheat ale with AZ blood oranges (Steadfast Farms), AZ salt & Sonoran White Wheat (Hayden Flour Mills).",3.6,108,NA,13,99,99,4.08,"Grodziskie/Gose/Lichtenhainer","Sour","Arizona Wilderness Brewing Company","Brew Pub","Gilbert","AZ","85233","USA",33.348593,-111.80833
"18","18","10,047",36,4,"10,371","13078","Paradox Beer Skully Barrel No. 30 (Salty Melons)","Inspired by the Gose style of salted sour beers, this sour mash golden ale was aged in white wine barrels. Next it spent extended aging on generous amounts of watermelon juice, which comes through in the nose and on the palette. The result is tart, dry, and luscious, like a ripe salted chunk of watermelon in a glass.",8.9,267,NA,36,99,99,3.92,"Grodziskie/Gose/Lichtenhainer","Sour","Paradox Beer Company","Microbrewery","Divide","CO","80814","USA",38.927344,-105.18746
"19","20","4,110",36,4,"38,521","11640","De Garde Amarillo Hose","A Gose style ale dry hopped with Amarillo hops",4,120,NA,25,98,99,3.94,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389
"20","21","9,658",76,4,"28,926","9349","OEC Albus","Historic interpretation of a white ale brewed with ginger root, chamomile and lemon balm. Mixed fermentation with saccharomyces and lactobaccilus.",4.7,141,14,21,98,94,3.97,"Witbier","Wheat Beer","OEC Brewing (Ordinem Ecentrici Coctores)","Microbrewery","Oxford","CT","06478","USA",41.428163,-73.12729
"21","24","7,082",36,4,"24,344","12976","J. Wakefield / Omnipollo One Trick Pony","One Trick Pony is a collaborative brew with Omnipollo from Sweden. Brewed here in Miami, this Imperial Lassi Gose style German Ale is brewed with Mango, Dragon Fruit, Passion Fruit, Sea Salt, and Lactose.",7,210,10,51,98,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","J. Wakefield Brewing","Microbrewery","Miami","FL","33127","USA",25.813808,-80.2058
"22","25","8,117",4,4,"1,948","26624","Live Oak Hefe Weizen","Has a cloudy, straw-colored appearance with a thick, creamy head.",5.2,156,NA,366,98,100,NA,"German Hefeweizen","Wheat Beer","Live Oak Brewing Company","Microbrewery","Austin","TX","78702","USA",30.265158,-97.71879
"23","156","6,469",42,4,"15,509","16829","Hill Farmstead Everett - Bourbon Barrel Aged (2014-)","Released May 2014, Editor's Note: This version aged in Bourbon barrels only  500ML bottle no-wax",NA,NA,NA,90,99,100,NA,"Porter","Porter","Hill Farmstead Brewery","Microbrewery","Greensboro Bend","VT","05842","USA",44.574196,-72.24333
"24","28","5,929",36,1,NA,"4881","Grimm Super Going","Aggressively dry hopped with new German aroma hops Mandarina Bavaria and Huell Melon; orange zest to boost. Lightly toasted white oak provides tannin's and mouthfeel. Assertively tart, with light sea salt appearing on the finish",4.8,144,NA,64,98,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Grimm Artisanal Ales","Client Brewer","Brooklyn","NY","","USA",40.695286,-73.98907
"25","30","14,139",36,4,"25,875","6745","Westbrook Gozu","This is our interpretation of Gose, a traditional German sour wheat beer brewed with coriander and salt. But this time, we decided to citrus-it-up and throw some ultra-tart Yuzu juice into the mix!",4,120,NA,182,98,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Westbrook Brewing","Microbrewery","Mount Pleasant","SC","29464","USA",32.813518,-79.85899
"26","32","5,929",36,1,NA,"4881","Grimm Super Spruce","Super Spruce owes its immense pine aromatics to a double dose of resin. The new growth of spruce trees layered with Chinook hops create a complex profile of fresh pine that includes floral, citrus, cola, and bubble gum undertones. This unboiled beer is luminous and hazy with a grapefruit-like acidity that perfectly showcases the bright coniferous flavors. Sea salt rounds the mouthfeel, while white oak provides tannic structure.",4.7,141,NA,63,98,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Grimm Artisanal Ales","Client Brewer","Brooklyn","NY","","USA",40.649059,-73.93304
"27","34","13,274",36,5,"1,264","18571","Tired Hands PermaShore","Oak fermented gose brewed with wheat and sea salt.",6.8,204,NA,22,97,99,3.9,"Grodziskie/Gose/Lichtenhainer","Sour","Tired Hands Brewing Company","Brew Pub/Brewery","Ardmore","PA","19003","USA",40.000861,-75.29694
"28","35","390",36,6,"14,553","26038","Arizona Wilderness / Beavertown Opinyonated Gratzer","With our friends from Beavertown Brewing out of London, England, we brewed up a historical style with an Arizona twist. We smoked some Malta with pine cones we collected on an adventure to northern Arizona and used them to add a smoky component to this lesser-known style. With earthy and piney resinous characteristics to balance out the smoke, this beer has a wide range of flavors but is truly sessionable.",4,120,NA,11,98,99,4.03,"Grodziskie/Gose/Lichtenhainer","Sour","Arizona Wilderness Brewing Company","Brew Pub","Gilbert","AZ","85233","USA",33.348593,-111.80833
"29","37","273",76,4,"958","29536","Anchorage Whiteout Wit Bier","This is a variation on the classic Belgian Witbier style, but aged in French Oak Chardonnay barrels Brewed with lemon peel, black peppercorns and corriander (sic). 
Triple fermented - first in the tank with Belgian yeast, second in french oak Chardonnay barrels with brettanomyces, and finally in the bottle with a third yeast for natural carbonation.",6.5,195,20,402,97,100,NA,"Witbier","Wheat Beer","Anchorage Brewing Company","Microbrewery","Anchorage","AK","99515","USA",61.122943,-149.88852
"30","39","4,110",36,4,"38,521","11640","De Garde Cherry Raz Gose","",5.4,162,NA,11,97,98,4.01,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389
"31","40","13,090",36,4,"32,285","23801","The Veil Never Forever","Gose Ale with Passionfruit",4.9,147,NA,26,97,98,3.85,"Grodziskie/Gose/Lichtenhainer","Sour","The Veil Brewing Company","Microbrewery","Richmond","VA","23230","USA",37.580346,-77.48831
"32","64","12,787",68,6,"38,090","24636","Tampa Bay Gourds Gone Wild Pumpkin","",5.5,165,NA,24,98,100,3.93,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Tampa Bay Brewing Co.","Brew Pub","Tampa","FL","33605","USA",27.963849,-82.43193
"33","1,302","6,455",10,6,"3,890","18302","Highlands Hollow Thunder Monkey","",NA,NA,NA,10,88,98,3.67,"Premium Bitter/ESB","Pale Ale","Highlands Hollow","Brew Pub","Boise","ID","83702","USA",43.627734,-116.20756
"34","41","9,329",32,4,"26,685","20574","New Glarus Hopster","This living beer is Dan's bold Hopped Wheat creation. You hold the return of Crack'd Wheat the marriage of a sophisticated Bavarian Hefeweiss and an American Pale Ale. Amarillo dry hopping consorts with Wisconsin Red Wheat. Traditional Open Top fermentation cultivates our proprietary Bavarian Weiss yeast in our dedicated Wheat Beer Cellar. Absolutely 100% natural bottle conditioned this is a Living beer.",5.9,177,NA,394,98,100,NA,"Wheat Ale","Wheat Beer","New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","USA",42.81636,-89.64075
"35","157","4,050",42,4,"24,922","23182","Dangerous Man Peanut Butter Porter","",5.3,159,29,43,99,100,NA,"Porter","Porter","Dangerous Man Brewing Company","Microbrewery","Minneapolis","MN","55413","USA",44.997665,-93.24927
"36","42","8,960",36,4,"34,355","6960","Modern Times Fruitlands - Passion Fruit & Guava","Fruitlands is tart, fruity, & frighteningly delicious. The sour, salty base beer lays down the funky refreshment while a heavy dose of passion fruit and guava turns the whole thing into a wall-to-wall tropical fruit fiesta. It's a marvelous mix of elements that collides with your mouth like a fruit-filled asteroid of flavor traveling at the supersonic speed of party.",4.9,147,NA,79,97,98,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Modern Times Beer","Microbrewery","San Diego","CA","92110","USA",32.766482,-117.20077
"37","44","10,782",36,4,"20,692","1444","Rapp Gose","A sour, salty, and unfiltered wheat beer style that almost went extinct.  Originally brewed in the German city of Goslar, and now predominantly brewed in Leipzig.  Very refreshing and flavorful!",4,120,10,121,97,98,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Rapp Brewing Company","Microbrewery","Largo","FL","33777","USA",27.851052,-82.76111
"38","47","10,151",36,4,"33,751","4037","Perennial Suburban Beverage","Gose-style ale brewed with salt, orange peel, lemon peel and key lime juice from Brewer Andy Hille. The ideal drink after a long summer day working in the yard, picking the kids up from soccer practice, or a taking the dog for a walk. Tart and refreshing, it will certainly make you feel alright.",4.2,126,NA,123,97,98,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Perennial Artisan Ales","Microbrewery","Saint Louis","MO","63111","USA",38.559302,-90.25174
"39","49","4,110",36,4,"38,521","11640","De Garde Azacca Hose","A gose style ale aged in oak barrels and dry hopped.",4,120,NA,19,97,98,3.87,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389
"40","50","8,584",32,4,"6,978","11056","Marz Jungle Boogie","Jungle Boogie is an American Wheat beer with just enough complex malt character to balance the juicy Mosaic hops and rooibos tea flavors. Canned version brewed at Against the Grain.",5.4,162,44,62,97,100,NA,"Wheat Ale","Wheat Beer","Marz Community Brewing Company","Microbrewery","Chicago","IL","60608","USA",41.850532,-87.6699
"41","51","12,231",68,3,"20,423","23514","Southern Tier Oaked Pumking","",8.6,258,NA,67,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Southern Tier Brewing Company (ABV)","Commercial Brewery","Lakewood","NY","14750","USA",42.098657,-79.32439
"42","52","9,424",68,4,"935","14147","Noble Ale Works Naughty Sauce","Golden Milk Stout with Portola Coffee. Originally brewed with Portola's Don Pachi Coffee in collaboration with Playground DTSA and Portola Coffee. First called Don's Naughty Sauce.",5.5,165,NA,44,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Noble Ale Works","Microbrewery","Anaheim","CA","92806","USA",33.835465,-117.87362
"43","53","11,737",68,6,"35,338","7755","Selins Grove Pumpkin Ale","Served on nitrogen.",4.7,141,NA,38,99,100,4.09,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Selins Grove Brewing Co.","Brew Pub","Selinsgrove","PA","17870","USA",40.812047,-76.86138
"44","55","6,139",68,4,"32,286","23801","Hardywood Bourbon GBS (Gingerbread Stout)","Gingerbread Stout Aged in Virginia Bourbon Barrels 
Hardywood Gingerbread Stout, described by BeerAdvocate as ??freagin' Christmas in a bottle,?? is an imperial milk stout brewed with vanilla beans, cinnamon, fresh Casselmonte Farm baby ginger and Bearer Farms wildflower honey. Gingerbread Stout is then matured in Virginia bourbon barrels, where it adapts an incredibly mellow character with oak, caramel and bourbon undertones, and emerges 12 weeks later as Bourbon GBS. A festive blend of spice character laces this rich, chocolatey stout, which warms the palate and the soul.",11,330,55,138,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Hardywood Park Craft Brewery","Microbrewery","Richmond","VA","23220","USA",37.549396,-77.45739
"45","70","173",68,4,"30,945","11808","Allagash Ghoulschip","Brewed with 300 #'s fresh shredded pumpkin and 200 #'s of toasted pumpkin seed (for 15 bbl batch). No spices. Beer was cooled in our cool ship on Halloween night 2008. It was then piteched with our house strain, and after primary ferment, it was placed in french oak (previously holding Chardonnay).",7,210,NA,107,98,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Allagash Brewing Company","Microbrewery","Portland","ME","04103","USA",43.685882,-70.2903
"46","56","8,828",68,4,"973","29536","Midnight Sun T.R.E.A.T. Imperial Chocolate Pumpkin Porter","Intriguing doses of sweet spices, cocoa nibs and pumpkin transform an exceptional porter into a mesmerizing potion. Pour this tantalizing brew into a snifter and experience its many eccentric nuances, which will delight your taste buds.
 
This is the same award-winning recipe that garnered a GOLD MEDAL at GABF in 2007. Formerly known simply as Imperial Chocolate Pumpkin Porter, we've named it T.R.E.A.T.: The Royal Eccentric Ale Treatment.
 
TREAT melds rich decadent flavors into an enticing brew that is perfect for pairing with both sweet and savory dishes. Add depth to desserts like pumpkin cheesecake, bread pudding and tiramisu. Reduce this porter down then glaze grilled meats. Mix Moroccan spices with TREAT to marinate lamb shanks before slow-roasting. The options are endless. But the most important step is pouring yourself a lovely glass of TREAT to enjoy with the rewarding results of your efforts.
 
With so many tones and textures to experience, will you find this brew?? Demented??or delightful?",7.8,234,30,446,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Midnight Sun Brewing Company","Microbrewery","Anchorage","AK","99507","USA",61.154834,-149.82865
"47","58","14,267",68,6,"1,502","13139","Wicked Weed Barrel Aged Xibalba","Xibalba is our pumpkin ale, brewed with cacao nib, ancho, serrano, and habenaro chiles with fall spices. This version has been Bourbon barrel aged with ancho chiles, cacao nibs, vanilla and pumpkin spices.",9.5,285,NA,24,99,100,3.97,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Wicked Weed Brewing (AB-InBev)","Brew Pub","Asheville","NC","28801","USA",35.595661,-82.55632
"48","60","530",68,3,"4,134","18719","Avery Rumpkin","Imperial Pumpkin Ale brewed with pumpkin puree and a blend of five spices. Aged in extremely fresh Gosling's Rum barrels for six months. Consume early and often, preferably with a pumpkin pie and/or s'mores.",18.1,543,15,453,99,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Avery Brewing Company","Commercial Brewery","Boulder","CO","80301","USA",40.044385,-105.21928
"49","63","1,627",68,6,"1,091","13177","Blue Tractor Schakolad Weizen","A traditional dunkel weizen beer with 14 pounds of chocolate added to the secondary finishing.",5.5,165,NA,23,98,100,3.96,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Blue Tractor BBQ & Brewery","Brew Pub","Ann Arbor","MI","48104","USA",42.266805,-83.72297
"50","65","530",68,3,"4,134","18719","Avery Pump[KY]n","Annual Barrel Series.
 
Porter brewed with pumpkin & spices - aged in bourbon barrels.   
2014 vintage (1): 16.54% abv  
2014 vintage (2): 17.22% abv",16.54,496,NA,248,98,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Avery Brewing Company","Commercial Brewery","Boulder","CO","80301","USA",40.044385,-105.21928
"51","66","11,422",68,5,"17,705","8885","Saint Arnold Bishop??s Barrel #9","The base beer of BB9 is Pumpkinator. This beer pours a dark brown to black color with a tan head. The nose is pumpkin spice up front with oak, bourbon, vanilla and dark fruit in the background. The taste starts with sweet chocolate and pumpkin spice up front and finishes with a bit of alcohol heat and spices. This beer has a medium-full body with a soft mouthfeel. BB9 was aged in both Woodford Reserve and Willett bourbon barrels and blended prior to packaging.",12.9,387,NA,24,98,100,3.92,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Saint Arnold Brewing Company","Brew Pub/Brewery","Houston","TX","77020","USA",29.775927,-95.31836
"52","67","4,698",68,3,NA,"13678","Elysian Punkuccino Coffee Pumpkin Ale","A pumpkin ale with the attitude of a world-weary barista, Punkuccino packs a short shot of Stumptown coffee toddy in your pint with a shake of cinnamon and nutmeg.",5,150,NA,147,98,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Elysian Brewing (AB InBev)","Commercial Brewery","Seattle","WA","","USA",47.61487,-122.34578
"53","68","12,231",68,3,"20,423","23514","Southern Tier Rum Barrel Aged Pumking","Ale brewed with pumpkins. Natural flavours, 2 varieties of hops and 2 types of Malts.",10.7,321,NA,95,98,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Southern Tier Brewing Company (ABV)","Commercial Brewery","Lakewood","NY","14750","USA",42.098657,-79.32439
"54","69","3,524",68,4,"38,089","24636","Cigar City Good Gourd Imperial Pumpkin Ale","This high-gravity gob of gourd-y goodness incorporates pumpkin in the mashing process and then gets wicked with the spices including Ceylon cinnamon, Jamaican all spice, Zanzibar cloves and nutmeg.",8.5,255,35,380,97,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Cigar City Brewing","Microbrewery","Tampa","FL","33607","USA",27.963798,-82.49537
"55","72","11,422",68,5,"17,705","8885","Saint Arnold Pumpkinator Imperial Pumpkin Stout","Important: let this beer warm to at least 50?? before enjoying. This beer is black with some ruby highlights. The nose is full of pumpkin pie spices and some alcohol. There are notes of nutmeg, caraway and vanilla. The taste starts with chocolate malt with a hint of spice and rolls into a warm spicy alcohol taste which has the effect of creating the balance that usually comes from the hop bitter. There is some hop bitter on the finish, but not much. Overall, this beer finishes relatively dry for such a big beer. As it warms, the spices move forward in the taste and the chocolate moves to the finish. The pumpkin provides a pleasant undertone and a nice mouthfeel. The spices will probably fade some over time; they mellowed considerably while still in the fermenter.
 
Originally brewed as Divine Reserve #9.",10,300,NA,307,97,100,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Saint Arnold Brewing Company","Brew Pub/Brewery","Houston","TX","77020","USA",29.775927,-95.31836
"56","73","6,078",68,4,"7,295","30253","HammerHeart Thor??s Imperial Porter","Named after the peoples god, the mighty Thor. This Porter is high ABV, full of robust smoked malts and chocolate notes while remaining balanced and hoppy. Finishes with the bite of Habanero and Chipotle Peppers.",9.5,285,NA,21,97,100,3.89,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","HammerHeart Brewing Company","Microbrewery","Circle Pines","MN","55014","USA",45.153516,-93.14463
"57","74","10,269",68,4,"7,014","11056","Pipeworks The One Horned Wonder and His Fanciful Flying Fresno","Big Ole Pale Ale with Fresno Chiles and Passion Fruit Added
 
It's a bird! It's a planet! No, It's the One Horned Wonder and His Fanciful Flying Fresno!!! This dynamic duo is taking off with Citra and Galaxy hops. But wait, this flight's just getting started. The pilots at The Aviary have turned off the fasten seat belt sign. This in-flight pale ale features a passion fruit puree and a hint of Freno chile to bump it up to first class. Please, sit back and enjoy the flight.",9,270,NA,22,98,99,3.88,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Pipeworks Brewing Company","Microbrewery","Chicago","IL","60647","USA",41.921126,-87.70085
"58","75","4,753",68,4,"34,083","7379","Epic Old Sage Brett","This wise old beer shows off lots of herbal funk. Brewed with rosemary, sage and thyme then aged in old Brainless on Peaches casks with Brettanomyces yeast. Flavors of tropical citrus mix with chardonnay notes and a funky, slightly tart finish.",7.6,228,NA,33,97,100,3.83,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Epic Brewing Company (UT/CO)","Microbrewery","Salt Lake City","UT","84111","USA",40.7547,-111.88361
"59","77","7,749",68,4,"24,813","6239","Lakefront Imperial Pumpkin (2014-)","Our Brandy Barrel-Aged Imperial Pumpkin Ale pays homage to Lakefront's formative years and to our Wisconsin roots. It pours a copper-orange with a fine, off-white head. The aroma is caramel-forward, followed by cinnamon, vanilla, nutmeg, oak, and subtle brandy notes. The full, moderately bright mouthfeel starts  with cinnamon, nutmeg, and caramel malt, then yields Madagascar vanilla bean, oak, and brandy flavors. A lingering oak and malty sweetness are left on the palate; a reminder of how we've honed our craft over the years.",9.5,285,NA,50,97,99,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Lakefront Brewery","Microbrewery","Milwaukee","WI","53212","USA",43.11941,-87.94727
"60","79","3,873",68,4,"29,365","16845","Craftsman Triple White Sage","",9,270,NA,60,97,99,NA,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)","Craftsman Brewing Co.","Microbrewery","Pasadena","CA","91103","USA",34.166706,-118.159
