,uid,name,price,rating,review_count,city,state,zip_code,latitude,longitude,name_norm,id,brewery_id,wtd_rating
27,almanac-taproom-san-francisco,Almanac Taproom,2.0,4.0,96,San Francisco,CA,94110,37.75306275,-122.4067155,Almanac Beer Company,"11,161",188,4.16404707933
28,aloha-beer-company-honolulu-3,Aloha Beer Company,2.0,4.5,76,Honolulu,HI,96813,21.30089,-157.8568,Aloha Beer Company (formerly: Big Aloha Brewery),"1,225",192,4.27837244466
29,alosta-brewing-co-covina,Alosta Brewing Co,1.0,4.5,115,Covina,CA,91722,34.104594,-117.878892,Alosta Brewing Co.,"3,883",193,4.36246605106
30,alpha-acid-brewing-company-belmont,Alpha Acid Brewing Company,1.0,5.0,37,Belmont,CA,94002,37.5209198,-122.2659149,Alpha Acid Brewing Company,"2,836",196,5.0
31,alpine-beer-company-pub-alpine-6,Alpine Beer Company - Pub,2.0,4.0,121,Alpine,CA,91901,32.83704866,-116.7763486,Alpine Beer Company (CA),"2,504",202,3.68866943867
32,alpine-beer-company-alpine,Alpine Beer Company,2.0,4.0,444,Alpine,CA,91901,32.8354725,-116.7651403,Alpine Beer Company (CA),"2,503",202,3.84489901605
33,alpine-brewery-alpine,Alpine Brewery,2.0,2.5,34,Alpine,CA,91901,32.83687973,-116.7766266,Alpine Beer Company (CA),"2,505",202,3.3544935806
34,alpine-dog-brewing-company-denver,Alpine Dog Brewing Company,1.0,3.5,76,Denver,CO,80218,39.74012978,-104.9748681,Alpine Dog Brewery,"9,236",204,3.94198827553
35,alt-brew-madison,Alt Brew,1.0,4.5,17,Madison,WI,53704,43.12345844,-89.331348,Alt Brew,"4,215",207,3.85087595366
36,altamont-beer-works-livermore,Altamont Beer Works,1.0,4.5,152,Livermore,CA,94550,37.67625,-121.72009,Altamont Beer Works,"3,656",210,4.36467017135
37,alter-brewing-company-downers-grove,Alter Brewing Company,1.0,4.5,68,Downers Grove,IL,60515,41.790802,-88.0406189,Alter Brewing Company,755,216,4.17391304348
38,altitude-chophouse-and-brewery-laramie,Altitude Chophouse & Brewery,2.0,4.0,167,Laramie,WY,82070,41.31035335,-105.5951157,Altitude Chophouse and  Brewery,"7,199",220,4.0
39,alulu-brewpub-chicago,Alulu Brewpub,2.0,4.0,21,Chicago,IL,60608,41.85472764,-87.66352171,Alulu Brew,"11,320",226,4.31660572568
40,alulu-chicago,Alulu,2.0,4.0,21,Chicago,IL,60608,41.85472764,-87.66352171,Alulu Brew,"6,152",226,4.31660572568
41,alvarado-street-brewery-and-grill-monterey-6,Alvarado Street Brewery & Grill,2.0,4.0,621,Monterey,CA,93940,36.59931183,-121.8949203,Alvarado Street Brewery,"4,277",227,3.87547144397
42,amador-brewing-company-plymouth,Amador Brewing Company,2.0,4.5,65,Plymouth,CA,95669,38.4819298,-120.8450394,Amador Brewing Company,"2,865",229,4.5
43,ambacht-brewing-hillsboro-2,Ambacht Brewing,1.0,4.5,19,Hillsboro,OR,97124,45.53261084,-122.9563777,Ambacht Brewing,"5,610",234,3.96363853124
44,amelia-tavern-restaurant-and-brewpub-fernandina-beach,Amelia Tavern Restaurant & Brewpub,2.0,3.5,84,Fernandina Beach,FL,32034,30.67102482,-81.4623604,Amelia Tavern,"4,763",244,3.5
45,american-brewing-company-edmonds,American Brewing Company,1.0,4.5,56,Edmonds,WA,98020,47.80895162,-122.3864533,American Brewing Company (Pacific Brewing & Malting Company),"7,246",246,4.5
46,american-river-brewing-rancho-cordova-2,American River Brewing,1.0,4.0,56,Rancho Cordova,CA,95670,38.60293,-121.27097,American River Brewing Co.,"3,603",248,4.11974248927
47,american-solera-tulsa,American Solera,3.0,4.5,11,Tulsa,OK,74107,36.137358,-96.046299,American Solera,"5,171",249,4.18574744661
48,amerisports-kansas-city,Amerisports,2.0,2.5,32,Kansas City,MO,64161,39.15099659,-94.48534197,Amerisports Brew Pub at Ameristar Casino,"7,648",251,3.57653655855
49,ammo-brewing-petersburg-2,Ammo Brewing,2.0,4.5,20,Petersburg,VA,23803,37.2309164,-77.4069193,AMMO Brewing,"3,152",256,4.33474576271
50,amplified-ale-works-san-diego-2,Amplified Ale Works,2.0,4.0,652,San Diego,CA,92109,32.79114172,-117.254326,Amplified Ale Works,"11,141",260,4.09586432404
51,amplified-brewery-san-diego,Amplified Brewery,1.0,4.0,29,San Diego,CA,92121,32.88665116,-117.1572151,Amplified Ale Works,"11,121",260,4.30986243887
52,anacapa-brewing-ventura,Anacapa Brewing,2.0,3.5,393,Ventura,CA,93001,34.28076271,-119.2936063,Anacapa Brewing Company,"7,869",266,3.66475495308
53,anaheim-brewery-anaheim,Anaheim Brewery,1.0,4.0,258,Anaheim,CA,92805,33.832638,-117.912506,Anaheim Brewery,"3,196",268,4.1835567471
54,ancestry-brewing-tualatin-2,Ancestry Brewing,2.0,4.0,137,Tualatin,OR,97062,45.3697,-122.80228,Ancestry Brewery,"5,014",271,3.90967365967
55,anchor-brewing-company-san-francisco,Anchor Brewing Company,1.0,5.0,527,San Francisco,CA,94107,37.76311,-122.40095,Anchor Brewing Company,"1,407",272,4.66911118388
56,anchorage-brewing-company-anchorage,Anchorage Brewing Company,2.0,4.5,35,Anchorage,AK,99515,61.13891164,-149.8833471,Anchorage Brewing Company,"3,224",273,4.19676464974
57,ancient-city-brewing-taproom-saint-augustine,Ancient City Brewing Taproom,2.0,4.0,5,Saint Augustine,FL,32084,29.89278497,-81.3118106,Ancient City Brewing,"7,225",274,4.09614791988
58,anderson-valley-brewing-company-boonville-2,Anderson Valley Brewing Company,2.0,4.0,206,Boonville,CA,95415,39.001377,-123.356019,Anderson Valley Brewing Company,"1,622",279,4.08881064163
59,andrews-brewing-company-andrews,Andrews Brewing Company,2.0,5.0,6,Andrews,NC,28901,35.19926,-83.8128,Andrews Brewing Company,"2,437",285,4.77777777778
60,angel-city-brewery-los-angeles-2,Angel City Brewery,1.0,4.0,1351,Los Angeles,CA,90012,34.04643942,-118.2377469,Angel City Brewing Company,"2,052",290,4.06980037554
61,angry-chair-brewing-tampa,Angry Chair Brewing,1.0,4.5,109,Tampa,FL,33604,28.005142,-82.459213,Angry Chair Brewing,"3,745",294,4.34868206831
62,angry-hanks-micro-brewery-billings,Angry Hank's Micro Brewery,1.0,4.5,24,Billings,MT,59101,45.78041458,-108.5082397,Angry Hanks Micro Brewery,452,297,4.13123257111
63,angry-inch-brewing-lakeville,Angry Inch Brewing,1.0,5.0,7,Lakeville,MN,55044,44.64761647,-93.24295532,Angry Inch Brewing,"7,768",298,4.79268292683
64,angry-minnow-restaurant-and-brewery-hayward,Angry Minnow Restaurant & Brewery,2.0,3.5,106,Hayward,WI,54843,46.0103125,-91.48864336,Angry Minnow,"6,832",299,3.5
65,angry-troll-brewing-elkin,Angry Troll Brewing,2.0,3.5,3,Elkin,NC,28621,36.244512,-80.848893,Angry Troll Brewing,"3,872",301,3.8
66,animas-brewing-company-durango,Animas Brewing Company,2.0,4.0,68,Durango,CO,81301,37.28001,-107.876761,Animas Brewing Company,"9,378",303,4.04456751055
67,another-road-brewing-marion,Another Road Brewing,1.0,4.5,11,Marion,IA,52302,42.03267,-91.60016,Another Road Brewing,"1,735",311,4.5
68,anthem-brewing-company-oklahoma-city,Anthem Brewing Company,1.0,4.5,33,Oklahoma City,OK,73109,35.46090186,-97.52841312,Anthem Brewing Company,"2,920",314,4.07814853435
69,antietam-brewery-hagerstown,Antietam Brewery,2.0,4.5,2,Hagerstown,MD,21740,39.64035,-77.76018,Antietam Brewery & Restaurant,"6,746",315,4.27631578947
70,apocalypse-ale-works-forest-2,Apocalypse Ale Works,2.0,4.5,14,Forest,VA,24551,37.36225986,-79.28768601,Apocalypse Ale Works,"2,659",333,4.5
71,apocalypse-brew-works-louisville,Apocalypse Brew Works,1.0,4.5,61,Louisville,KY,40206,38.2565969,-85.72023511,Apocalypse Brew Works,"6,670",334,4.20003517316
72,appalachian-brewing-company-harrisburg,Appalachian Brewing Company,2.0,3.5,217,Harrisburg,PA,17101,40.26577377,-76.87550354,Appalachian Brewing Company (PA),"3,573",336,3.60055147059
73,appalachian-mountain-brewery-boone,Appalachian Mountain Brewery,2.0,4.5,104,Boone,NC,28607,36.20338,-81.66839,Appalachian Mountain Brewery,"5,629",337,4.4198557959
74,appanoose-rapids-ottumwa,Appanoose Rapids,2.0,4.5,40,Ottumwa,IA,52501,41.0154509,-92.40953632,Appanoose Rapids Brewing Company,"1,127",338,4.5
75,apple-blossom-brewing-company-fayetteville,Apple Blossom Brewing Company,2.0,3.5,83,Fayetteville,AR,72701,36.1292346,-94.1373788,Apple Blossom Brewing Company,"5,183",341,3.62779850746
76,appleton-beer-factory-appleton,Appleton Beer Factory,2.0,3.5,60,Appleton,WI,54914,44.261193,-88.4144759,Appleton Beer Factory,"3,776",352,3.69235095613
77,abita-brewing-covington,Abita Brewing,1.0,4.5,28,Covington,LA,70433,30.48214,-90.05516,Abita Brewing,148,,4.24285714286
78,aquanaut-brewing-company-chicago,Aquanaut Brewing Company,2.0,5.0,2,Chicago,IL,60640,41.98134213,-87.6761569,Aquanaut Brewing Company,"8,488",357,4.36078315011
79,aqueduct-brewing-akron,Aqueduct Brewing,1.0,3.0,26,Akron,OH,44311,41.06878586,-81.51673595,Aqueduct Brewing,"1,335",358,3.4678030303
80,arbor-brewing-company-ann-arbor,Arbor Brewing Company,2.0,3.5,372,Ann Arbor,MI,48104,42.2804754,-83.7483644,Arbor Brewing Company Brewpub,"3,542",365,3.70889963977
81,arbor-brewing-company-microbrewery-ypsilanti,Arbor Brewing Company Microbrewery,2.0,4.0,163,Ypsilanti,MI,48198,42.25026,-83.6098,Arbor Brewing Company Microbrewery,"3,546",366,4.05348173516
82,argus-brewery-chicago,Argus Brewery,1.0,5.0,69,Chicago,IL,60628,41.68832965,-87.61192769,Arcade Brewery,"2,581",367,4.53316963024
83,arcadia-brewing-company-battle-creek-battle-creek-2,Arcadia Brewing Company - Battle Creek,2.0,3.5,146,Battle Creek,MI,49017,42.321929,-85.185546,Arcadia Brewing Company,"4,638",368,3.62970711297
84,arcadian-moon-higginsville,Arcadian Moon,2.0,4.0,10,Higginsville,MO,64037,39.00080604,-93.75196624,Arcadian Moon,"2,422",369,4.0
85,arcana-brewing-company-carlsbad,Arcana Brewing Company,1.0,4.5,78,Carlsbad,CA,92010,33.14013407,-117.27389,Arcana Brewing Company,"8,020",370,4.32031936491
86,arch-rock-brewing-company-gold-beach,Arch Rock Brewing Company,1.0,5.0,32,Gold Beach,OR,97444,42.38884899,-124.415362,Arch Rock Brewing Company,"7,519",373,4.73703703704
87,arclight-brewery-watervliet,Arclight Brewery,1.0,4.5,35,Watervliet,MI,49098,42.191082,-86.258324,Arclight Brewing Company,"5,595",379,4.5
88,ardent-craft-ales-richmond,Ardent Craft Ales,1.0,4.5,102,Richmond,VA,23230,37.56845454,-77.47232578,Ardent Craft Ales,"4,533",382,4.27371970736
89,area-51-craft-brewery-riverside,Area 51 Craft Brewery,1.0,3.5,26,Riverside,CA,92503,33.9467711,-117.4499764,Area 51 Craft Brewery,"8,912",384,4.25793310463
90,argilla-brewing-co-newark,Argilla Brewing Co,2.0,3.5,90,Newark,DE,19711,39.70746785,-75.68419486,Argilla Brewing Company,"2,357",385,3.63341968912
91,argus-cidery-austin,Argus Cidery,2.0,4.0,22,Austin,TX,78737,30.23566,-98.010739,Argus Cidery,"5,099",387,4.29022360389
92,argyle-brewing-company-greenwich,Argyle Brewing Company,1.0,5.0,4,Greenwich,NY,12834,43.08758633,-73.49696942,Argyle Brewing Company,"4,063",388,5.0
93,arizona-wilderness-brewing-gilbert,Arizona Wilderness Brewing,2.0,4.0,882,Gilbert,AZ,85233,33.36301,-111.84111,Arizona Wilderness Brewing Company,"8,365",390,4.0
94,arkane-aleworks-largo,Arkane Aleworks,1.0,4.5,42,Largo,FL,33771,27.91672937,-82.76033921,Arkane Aleworks,"5,991",391,4.42025862069
95,arkose-brewery-palmer-2,Arkose Brewery,1.0,5.0,8,Palmer,AK,99645,61.5816306,-149.1060793,Arkose Brewery,"8,537",393,5.0
96,armstrong-brewing-south-san-francisco-4,Armstrong Brewing,1.0,4.5,72,South San Francisco,CA,94080,37.65578812,-122.413363,Armstrong Brewing Company,"1,405",400,4.40848990953
97,arrow-lodge-brewing-covina,Arrow Lodge Brewing,2.0,4.5,52,Covina,CA,91722,34.10544634,-117.8768916,Arrow Lodge Brewing,"3,884",409,4.33407601573
98,arrowhead-ales-brewing-company-new-lenox,Arrowhead Ales Brewing Company,2.0,4.0,63,New Lenox,IL,60451,41.48139764,-87.95905519,Arrowhead Ales,"7,128",410,4.0
99,arrowood-farm-brewery-and-tasting-room-accord,Arrowood Farm Brewery & Tasting Room,2.0,4.5,9,Accord,NY,12404,41.80571588,-74.24696434,Arrowood Farms,241,412,4.5
100,arsenal-cider-house-and-wine-cellar-pittsburgh,Arsenal Cider House & Wine Cellar,2.0,5.0,172,Pittsburgh,PA,15201,40.46508,-79.96093,Arsenal Cider House & Wine Cellar,"9,875",413,4.65307017544
101,artifex-brewing-company-san-clemente-4,Artifex Brewing Company,1.0,4.5,85,San Clemente,CA,92673,33.4494659,-117.6061156,Artifex Brewing Company,"2,105",419,4.42470930233
102,artisans-brewery-and-italian-grill-toms-river,Artisan's Brewery & Italian Grill,2.0,3.5,87,Toms River,NJ,08753,39.9772475,-74.18225706,Artisan's Brewery & Italian Grill,903,421,3.70307167235
103,artisanal-brew-works-saratoga-springs,Artisanal Brew Works,1.0,4.5,13,Saratoga Springs,NY,12866,43.05994,-73.81445,Artisanal Brew Works,"1,512",422,3.73404255319
104,arts-district-brewing-company-los-angeles,Arts District Brewing Company,2.0,4.0,563,Los Angeles,CA,90013,34.04462176,-118.2353238,Arts District Brewing,"2,050",425,4.13062853777
105,arundel-cellars-and-brewing-north-east,Arundel Cellars & Brewing,2.0,4.5,15,North East,PA,16428,42.22568546,-79.80314581,Arundel Cellars & Brewing Company,"6,056",427,4.5
106,asbury-park-brewery-asbury-park,Asbury Park Brewery,2.0,4.0,19,Asbury Park,NJ,07712,40.219519,-74.0123245,Asbury Park Brewery,891,431,3.63714565005
107,ascension-brewing-company-novi,Ascension Brewing Company,2.0,4.0,115,Novi,MI,48375,42.47764997,-83.46068969,Ascension Brewing Company,"2,246",432,4.0
108,asgard-brewing-company-columbia,Asgard Brewing Company,1.0,4.0,8,Columbia,TN,38401,35.61748,-87.0328,Asgard Brewing Company,"6,198",436,4.0
109,asher-brewing-company-boulder,Asher Brewing Company,1.0,4.0,46,Boulder,CO,80301,40.05935,-105.20596,Asher Brewing Company,"7,262",442,4.25443110349
110,asheville-brewing-company-asheville,Asheville Brewing Company,2.0,3.5,242,Asheville,NC,28801,35.59172,-82.55529,Asheville Brewing Company,"4,450",443,3.81888667992
111,asheville-pizza-and-brewing-company-asheville,Asheville Pizza & Brewing Company,2.0,4.0,277,Asheville,NC,28804,35.622192,-82.553698,Asheville Brewing Company,"4,462",443,4.11001371742
112,ashtown-brewing-longview-3,Ashtown Brewing,1.0,4.5,27,Longview,WA,98632,46.13656052,-122.9328412,Ashtown Brewing Company,"8,152",452,4.25607064018
113,aslan-brewing-bellingham,Aslan Brewing,2.0,4.0,393,Bellingham,WA,98225,48.748395,-122.474484,Aslan Brewing Company,362,456,4.04945258861
114,aslin-beer-company-herndon,Aslin Beer Company,1.0,4.0,56,Herndon,VA,20170,38.95637,-77.3749799,Aslin Beer Company,"1,828",457,4.0
115,aspen-brewing-company-aspen,Aspen Brewing Company,1.0,4.0,95,Aspen,CO,81611,39.190334,-106.820307,Aspen Brewing Company,"2,455",459,4.0
116,aspetuck-brew-lab-bridgeport,Aspetuck Brew Lab,2.0,4.0,22,Bridgeport,CT,06605,41.1545152,-73.23597072,Aspetuck Brew Lab,"3,590",460,3.79621848739
117,ass-clown-brewing-company-cornelius,Ass Clown Brewing Company,1.0,4.5,81,Cornelius,NC,28031,35.4575619,-80.8547775,Ass Clown Brewing Company,"1,982",462,4.47519267823
118,astoria-brewing-astoria,Astoria Brewing,1.0,3.5,16,Astoria,OR,97103,46.1899026,-123.8303191,Astoria Brewing Co. (Wet Dog Cafe),"1,169",468,3.96785714286
119,wet-dog-cafe-and-brewery-astoria,Wet Dog Cafe & Brewery,2.0,3.5,364,Astoria,OR,97103,46.19016647,-123.8314056,Astoria Brewing Co. (Wet Dog Cafe),"1,173",468,3.69508562919
120,asylum-brewing-anaheim,Asylum Brewing,1.0,4.5,19,Anaheim,CA,92806,33.84936142,-117.8609314,"Asylum Brewing (Anaheim, CA)","3,189",469,4.43940556088
121,atco-brewing-company-atco,Atco Brewing Company,2.0,4.5,10,Atco,NJ,08004,39.7707506,-74.89929,Atco Brewing Company,"4,619",472,4.5
122,atlantic-beach-brewing-company-atlantic-beach,Atlantic Beach Brewing Company,2.0,5.0,6,Atlantic Beach,FL,32233,30.32575111,-81.40755683,Atlantic Beach Brewing Company,"4,752",475,4.82317073171
123,atlantic-brewing-company-bar-harbor,Atlantic Brewing Company,2.0,4.5,106,Bar Harbor,ME,04609,44.420429,-68.333329,Atlantic Brewing Company,"5,672",476,3.95412026726
124,atomic-ale-brewpub-and-eatery-richland,Atomic Ale Brewpub & Eatery,2.0,3.5,219,Richland,WA,99352,46.27452,-119.2773,Atomic Ale Brewpub (US),"6,511",485,3.57610103627
125,atwater-brewery-detroit,Atwater Brewery,1.0,4.0,172,Detroit,MI,48207,42.33715439,-83.01855469,Atwater Brewery,"2,242",490,3.97325737796
126,auburn-alehouse-auburn,Auburn Alehouse,2.0,4.0,737,Auburn,CA,95603,38.89546627,-121.0783989,Auburn Alehouse (CA),"2,598",498,4.02182608696
127,audacity-brew-house-denton,Audacity Brew House,1.0,4.5,45,Denton,TX,76205,33.19971,-97.12026,Audacity Brew House,"4,068",499,4.38109756098
128,yard-owl-craft-brewery-gardiner,Yard Owl Craft Brewery,2.0,4.0,9,Gardiner,NY,12525,41.69128799,-74.1468277,Yard Owl Craft Brewery,244,,4.40425531915
129,august-schell-brewing-company-new-ulm,August Schell Brewing Company,1.0,4.5,26,New Ulm,MN,56073,44.28910446,-94.45026398,August Schell Brewing Company,"4,151",503,4.58544303797
130,ausable-brewing-company-keeseville,Ausable Brewing Company,2.0,5.0,5,Keeseville,NY,12944,44.50270844,-73.45410156,Ausable Brewing Company,"2,729",512,5.0
131,austin-beer-garden-brewing-company-austin-2,Austin Beer Garden Brewing Company,2.0,4.0,455,Austin,TX,78704,30.24537536,-97.7689108,Austin Beer Garden Brewing Co.,"5,050",514,4.09590525313
132,austin-beerworks-austin,Austin Beerworks,1.0,4.5,158,Austin,TX,78758,30.3795751,-97.7298481,Austin Beerworks,"5,055",515,4.40326027804
133,austin-brothers-beer-co-alpena,Austin Brothers Beer Co,2.0,4.5,47,Alpena,MI,49707,45.07510896,-83.433703,Austin Brothers Beer Company,"2,469",516,4.5
134,austin-street-brewery-portland,Austin Street Brewery,1.0,4.5,33,Portland,ME,04103,43.702795,-70.319935,Austin Street Brewery,"5,408",518,4.35682307361
135,avalanche-brewing-silverton,Avalanche Brewing,2.0,4.0,47,Silverton,CO,81433,37.80999953,-107.6646294,Avalanche  Brewing Company,"9,381",526,4.0
136,avery-brewing-boulder-2,Avery Brewing,2.0,4.5,455,Boulder,CO,80301,40.062561,-105.204741,Avery Brewing Company,"6,610",530,4.45902394107
137,avon-brewing-company-avon,Avon Brewing Company,2.0,3.5,40,Avon,OH,44011,41.45153,-82.03555,Avon Brewing Company,"3,083",534,3.59496124031
138,avondale-brewing-birmingham,Avondale Brewing,2.0,4.5,179,Birmingham,AL,35222,33.524559,-86.774071,Avondale Brewing Company,693,535,4.4000259653
139,aztec-brewery-vista,Aztec Brewery,1.0,4.0,118,Vista,CA,92081,33.1501389,-117.2297974,Aztec Brewing Company,"8,051",547,4.22498732772
140,b-and-o-station-banquet-hall-youngstown,B & O Station Banquet Hall,2.0,4.0,3,Youngstown,OH,44502,41.1025314,-80.6577072,B & O Station Brewery,"6,119",548,4.09090909091
141,b-52-brewing-co-conroe,B-52 Brewing Co,1.0,4.5,52,Conroe,TX,77304,30.3393882,-95.5513363,B-52 Brewing Company,"8,870",550,4.53181003584
142,b-nektar-meadery-ferndale,B. Nektar Meadery,2.0,4.5,87,Ferndale,MI,48220,42.4568537,-83.113875,B. Nektar Meadery,"8,304",551,4.1346749226
143,baa-baa-brewhouse-brookshire,Baa Baa Brewhouse,1.0,5.0,1,Brookshire,TX,77423,29.77301025,-95.95061493,Baa Baa Brewhouse,"6,059",556,5.0
144,babes-bar-b-que-and-brewhouse-rancho-mirage,Babe's Bar-B-Que & Brewhouse,2.0,3.5,798,Rancho Mirage,CA,92270,33.7401032,-116.409588,Babes Bar-B-Que & Brewhouse,"3,697",558,3.5
145,bacchus-brewing-dryden,Bacchus Brewing,1.0,4.5,6,Dryden,NY,13053,42.49938,-76.30062,Bacchus Brewing Company (NY),"3,829",560,4.5
146,back-alley-brewery-goshen,Back Alley Brewery,1.0,3.5,5,Goshen,IN,46526,41.584561,-85.8349439,Back Alley Brewery,"4,811",565,3.5
147,back-bay-brewing-virginia-beach,Back Bay Brewing,1.0,4.0,76,Virginia Beach,VA,23451,36.83761743,-75.98107358,Back Bay Brewing Company,"8,442",567,4.01252015958
148,back-east-brewing-company-bloomfield,Back East Brewing Company,1.0,4.5,59,Bloomfield,CT,06002,41.8547652,-72.7048867,Back East Brewing Company,"1,116",568,4.42382413088
149,back-pedal-brewing-portland,Back Pedal Brewing,1.0,4.5,45,Portland,OR,97209,45.525881,-122.6857448,Back Pedal Brewing,"6,124",571,4.29869416744
150,back-pew-brewing-company-porter,Back Pew Brewing Company,1.0,4.0,14,Porter,TX,77365,30.06453,-95.26449,Back Pew Brewing,"6,014",572,4.0
151,backpocket-brewing-coralville,Backpocket Brewing,2.0,3.5,112,Coralville,IA,52241,41.68185475,-91.55950069,Backpocket Brewing,"1,254",585,3.38008130081
152,backroom-brewery-middletown,Backroom Brewery,2.0,4.5,48,Middletown,VA,22645,38.9946594,-78.2214432,Backroom Brewery,"3,104",587,4.5
153,backshore-brewing-co-ocean-city,Backshore Brewing Co,2.0,4.0,79,Ocean City,MD,21842,38.34022592,-75.08025487,Backshore Brewing Company,"6,568",588,3.82866449511
154,backside-brewing-roseburg,Backside Brewing,2.0,5.0,16,Roseburg,OR,97470,43.21474774,-123.3379327,Backside Brewing Company,"7,872",589,4.46750524109
155,backslope-brewing-columbia-falls,Backslope Brewing,2.0,4.0,78,Columbia Falls,MT,59912,48.37090465,-114.1954867,Backslope Brewing,"8,800",590,4.0
156,backstreet-brewery-anaheim-2,Backstreet Brewery,1.0,4.5,107,Anaheim,CA,92805,33.80037906,-117.8959487,Backstreet Brewery,"3,195",591,4.45738368173
157,backswing-brewing-co-lincoln,Backswing Brewing Co,1.91666666667,4.5,2,Lincoln,NE,68522,40.79217148,-96.72759247,Backswing Brewing Company,583,592,4.02106741573
158,backward-flag-brewing-forked-river,Backward Flag Brewing,2.0,4.5,14,Forked River,NJ,08731,39.82401,-74.20677,Backward Flag Brewing Company,180,593,4.5
