,_has_fetched,city,country,name,postal_code,state,street,telephone,type,url,web
20,True,Duboistown,USA,Abbey Wright Brewing Company,17702,Pennsylvania,204 Valley Street,(570) 326-3383,Brew Pub,/brewers/abbey-wright/7375/,https://www.facebook.com/pages/Abbey-Wright-Brewing/446741115373438
21,True,Sheffield,England,Abbeydale,S8 0YX,South Yorkshire,8 Aizlewood Road,0114 281 2712,Microbrewery,/brewers/abbeydale/2807/,https://www.facebook.com/AbbeydaleBrewery
22,True,Birmingham,England,ABC,B6 7DD,West Midlands,"Unit 21, Birch Road, Witton",0121 328 2655,Microbrewery,/brewers/abc/10095/,http://www.abcbrewery.co.uk/
23,True,Waterloo,Canada,Abe Erb Brewing Co,,Ontario,"15 King Street South, Uptown Waterloo",(519) 886-4518,Brew Pub/Brewery,/brewers/abe-erb/21316/,http://abeerb.com/
24,True,Valparaiso,USA,Aberdeen Brewing Co.,46385,Indiana,210 Aberdeen Drive,(219) 548-3300,Brew Pub,/brewers/aberdeen/3595/,http://www.pubcrawler.com/Template/ReviewWC.cfm/flat/BrewerID=102946
25,True,Newnan,USA,Abide Brewing Company,30265,Georgia,130 Werz Industrial Blvd,,Microbrewery,/brewers/abide/27004/,https://www.facebook.com/abidebrewing
26,True,Ashford,England,Abigale,TN24 8DE,Kent,"Unit 4, Javelin Enterprise Park, Javelin Way",01233 661310,Microbrewery,/brewers/abigale/12255/,https://www.facebook.com/Abigale.Brewing
27,True,Abilene,USA,Abilene Brewing Company / Cypress Street Station,79601,Texas,158 Cypress Street,(325) 676- 3463,Brew Pub,/brewers/abilene--cypress-street-station/11195/,https://www.facebook.com/pages/Cypress-Street-Station-Home-of-The-Abilene-Brewing-Co/325993008571
28,True,Abita Springs,USA,Abita Brewing Company,70433,Louisiana,21084 Highway 36,(800) 737-2311,Microbrewery,/brewers/abita/1/,https://www.facebook.com/pages/Abita-Brewing-Company/109705702389494
29,True,Mckees Rocks,USA,Abjuration Brewing Company,15136,Pennsylvania,644 Broadway Ave,,Microbrewery,/brewers/abjuration/27586/,https://www.facebook.com/AbjurationBrewing
30,True,Las Vegas,USA,Able Baker Brewing,89148,Nevada,5990 Long Bay Street,(775) 813-2349,Microbrewery,/brewers/able-baker-brewing/29774/,https://www.facebook.com/ablebaker.brewing
31,True,Merrimack,USA,Able Ebenezer Brewing Company,03054,New Hampshire,31 Columbia Circle,(844) 223-2253,Microbrewery,/brewers/able-ebenezer/19977/,https://www.facebook.com/ableebenezer
32,True,Minneapolis,USA,Able Seedhouse + Brewery,55413,Minnesota,1121 Quincy Street NE,(612) 405-4642,Microbrewery,/brewers/able-seedhouse-brewery/25020/,https://www.facebook.com/ablebrewery
33,True,San Diego,USA,Abnormal Beer Company,92127,California,"16990 Via Tazon, Ste 123",(858) 618 2463,Brew Pub,/brewers/abnormal-beer-company/21473/,https://www.facebook.com/AbnormalBeerCo
34,True,Abovian,Armenia,Abovian Brewery,378511,,10 Abovian St,(374-1) 285-293,Commercial Brewery,/brewers/abovian-brewery/2495/,http://www.kotayk.am/
35,True,Barrow-in-Furness,England,Abraham Thompson,LA13 0AD,Cumbria,Flass Lane,07708 191437,Microbrewery,/brewers/abraham-thompson/4769/,http://www.quaffale.org.uk/php/brewery/889
36,True,Torrance,USA,Absolution Brewing Company,90503,California,2878 Columbia Street,(310) 490-4860,Microbrewery,/brewers/absolution/19249/,https://www.facebook.com/absolutionbrewing
37,True,Langley Mill,England,Abstract Jungle Brewery,NG16 4BE,Derbyshire,"Unit 14, Bailey Brook Industrial Estate, Amber Drive",7481849332,Commercial Brewery,/brewers/abstract-jungle-brewery/25030/,https://www.facebook.com/abstractjunglebrewery/info/?tab=page_info
38,True,Meschede,Germany,Abtei Königsmünster,59872,North Rhine-Westphalia,Klosterberg 11,,Cidery,/brewers/abtei-konigsmunster/27094/,http://www.koenigsmuenster.de
39,True,Vilshofen,Germany,Abtei Schweiklberg,94474,Bavaria,Postfach 240,(08541) 2090,Meadery,/brewers/abtei-schweiklberg/12382/,http://www.schweiklberg.de/
40,True,Lewes,England,Abyss Brewing Ltd,BN7 1XL,East Sussex,"Pelham Arms, High Street",,Brew Pub,/brewers/abyss-brewing-ltd/31712/,http://www.abyssbrewing.co.uk
41,True,New Orleans,USA,Acadian Brewery,70119,Louisiana,201 N Carrollton Ave.,,Microbrewery,/brewers/acadian-brewery/847/,http://beerme.com/breweries/us/la/index.shtml#18
42,True,Carson,USA,Acadian Farms & Brewery,98610-3261,Washington,342 Carson Creek Road,(509) 427-4297,Microbrewery,/brewers/acadian-farms-and-brewery/14421/,https://www.facebook.com/AcadianFarms
43,True,Moncton,Canada,Acadie-Broue,E1C 1W1,New Brunswick,382 Rue St-George,(506) 382-6272,Microbrewery,/brewers/acadie-broue/12747/,https://www.facebook.com/pages/Acadie-Broue/176759632361301
44,True,Weybridge,England,Accolade Wines,KT13 8TB,Surrey,2 Heath Road,01932 428600,Commercial Brewery,/brewers/accolade-wines/28484/,http://www.accolade-wines.com/
45,True,West Palm Beach,USA,Accomplice Brewery & Ciderworks,33409,Florida,1023 N Florida Mango Road,(561) 568-7242,Microbrewery,/brewers/accomplice-brewery-and-ciderworks/25797/,https://www.facebook.com/AccompliceBrewery
46,True,Toronto,Canada,Ace Hill Beer,M4V 3A9,Ontario,"10 Alcorn Avenue, Suite 304",,Client Brewer,/brewers/ace-hill-beer/26371/,https://www.facebook.com/acehillbeer
47,True,Bremen,Germany,Achterdieker Bierverlach,28357,Bremen,Achterdiek 4 a,,Client Brewer,/brewers/achterdieker-bierverlach/23843/,https://www.facebook.com/pages/AHOI-69/396162353924429
48,True,Boulder,USA,Acidulous Brewing Company,,Colorado,,,Client Brewer,/brewers/acidulous/26985/,https://www.facebook.com/Acidulousbrewing
49,True,Amana,USA,Ackerman Winery,52203,Iowa,4406 220th Trail,(319) 622-3379,Cidery,/brewers/ackerman-winery/9992/,https://www.facebook.com/pages/Ackerman-Winery-Gifts/159290467429433
50,True,Wombwell,England,Acorn,S73 8HA,South Yorkshire,"Unit 3, Aldham Industrial Estate, Mitchell Road,",01226 270734,Microbrewery,/brewers/acorn/4193/,https://www.facebook.com/pages/Acorn-Brewery-Limited/117268891666804
51,True,San Diego,USA,Acoustic Ales Brewing Experiment,92110,California,1795 Hancock St,(619) 299-2537,Microbrewery,/brewers/acoustic-ales-brewing-experiment/15916/,https://www.facebook.com/Acoustic-Ales-Brewing-Experiment-443458239035205/
52,True,Traverse City,USA,Acoustic Brewing Company,49684,Michigan,119 N. Maple,(231) 883-2012,Meadery,/brewers/acoustic/12147/,https://www.facebook.com/pages/Acoustic-Draft-Mead/142720397272
53,True,Ashington,England,Acton Ales,NE63 0XL,Northumberland,"13B Castle Island Way, North Seaton",01670 817635,Microbrewery,/brewers/acton-ales/13557/,https://www.facebook.com/Acton-Ales-994131113930243
54,True,Columbus,USA,Actual Brewing Company,43219,Ohio,655 N. James Road,(614) 636-3825,Microbrewery,/brewers/actual/16720/,https://www.facebook.com/TheActualBrewingCompany
55,True,Liverpool,England,Ad Hop Brewing,L6 1AU,Merseyside,Unit B3 Prospect St,(79) 57165501,Microbrewery,/brewers/ad-hop-brewing/20960/,https://www.facebook.com/AdHopBrewing
56,True,Munich,Germany,Adam & Eva GbR,81669,Bavaria,Lilienstraße 28,,Client Brewer,/brewers/adam-and-eva-gbr/26488/,https://www.facebook.com/adamundevacide
57,True,Bodenmais,Germany,Adam-Bräu,94249,Bavaria,Bahnhofstr. 51 - 53,(9924) 94 000,Brew Pub/Brewery,/brewers/adam-brau/5236/,http://www.adam-braeu.de
58,True,Hitchin,England,Addled,SG4,Hertfordshire,Weston,,Microbrewery,/brewers/addled/17536/,https://www.twitter.com/AddledBrewery
59,True,Austin,USA,Adelberts Brewery,78758,Texas,2314 Rutland Drive Suite #100,(512) 662-1462,Microbrewery,/brewers/adelberts-brewery/13901/,https://www.facebook.com/adelbertsbeer
60,True,Lake George,USA,Adirondack Pub and Brewery,12845,New York,33 Canada Street,(518) 668-0002,Brew Pub,/brewers/adirondack-brewery/3998/,https://www.facebook.com/pages/Adirondack-Pub-Brewery/240055325493
61,True,Gouverneur,USA,Adirondack Toboggan Microbrewery,13642,New York,202A West Main Street,(315) 276-5813,Microbrewery,/brewers/adirondack-toboggan-microbrewery/18762/,https://www.facebook.com/pages/Adirondack-Toboggan-Company-Microbrewery/462242810551383
62,True,Guspini (CA),Italy,Adis Scopel (Dolomiti),09012,,Via Orientale Loc Corte Semuccu,070/728539,Brew Pub,/brewers/adis-scopel-dolomiti/7972/,http://www.mondobirra.org/micro.htm
63,True,Plattsburgh,USA,ADK Hard Cider,12901,New York,7411 State Route 9,(518) 563-2750,Cidery,/brewers/adk-hard-cider/19941/,https://www.facebook.com/Adk Hard Cider
64,True,Wantage,England,Adkin,OX12 9HW,Oxfordshire,52 Adkin Way,07709 086149,Microbrewery,/brewers/adkin/8455/,http://www.adkinbrewery.co.uk/
65,True,Wiernsheim,Germany,Adler Bräu,75446,Baden-Württemberg,Bei der Linde 5,,Commercial Brewery,/brewers/adler-brau/12685/,http://www.adlerbraeu.de
66,True,Oberstadion-Moosbeuren,Germany,Adler Bräu Moosbeuren,89613,Baden-Württemberg,Biberacher Straße 17,,Brew Pub,/brewers/adler-brau-moosbeuren/26521/,http://www.brauereigasthof-moosbeuren.de
67,True,Stettfeld,Germany,Adler Bräu Stettfeld,96188,Bavaria,Bahnhofstraße 2a,(9522) 369,Brew Pub/Brewery,/brewers/adler-brau-stettfeld/3718/,http://www.adlerbraeu-stettfeld.de/
68,True,Schlüsselfeld,Germany,Adler-Bräu Schlüsselfeld,96132,Bavaria,Marktplatz 6,(9552) 359,Brew Pub/Brewery,/brewers/adler-brau-schlusselfeld/3704/,http://adler-braeu-schluesselfeld.2-www.de/
69,True,Ehingen-Rißtissen,Germany,Adler-Brauerei Föhr Rißtissen,89584,Baden-Württemberg,Rißstraße 2,07392/2138,Microbrewery,/brewers/adler-brauerei-fohr-risstissen/9665/,http://www.bierdeckelsammler.net/deu_brauerei_show_3779.htm
70,True,Erbach-Dellmensingen,Germany,Adlerbräu Dellmensingen,89155,Baden-Württemberg,Adlergasse 2,(7305) 93 119-0,Brew Pub/Brewery,/brewers/adlerbrau-dellmensingen/6293/,http://www.adler-dellmensingen.de
71,True,Tulln an der Donau,Austria,Adlerbräu Tulln,3430,,Rathausplatz 7,02272 - 62676-0,Brew Pub/Brewery,/brewers/adlerbrau-tulln/7825/,http://www.adlerbraeu.at/
72,True,Wallhausen-Michelbach,Germany,Adlerbrauerei Carl Schmetzer‎,74599,Baden-Württemberg,Reubacher Straße 3,(7955) 2234,Microbrewery,/brewers/adlerbrauerei-carl-schmetzer8206/11678/,http://www.bierdeckelsammler.net/en/brewery/31
73,True,Krauchenwies-Göggingen,Germany,Adlerbrauerei Göggingen,72505,Baden-Württemberg,Kirchweg 2,(7576) 9780,Client Brewer,/brewers/adlerbrauerei-goggingen/4405/,http://www.goegginger.de/
74,True,Geislingen-Altenstadt,Germany,Adlerbrauerei Götz,73312,Baden-Württemberg,Stuttgarter Straße  214,(7331) 304930,Commercial Brewery,/brewers/adlerbrauerei-gotz/5709/,http://www.adler-bier.de
75,True,Dürmentingen-Hailtingen,Germany,Adlerbrauerei Hailtingen,88525,Baden-Württemberg,Betzenweiler Str. 15,(49) 7371 8658,Brew Pub/Brewery,/brewers/adlerbrauerei-hailtingen/9627/,http://www.bierdeckelsammler.net/deu_brauerei_show_21.htm
76,True,Waibstadt,Germany,Adlerbrauerei Waibstadt,74915,Baden-Württemberg,Haupstrasse 38,(0) 7263 5852,Microbrewery,/brewers/adlerbrauerei-waibstadt/12745/,http://www.adler-waibstadt.de/
77,True,Southwold,England,Adnams,IP18 6JW,Suffolk,"Sole Bay Brewery, East Green",01502 727200,Commercial Brewery,/brewers/adnams/3/,https://www.facebook.com/Adnams
78,True,Purcellville,USA,Adroit Theory Brewing Company,20132,Virginia,"404 Browning Court, Unit C",(703) 722-3139,Microbrewery,/brewers/adroit-theory/18510/,https://www.facebook.com/AdroitTheory
79,True,Shoreham-by-Sea,England,Adur,BN43 5EG,West Sussex,"Adur Business Centre, Little High Street",01273 467527,Microbrewery,/brewers/adur/9594/,http://www.adurbrewery.com/
80,True,Chessington,England,Adventure,KT9 2PR,Surrey,2 Cheshire Gardens,07768 045674,Microbrewery,/brewers/adventure/14880/,https://www.facebook.com/AdventureBrewery
81,True,Stafford,USA,Adventure Brewing Company,22405,Virginia,33 Perchwood Drive,(540) 242-8876,Microbrewery,/brewers/adventure/19570/,https://www.facebook.com/adventurebrewing
82,True,Zillah,USA,Adytum Cellars,98953,Washington,390 Valley View Road,(425) 482-9030,Meadery,/brewers/adytum-cellars/6599/,https://www.facebook.com/AdytumCellars
83,True,Wichita,USA,Aero Plains Brewing,67203,Kansas,117 N Handley Street,(316) 448-2811,Microbrewery,/brewers/aero-plains-brewing/28781/,https://www.facebook.com/aeroplainsbrewing
84,True,Somerville,USA,Aeronaut Brewing Company,,Massachusetts,Union Square,,Microbrewery,/brewers/aeronaut/19230/,http://
85,True,Tottenham,England,Affinity Brew Co.,N15 4QA,Greater London,39a Markfield Road,07525 167925,Microbrewery,/brewers/affinity-brew-co/29386/,https://www.facebook.com/affinitybrewco
86,True,Temecula,USA,Aftershock Brewing Company,92590,California,28822 Old Town Front St,(951) 972-2256,Microbrewery,/brewers/aftershock/15364/,https://www.facebook.com/pages/Aftershock-Brewing-Company/327022810725767
87,True,Lombard,USA,Afterthought Brewing Company,IL,Illinois,844 N Ridge,,Microbrewery,/brewers/afterthought/31277/,https://www.facebook.com/afterthoughtbrewing/
88,True,Louisville,USA,Against the Grain Brewery,40202,Kentucky,401 East Main Street,(502) 515-0174,Brew Pub/Brewery,/brewers/against-the-grain-brewery/13546/,https://www.facebook.com/atgbrewery
89,True,Winnipeg,Canada,Agassiz Brewing (no longer a brewery - see Northern Breweries),R2H 3B4,Manitoba,24 Terracon Pl,(204) 233-4677,Microbrewery,/brewers/agassiz-brewing-no-longer-a-brewery--see-northern-breweries/1770/,http://beerme.com/brewery.php?6017
90,True,Nashua,USA,Agner & Wolf Brewery Corporation,03063,New Hampshire,4 Bud Way #16,(617) 319-9957,Microbrewery,/brewers/agner-and-wolf-brewery-corporation/18848/,https://www.facebook.com/agnerandwolf
91,True,Eugene,USA,Agrarian Ales,97408,Oregon,31115 W Crossroads Lane,(541) 687-1454,Microbrewery,/brewers/agrarian-ales/15788/,https://www.facebook.com/pages/Agrarian-Ales/129726180439628
92,True,Tesido (BZ),Italy,Agriturismo Birreria Seppila,,,Via Haspa 30,0474/950204,Brew Pub/Brewery,/brewers/agriturismo-birreria-seppila/7921/,http://www.mondobirra.org/micro.htm
93,True,Algoma,USA,Ahnapee Brewery,54201,Wisconsin,105 Navarino Street,(920) 785-0822,Microbrewery,/brewers/ahnapee-brewery/17321/,https://www.facebook.com/ahnapeebrewery
94,True,Konradsreuth,Germany,Ahornberger Landbrauerei Strößner-Bräu,95175,Bavaria,Brauereiweg 7,(9292) 95980,Commercial Brewery,/brewers/ahornberger-landbrauerei-strossner-brau/3206/,http://www.ahornberger.de/navi.html
95,True,Kutaisi,Georgia,Aia,,,Nikea 8,(331) 24005,Commercial Brewery,/brewers/aia/9101/,http://www.hvainternational.nl/pdf/List of dairy enterprises Georgia.pdf
96,True,Manchester,USA,Aigean Ales,03101,New Hampshire,"250 Commercial Street, Unit 2001",(603) 518-8550,Microbrewery,/brewers/aigean-ales/30985/,https://www.facebook.com/AigeanAles/
97,True,Hiroshima Prefecture,Japan,Aihara Shuzo Co. Ltd.,,,1-25-15，Nigatahonmachi,81-823-79-5008,Sake Producer,/brewers/aihara-shuzo-co-ltd/8966/,http://www.ugonotsuki.com/
98,True,Aiken,USA,Aiken Brewing Company,29801,South Carolina,"104 Laurens St., SW",(803) 502-0707,Brew Pub,/brewers/aiken/4017/,https://www.facebook.com/aikenbrewingcompany
99,True,Bristol - Stoke Bishop,England,Aimees Brew,BS9 1EP,Gloucestershire,"Aimees Wine House, 65 Stoke Hill",01179 683702,Microbrewery,/brewers/aimees-brew/28567/,https://www.facebook.com/Aimees-WINE-HOUSE-Ltd-120576634629084/
100,True,Acaster Malbis,England,Ainsty Ales,YO23 3UJ,North Yorkshire,"Manor Farm, Intake Lane",7983 604989,Client Brewer,/brewers/ainsty-ales/20910/,https://www.facebook.com/ainstyales
101,True,Munich,Germany,Airbräu,,Bavaria,Munich Airport (Central area + Terminal 2),(89) 97593111,Brew Pub,/brewers/airbrau/860/,http://www.airbraeu.de
102,True,San Diego,USA,Airdale Brewing Company,92121,California,"8385 Miramar Mall, Ste 206",,Client Brewer,/brewers/airdale/9800/,https://www.facebook.com/pages/Airdale-Brewing-Company/49673759080
103,True,Amherst,USA,Airline Brewing Company,04605,Maine,22 Mill Lane,(207) 584-2337,Microbrewery,/brewers/airline/28397/,https://www.facebook.com/airlinebrewingcompany
104,True,Kent,USA,Airways Brewing Company,98032,Washington,6644 S 196th St #T-100,(253) 200-1707,Microbrewery,/brewers/airways/11438/,https://www.facebook.com/airwaysbrewing
105,True,Walsall,England,AJs Ales,WS2 8QG,West Midlands,"Unit 12, Ashmore Industrial Estate",07860 585911,Microbrewery,/brewers/ajs-ales/21524/,https://www.facebook.com/Ajs-Ales-1452846181607008
106,True,Bogart,USA,Akademia Brewing Company,30622,Georgia,150 Crane Dr.,,Brew Pub/Brewery,/brewers/akademia/30709/,https://www.facebook.com/AKADEMIABC/
107,True,Louisville,USA,Akasha Brewing Company,40206,Kentucky,"909 East Market Street, Suite 700",(502) 742-7770,Microbrewery,/brewers/akasha/22225/,https://www.facebook.com/AkashaBrewing
108,True,Omaha,USA,Aksarben Brewing Company,68154,Nebraska,11337 Davenport St.,,Microbrewery,/brewers/aksarben/6606/,http://
109,True,Kaufbeuren,Germany,Aktienbrauerei Kaufbeuren,87600,Bavaria,Hohe Buchleuthe 3,(8341) 4304-0,Commercial Brewery,/brewers/aktienbrauerei-kaufbeuren/1219/,http://www.aktien-brauerei.de/
110,True,Weiler-Simmerberg,Germany,Aktienbrauerei Simmerberg,88171,Bavaria,Alte Salzstraße 45,(8387) 1016,Microbrewery,/brewers/aktienbrauerei-simmerberg/6784/,http://www.braeustatt-simmerberg.de/
111,True,Giza,Egypt,Al Ahram (Heineken),,,2 Sarwat Street,20-2-331-2300,Commercial Brewery,/brewers/al-ahram-heineken/532/,http://www.alahrambeverages.com/
112,True,Toronto,Canada,Al Friscos,M5V 2E4,Ontario,133 John Street,,Brew Pub,/brewers/al-friscos/1421/,http://www.pubcrawler.com/Template/ReviewWC.cfm/flat/BrewerID=2801
113,True,Aleppo,Syria,Al-Chark Brewery,,,,,Microbrewery,/brewers/al-chark-brewery/3001/,http://
114,True,Portland,USA,Alameda Brewing Co.,97213-1724,Oregon,4765 NE Fremont Street,(503) 460-9025,Brew Pub,/brewers/alameda/1471/,https://www.facebook.com/AlamedaBrewingCompany
115,True,Alameda,USA,Alameda Island Brewing Company,94501,California,1716 Park Street,(510) 217 8885,Microbrewery,/brewers/alameda-island/22116/,https://www.facebook.com/AlamedaIslandBrewing
116,True,San Antonio,USA,Alamo Beer Company,78202,Texas,202 Lamar Street,(210) 872-5589,Microbrewery,/brewers/alamo-beer-company/8879/,https://www.facebook.com/AlamoBeerCo
117,True,Alamogordo,USA,Alamogordo Brewing Company,88310,New Mexico,817 Scenic Drive,(505) 434-4156,Brew Pub,/brewers/alamogordo/14785/,http://http:
118,True,Chicago,USA,Alarmist Brewing,60646,Illinois,"4055 West Peterson Avenue, Rear Suite",,Microbrewery,/brewers/alarmist-brewing/22547/,https://www.facebook.com/alarmistbrewing
119,True,Anchorage,USA,Alaska Cider Company,99518,Alaska,600 W. 58 Ave. Ste B,(907) 250-8362,Cidery,/brewers/alaska-cider-company/13099/,https://www.facebook.com/pages/Celestial-Meads/60021699832
120,True,Juneau,USA,Alaskan Brewing Company,99801,Alaska,5429 Shaune Dr,(907) 780-5866,Microbrewery,/brewers/alaskan/4/,https://www.facebook.com/AlaskanBrewingCo
121,True,Kodiak,USA,Alaskan Wilderness Wines,99615,Alaska,498 Shearwater,(907) 486-1420,Meadery,/brewers/alaskan-wilderness-wines/10908/,https://www.facebook.com/pages/Alaskan-Wilderness-Wines/129826110370922
122,True,Finesville,USA,Alba Vineyard,08848,New Jersey,269 Route 627,(908) 995-7800,Cidery,/brewers/alba-vineyard/10228/,https://www.facebook.com/pages/Alba-Vineyard/250122010606
123,True,North Garden,USA,Albemarle Ciderworks,22959,Virginia,2550 Rural Ridge Lane,(434) 297-2326,Cidery,/brewers/albemarle-ciderworks/10625/,https://www.facebook.com/pages/Albemarle-Ciderworks/158971377471840
124,True,Albersthofen,Germany,Albertshöfer Sternbräu,97320,Bavaria,Hindenburgstraße 5,(0) 162 / 2699078,Microbrewery,/brewers/albertshofer-sternbrau/13706/,http://www.albertshoefer-sternbraeu.de
125,True,Albia,USA,Albia Brewing Company,52531,Iowa,11 Benton Ave,(641) 932-4085,Brew Pub,/brewers/albia/17110/,https://www.facebook.com/AlbiaBrewingCompany
126,True,Trochtelfingen,Germany,Albquell Bräuhaus,72818,Baden-Württemberg,Lindenplatz 6,(7124) 733,Brew Pub/Brewery,/brewers/albquell-brauhaus/6752/,http://www.albquell-brauhaus.de
127,True,Albuquerque,USA,Albuquerque Brewing Company,87113,New Mexico,8620 Pan American Fwy NE,(505) 797-1842,Microbrewery,/brewers/albuquerque/24543/,https://www.facebook.com/abqbrewco
128,True,Orange,USA,Alcatraz Brewing,92868,California,"20 City Blvd W, Ste R-1",(714) 939-8686,Brew Pub,/brewers/alcatraz-brewing/11144/,https://www.facebook.com/AlcatrazBrewing
129,True,Indianapolis,USA,Alcatraz Brewing Company,46204,Indiana,49 W. Maryland St. Ste 104 Circle Centre Mall,(317) 488-1230,Brew Pub,/brewers/alcatraz/283/,https://www.facebook.com/profile.php?id=1460514487
130,True,Nottingham,England,Alcazar,NG6 0GA,Nottinghamshire,"11-13 Church Street, Old Basford",0115 978 2282,Brew Pub/Brewery,/brewers/alcazar/3659/,http://www.alcazarbrewery.co.uk
131,True,Loughborough,England,Alchemist,LE11 1JX,Leicestershire,155 Meadow Lane,,Microbrewery,/brewers/alchemist/22350/,http://www.perfectpint.co.uk/real-beer-breweries/1375/Alchemist-
132,True,Atherstone,England,Aldi (UK),CV9 2SQ,Warwickshire,"Aldi Stores, Holly Lane",0844 406 8800,Client Brewer,/brewers/aldi-uk/12454/,https://www.aldi.co.uk/
133,True,Essen,Germany,Aldi-Discount (Nord/Süd & Hofer - EU + Intl.),45307,North Rhine-Westphalia,Eckenbergstraße 16,,Commissioner,/brewers/aldi-discount-nord-sud-and-hofer--eu-intl/25039/,http://www.aldi.de
134,True,Hanover,USA,Aldus Brewing Company,17331,Pennsylvania,555 Centennial Ave,,Brew Pub,/brewers/aldus/24067/,https://www.facebook.com/aldusbrewing
135,True,La Jolla,USA,Ale & Ocean Brew Pub,92037,California,7536 Fay Avenue,,Brew Pub,/brewers/ale-and-ocean-brew-pub/3162/,http://
136,True,Madison,USA,Ale Asylum,53704,Wisconsin,2002 Pankratz Street,(608) 663-3926,Brew Pub/Brewery,/brewers/ale-asylum/6879/,https://www.facebook.com/aleasylum
137,True,San Angelo in Formis (CE),Italy,Ale House,81020,,Via L. Baio loc. Coste,0823-960439,Brew Pub,/brewers/ale-house/7954/,http://www.mondobirra.org/micro.htm
138,True,San Jose,USA,Ale House Brewing Company,95118,California,4020 Colmery Ct,(408) 390-7574,Microbrewery,/brewers/ale-house/26906/,https://www.facebook.com/Ale-House-Brewing-Company-295956787124211
