,id,brewery_id,beer_style_id,brewery_type_id,post_code,loc_id,name,description,abv,calories,ibu,num_ratings,overall_rating,beer_style_rating,mean_rating,beer_style_name,beer_style_norm,brewery_name,brewery_type,city,state,zip_code,country,lat,long,style_score,review_sim,style_sim,weighted_rating,final_score
1757,4008,"13,622",81,5,"34,053",7379,Uinta Dubhe Imperial Black IPA,"Ale brewed with Hemp seed.
 
 
Introducing the newest addition to Uinta Brewing Company's lineup, Dubhe (pronounced Doo-bee), an Imperial Black IPA. 
 
Dubhe was named after Utah's Centennial Star, a star classified as a Red Giant.  Dubhe, the star, appears orange in color, and is found at the top end of the big dipper's spoon. The name ??Dubhe?? continues Uinta's tradition of celebrating the great state of Utah, however, ??Dubhe?? is a fitting name for more than that reason: this beer is as black as the night sky and is brewed with an astronomical amount of hops.
 
 Dubhe is comprised of five hop varieties, a hop profile bold enough to shine through the roasted, dark malt character of this beer. A citrusy hop aroma, achieved by dry hopping with a proprietary blend of extreme Northwest hops, balanced with notes of mild dark chocolate and a hint of sweet licorice. Smooth from start to finish, Dubhe's layered flavor profile emerges with rich and rounded toasted malt flavors, and is followed by a lively hop bitterness. At over 5 pounds of hops per barrel, Dubhe is the most hop-laden beer Uinta has ever produced.

 This shinning new addition is brewed with hemp seed (A play on the name, perhaps?), and has a far-out ABV of 9.2%.",9.2,276.0,84.1875,834,98,98,,Black IPA,IPA,Uinta Brewing Company,Brew Pub/Brewery,Salt Lake City,UT,84104.0,USA,40.750628,-111.94077,6,0.0,35.6688361145,19.6712426295,55.340078744
1742,3977,"12,507",81,3,"12,182",17514,Stone Enjoy By Black IPA,"Bottled and consistently delivered faster than any other IPA on the planet to ensure the ultimate in freshness. Stone Enjoy By IPA facilitated a paradigm shift in respect for and enjoyment of hoppy beers. Stone Enjoy By Black IPA is the onyx yin to the freshness-envelope-pushing yang. It similarly rewards hoppy beer enthusiasts with the amazingly in-your-face dankness that only an ??ber focus on now can bring. Cracking open a bottle allows one to experience this beer's vibrant hop aromas and flavors to their fullest against a perfect symbiotic, complex, and roasty canvas. Stone Enjoy By Black IPA is proof that its never too soon to experience the now; its far better to be early than late with this deep dark wonder!",9.4,282.0,84.1875,138,99,99,,Black IPA,IPA,Stone Brewing,Commercial Brewery,Escondido,CA,92029.0,USA,33.087868,-117.11558,6,0.0,35.1089305772,19.8083866459,54.9173172231
570,1186,"12,507",30,3,"12,182",17514,Stone Enjoy By IPA,"You have in your hands a devastatingly fresh double IPA.  While freshness is a key component of many beers- especially big, citrusy, floral IPAs- we've taken it further, a lot further, in this IPA.  You see, we specifically brewed it NOT to last.  We've not only gone to extensive lengths to ensure that you're getting this beer in your hands within an extraordinarily short window, we made sure that the Enjoy By date isn't randomly etched in tiny text somewhere on the bottle, to be overlooked by all but the most attentive of retailers and beer fans.  Instead, we've sent a clear message with the name of the beer itself that there is no better time than right now to enjoy this IPA. 
 
 
Batch List: 
Enjoy By 09-21-12??????Enjoy By 02-15-13??????Enjoy By 02-14-14    Enjoy By 02-14-15    
Enjoy By 11-09-12??????Enjoy By 04-01-13??????Enjoy By 04-20-14    Enjoy By 04-20-15 
Enjoy By 12-21-12??????Enjoy By 04-20-13??????Enjoy By 05-16-14    Enjoy By 05-17-13  
Enjoy By 07-04-14   Enjoy By 07-04-13???? Enjoy By 08-16-14    Enjoy By 08-02-13 
Enjoy By 09-20-14   Enjoy By 09-13-13???? Enjoy By 10-31-14    Enjoy By 10-25-13 
Enjoy By 12-05-14   Enjoy By 11-12-13???? Enjoy By 12-26-14    Enjoy By 12-13-13 
Enjoy By 10-31-15   Enjoy By 07-04-16",9.4,282.0,84.1875,1709,100,100,,Imperial IPA,IPA,Stone Brewing,Commercial Brewery,Escondido,CA,92029.0,USA,33.087868,-117.11558,6,0.0,34.9252206854,19.9623956134,54.8876162988
1135,2569,"9,658",57,4,"28,926",9349,OEC Aeris,"Strongly hopped, light colored north German style ale, brewed with over 40% wheat malt. Dry hopped and lagered. Our interpretation of a style brewed in Einbeck in the 1300's.",6.2,186.0,57.0,13,97,82,3.92,Traditional Ale,Brown/Amber Ale,OEC Brewing (Ordinem Ecentrici Coctores),Microbrewery,Oxford,CT,6478.0,USA,41.428163,-73.12729,8,36.15786076,0.889402740236,17.7064681668,54.753731667
162,307,"13,400",30,4,"25,265",15190,Tree House Very Hazy,"A kicked up version of Haze, Very Hazy is a beer that makes us Very Happy! Very Hazy conveys all the beautiful flavors of Haze, but with even greater depth and potency. Pungent grapefruit notes greet your palate while an underlying current of soft tropical fruit dances in the background. Just the right amount of bitterness balances the sweet fruit flavors while a velvety soft mouthfeel make you easily (and dangerously!) forget this one clocks in at 8.6% ABV. A huge and beautiful beer that maintains softness and delicacy - a beer we are very excited about!",8.6,258.0,84.1875,29,100,100,4.28,Imperial IPA,IPA,Tree House Brewing Company,Microbrewery,Monson,MA,1057.0,USA,42.089269,-72.317,6,0.0,34.9252206854,19.8231819763,54.7484026617
574,1191,"5,056",30,3,"29,400",8515,Firestone Walker Double Jack IPA,"Double Jack IPA is our first ever Imperial IPA. It features a big malty middle to cloak the high alcohol and mouth puckering hop bitterness. Huge tangerine, grapefruit and juicy fruit aroma blossom over the herbal blue basil and malt earthiness of this aggressive beer. Best enjoyed in moderation.",9.5,285.0,84.1875,1734,100,99,,Imperial IPA,IPA,Firestone Walker Brewing (Duvel-Moortgat),Commercial Brewery,Paso Robles,CA,93446.0,USA,35.640589,-120.70418,6,0.0,34.5992256606,19.962831091,54.5620567515
580,1198,390,30,6,"14,553",26038,Arizona Wilderness DC Mountain Double IPA,"Many of you craft beer aficionados began your beer-drinking lives with yellow swill out of horse troughs and gas stations. Then, in a moment of serendipity, a certain beer graced your palate and changed your destiny of taste. If this Double IPA was given too early, the tongue of the inexperienced beer drink may shrivel up and die in the desert of hops. Not you though; you have reached your beernucopia and can appreciate massive amounts of expensive hops. Let's see ?? Centennial, Chinook, Columbus, Citra, Cascade (whole cone), and Galaxy hops joined the party. A blend of malts that unifies this ale into a pint of pine, dank, citrus, mango, and pleasure. Enjoy, good person, you are a craft beer lover. Previously known as Dos Cabezas Double IPA",8.5,255.0,84.1875,51,100,99,,Imperial IPA,IPA,Arizona Wilderness Brewing Company,Brew Pub,Gilbert,AZ,85233.0,USA,33.348593,-111.80833,6,0.0,34.5992256606,19.8313576458,54.4305833064
583,1201,"7,666",30,5,415,18536,La Cumbre Full Nelson,Nelson Sauvin is an incredibly aggressive hop and this beer harnesses that to put the beat down. Will you tap out before finishing the pint?,8.5,255.0,84.1875,29,100,99,4.16,Imperial IPA,IPA,La Cumbre Brewing Company,Brew Pub/Brewery,Albuquerque,NM,87107.0,USA,35.134094,-106.64073,6,0.0,34.5992256606,19.8231819763,54.4224076369
146,289,"13,331",30,4,"9,749",18793,Toppling Goliath King Sue,Citra Double IPA,8.5,255.0,84.1875,188,100,100,,Imperial IPA,IPA,Toppling Goliath,Microbrewery,Decorah,IA,52101.0,USA,43.345879,-91.77187,6,0.0,34.4323085162,19.8690599021,54.3013684184
1740,3974,"10,269",81,4,"7,014",11056,Pipeworks / 4 Hands Black Tuna,Black Imperial IPA Brewed with Honey,9.5,285.0,84.1875,22,99,100,4.06,Black IPA,IPA,Pipeworks Brewing Company,Microbrewery,Chicago,IL,60647.0,USA,41.921126,-87.70085,6,0.0,34.4323085162,19.8105640127,54.2428725289
367,1209,"5,787",66,5,"39,965",19559,Grand Teton Double Vision Doppelbock,"Double Vision Doppelbock was first brewed in 2009 to highlight our brewery's wonderful water.  
Like all the great traditional brewing towns, our home, Victor, Idaho, is in or near some of the 
world's best barley- and hop-growing regions, and is distinguished by an ample supply of top-
quality water.

Our Double Vision Doppelbock is brewed with Idaho 2-Row Pale and German Munich, Cara-
Aroma, CaraMunich and de-husked Carafa malts to an original gravity of 22?? Plato.  The malts 
provide a dark leather color with ruby notes, a luxurious tan head, and a bready aroma with 
a hint of smoke.  It is lightly spiced with German Hallertau Tradition hops and fermented with 
lager yeast from a monastery brewery near Munich.  In the traditional manner, Double Vision 
is fermented cold (48??F) and lagered a full 12 weeks for smoothness.  At 8.0% alcohol by 
volume, it is a deceptively drinkable springtime warmer.

The 17th century Paulist monks of Munich were allowed no solid food during their twice-yearly 
fasts.  They brewed an especially nourishing strong dark lager they called ??liquid bread?? and 
named ??Holy Father?? to help them through the Lenten and Advent fasts.  The beer was known 
as a doppelbock, which signifies a strong lager.  Since ??bock?? also means ??billy goat?? in German, 
these beers are often decorated with images of gallivanting goats.  

Double Vision's slightly burnt caramel flavor and malt sweetness make it an incredible match 
for game??venison, moose, duck, goose, and wild boar??especially when prepared with fruity 
sauces or reductions.  Try it with pork and saut??ed apples, roasted root vegetables, sweet 
sausages, ham or prosciutto.  It's wonderful with cheese and dessert, too.  Pair it with an aged 
gruy??re, a caramel flan, or a cr??me br??l??e.",8.0,240.0,40.0,130,98,99,,Doppelbock,Bock,Grand Teton Brewing Co.,Brew Pub/Brewery,Victor,ID,83455.0,USA,43.636332,-111.14842,11,35.5372238,0.0617728166415,18.6424964942,54.2414931109
1752,4006,"9,653",81,4,"13,271",4667,Odell Mountain Standard Double Black IPA,"As the Colorado hop growers prove they can produce world class hops, we as a Colorado craft brewer want to showcase what our state can offer, not only with the ingredients used in crafting them. Mountain Standard Double Black IPA showcases the homegrown hops our brewers helped pick from farms along Colorado's western slope. MST pours committingly dark with a light brown head and a slightly roasted hoppy nose. An ephemeral bitterness, the result of combining roasted malts with an assertive American hop profile, contributes to MST's act of balance and harmony within nature or your glass. As the season's darkness sets in why shouldn't your beer become darker as well?",9.5,285.0,84.1875,319,98,98,,Black IPA,IPA,Odell Brewing Company,Microbrewery,Fort Collins,CO,80524.0,USA,40.606962,-105.05106,6,0.0,34.4323085162,19.7205702389,54.1528787552
582,1200,"13,418",30,4,"4,092",17848,Trillium Mettle,"In the spirit of tenacity and camaraderie, Mettle was first created to highlight the milestone of our inaugural year as a brewery. With an intense dual dry-hop treatment of Amarillo and Citra, this medium-bodied Double IPA beckons with aromatics of peach and nectarine. A fusion of grape juice and candied citrus greet the palate while accents of white-wine, grassy hop, and a mellow bitterness reveal themselves on a smooth, dry finish. We continue to brew Mettle in recognition of our devoted following of hopheads that have supported us from the very beginning. 

ABV: 8.4% 

MALT: American 2-row Barley, Valley Danko Rye, Valley Triticale, Valley Wheat, Dextrine, Dextrose 

HOPS: Amarillo, Citra, Columbus Batch 1 released March 2014 Batch 2 released December 2014 Batch 3 released 10/14/2015 Batch 4 released 12/10/15 Batch 5 released 1/22/16",8.4,252.0,84.1875,150,100,99,,Imperial IPA,IPA,Trillium Brewing Company,Microbrewery,Boston,MA,2210.0,USA,42.347974,-71.04463,6,0.0,34.035110989,19.8604034825,53.8955144715
1772,4030,"8,447",15,4,"13,838",3494,Maine Beer MO,"Our first run at an American Pale Ale.  Flavors and aromas of zesty citrus, passionfruit, and pine present themselves throughout.  A very subtle malt sweetness for balance, but this is intended to finish dry.",6.0,180.0,40.4255319149,555,99,100,,American Pale Ale,Pale Ale,Maine Beer Company,Microbrewery,Freeport,ME,4032.0,USA,43.843778,-70.10172,5,34.4670844,-0.0809442325405,19.4654652582,53.8516054256
1735,3982,"14,267",81,6,"1,502",13139,Wicked Weed Ruffian Imperial Black IPA,"Hopheads and dark beer lovers alike, this beer is for you.  This 9.6% ABV beast of a beer is black as night and dry hopped like a double IPA.  We use de-husked black malt to achieve a dark color without the astringent flavors normally found in stouts.",9.6,288.0,84.1875,28,99,99,4.01,Black IPA,IPA,Wicked Weed Brewing (AB-InBev),Brew Pub,Asheville,NC,28801.0,USA,35.595661,-82.55632,6,0.0,34.035110989,19.8104240307,53.8455350197
586,1210,667,66,4,"34,355",6960,Ballast Point Navigator Doppelbock - Brandy Barrel,"Navigator Doppelbock is our interpretation of the classic German style.  It
is a strong, malty lager.  The high level of residual sweetness that comes
from the use of Crystal Malts lends a flavor that is often compared to
raisins or prunes.  When we were able to acquire an empty brandy barrel from
one of our friends at a central California winery, we thought this beer
would be a perfect match.  The vinous character imparted by the barrel
really went well with the complex sweetness already present in the beer.
Lots of breweries do barrel aging in whiskey or bourbon barrels, but I don't
know any others who have put out a brandy barrel aged beer.  We tried it
with our Victory at Sea Imperial Porter in 2007, and it was good, but the
flavors were kind of all over the place.  I think we found a great match
with this beer and these barrels.",10.0,300.0,33.6,43,99,100,,Doppelbock,Bock,Ballast Point Brewing Company (Constellation),Microbrewery,San Diego,CA,92110.0,USA,32.766482,-117.20077,11,38.86110304,-3.48675393585,18.3238891371,53.6982382413
581,1199,153,30,4,"42,198",28166,AleWerks Bitter Valentine,"Our Double IPA is loaded with Pacific Northwest hops blended with a light malt backbone. A bitter Valentine for you to love, how ever unrequited.",8.3,249.0,84.1875,176,100,99,,Imperial IPA,IPA,AleWerks Brewing Company,Microbrewery,Williamsburg,VA,23188.0,USA,37.322936,-76.75793,6,0.0,33.4305881205,19.8664445942,53.2970327146
566,1182,"6,469",30,4,"15,509",16829,Hill Farmstead Society & Solitude #4,Double Citra meets Double Galaxy,8.3,249.0,84.1875,167,100,100,,Imperial IPA,IPA,Hill Farmstead Brewery,Microbrewery,Greensboro Bend,VT,5842.0,USA,44.574196,-72.24333,6,0.0,33.2926907455,19.8644135103,53.1571042558
587,1214,"12,982",66,4,"12,730",28563,The Duck-Rabbit Duck-Rabbator Dopplebock,"The Duck-Rabbitor Dopplebock is a powerfully malty German-style lager. The malty /
grainy flavors so dominate this beer, it's like a whole loaf of bread in every glass! Is it a
beverage or is it a meal? It's both.",8.5,255.0,33.6,218,98,99,,Doppelbock,Bock,The Duck-Rabbit Craft Brewery,Microbrewery,Farmville,NC,27828.0,USA,35.598204,-77.59066,11,37.08914996,-2.95988727674,18.8482771239,52.9775398072
576,1193,"13,400",30,4,"25,265",15190,Tree House Doppelganger,This beer is an imperial version of Alter Ego. It is intensely kettle and dry hopped to produce a pungent and flavorful Double IPA that is super pleasant to drink.  It is simply and easily described as a juicy and dank citrus bomb.,8.2,246.0,84.1875,104,100,99,,Imperial IPA,IPA,Tree House Brewing Company,Microbrewery,Monson,MA,1057.0,USA,42.089269,-72.317,6,0.0,32.7958221806,19.8482601003,52.6440822809
571,1187,"13,400",30,4,"25,265",15190,Tree House Haze,"We constructed this beer around hops we currently have plenty of access to, allowing us to re-brew it on a (relatively) consistent basis. We smell a ton of orange on the nose, with complimentary notes of peach and passionfruit. The flavor is similar with a blast of citrus fruit & orange quickly followed by spicy grapefruit, and earthy dankness. A lingering but pleasant hop oil finish awaits.",8.2,246.0,84.1875,165,100,100,,Imperial IPA,IPA,Tree House Brewing Company,Microbrewery,Monson,MA,1057.0,USA,42.089269,-72.317,6,0.0,32.6698565467,19.8639537405,52.5338102871
152,297,"8,447",30,4,"13,838",3494,Maine Beer Dinner,"Our first Double IPA ?? dry, refreshing and hoppy. We really focused on hop flavor and aroma here. To maximize hop character, we dry hopped Dinner twice with over 6 lbs. of hops per barrel. For the best experience, please enjoy fresh as possible.

Malt: 2-Row, CaraPils, Caramel 40 & Dextrose

Hops: Citra, Falconer's Flight, Mosaic & Simcoe.",8.2,246.0,84.1875,152,100,100,,Imperial IPA,IPA,Maine Beer Company,Microbrewery,Freeport,ME,4032.0,USA,43.843778,-70.10172,6,0.0,32.6698565467,19.8608875191,52.5307440657
167,312,"13,400",30,4,"25,265",15190,Tree House Juice Machine (2015- ),"Reworked rendition of a beer that debuted at EBF 2014.  Updated recipe and 1.6% less abv.  If you had this beer at EBF 2014, please rate it under Juice Machine (2014).  Otherwise, your rating should go here.",8.2,246.0,84.1875,35,100,100,4.25,Imperial IPA,IPA,Tree House Brewing Company,Microbrewery,Monson,MA,1057.0,USA,42.089269,-72.317,6,0.0,32.6698565467,19.8254892936,52.4953458402
145,288,"13,171",30,4,"26,021",15101,Three Floyds Dreadnaught Imperial IPA,"A hophead's dream beer. This Imperial India Pale Ale has an opening salvo of mango, peach and citrus hop aromas that sit atop a pronounced caramel malt backbone. Although Dreadnaught is a strong and intensely hoppy ale, its complex flavors is both smooth and memorable.  9.5% ABV, 100 IBUs.",9.5,285.0,100.0,2157,100,100,,Imperial IPA,IPA,Three Floyds Brewing Company,Microbrewery,Munster,IN,46321.0,USA,41.551457,-87.50143,6,0.0,32.2794468673,19.9689208109,52.2483676782
1747,3992,"7,535",81,4,"1,817",1770,Knee Deep Midnight Hoppyness,Double Black Rye IPA (Midnight Hoppyness) - This one clocks in at 9.5 % ABV and over 100 IBU's.  This one will also be available in bottles soon. Will be named Midnight Hoppyness.,9.5,285.0,100.0,149,99,99,,Black IPA,IPA,Knee Deep Brewing Company,Microbrewery,Auburn,CA,95602.0,USA,38.976837,-121.09142,6,0.0,32.3989398317,19.8082258707,52.2071657024
591,1227,"3,088",66,4,"24,488",5808,Capital Autumnal Fire,"A blazing rich beer, this is a doppelbock based on an Oktoberfest personality. Warm and intriguing, the perfect ""Brandy Snifter"" beer. Available September and October.",8.5,255.0,33.6,478,96,98,,Doppelbock,Bock,Capital Brewery,Microbrewery,Middleton,WI,53562.0,USA,43.103711,-89.51106,11,35.67374468,-2.9811905352,18.8546223955,51.5471765403
1744,3981,"12,692",81,4,"24,923",23182,Surly Blakkr,Imperial black ale.,9.99,300.0,85.0,317,99,99,,Black IPA,IPA,Surly Brewing Company,Microbrewery,Minneapolis,MN,55414.0,USA,44.980379,-93.23003,6,0.0,31.7347381737,19.8063629112,51.5411010849
1732,3965,"5,056",81,3,"29,400",8515,Firestone Walker Wookey Jack Black Rye IPA,"Wookey Jack is our first foray into the dark outer world of black IPAs.  Rich dark malts and spicy rye careen into bold citrus laden hops creating a new dimension in IPA flavor.  This brew has been left unfiltered and unfined to retain all of its texture and character.  At 60 IBUs, Wookey Jack is gnarly on the outside yet complex and refined on the inside.",8.3,249.0,80.0,1270,100,100,,Black IPA,IPA,Firestone Walker Brewing (Duvel-Moortgat),Commercial Brewery,Paso Robles,CA,93446.0,USA,35.640589,-120.70418,6,0.0,31.4212034846,19.952655048,51.3738585326
573,1190,"6,469",30,4,"15,509",16829,Hill Farmstead Society & Solitude #3,Society and Solitude #3: The series of experimental Double IPAs continues.  This one is hopped with ample amounts of Columbus and is reminiscent of?? an Imperial Harlan.,8.0,240.0,84.1875,122,100,99,,Imperial IPA,IPA,Hill Farmstead Brewery,Microbrewery,Greensboro Bend,VT,5842.0,USA,44.574196,-72.24333,6,0.0,31.4628229771,19.8532551812,51.3160781584
584,1204,"13,418",30,4,"4,092",17848,Trillium Scaled Up,"The first Double IPA produced at our Canton brewery. Featuring four powerful aromatic hop varieties, Galaxy, Mosaic, Nelson Sauvin, and Columbus, Scaled Up emits dank, spicy, aromas that lead into fruity, citrusy flavors of peach and orange on the palate. Lighter in body than most of our other Double IPAs, Scaled Up finishes dry and smooth with a pleasant bitterness.
 
ABV: 8%
 
MALT: Pilsner, White Wheat, Flaked Wheat, Dextrine, Dextrose, C-15
 
HOPS: Galaxy, Mosaic, Nelson Sauvin, Columbus Batch 1 released 12/17/15 Batch 2 released 1/8/16",8.0,240.0,84.1875,79,100,99,,Imperial IPA,IPA,Trillium Brewing Company,Microbrewery,Boston,MA,2210.0,USA,42.347974,-71.04463,6,0.0,31.4628229771,19.8407303553,51.3035533324
575,1192,"13,418",30,4,"4,092",17848,Trillium Headroom,"Ladies and gentlemen, prepare your palates...
 
Simply put, Headroom is the hoppiest beer we've ever brewed with more than 7 lbs. per barrel featuring heavy doses of Galaxy & Mosaic. This is a truly special Double IPA brewed only once a year, released during the last two summers to celebrate Hop Jam; Vermont's annual lupulin-centric beer fest. Headroom embodies our hoppy coup de gr??ce (for now)- we hope you enjoy! 
 
Dank. Citrus. Tropical Fruit. Juice.   
 
ABV: 8%
 
MALT: Pilsner, Valley Wheat, Flaked Wheat, Dextrine, Dextrose
 
HOPS: Galaxy, Mosaic, Columbus Batch #1 released 8/21/15 
Batch #2 released 8/27/16",8.0,240.0,84.1875,32,100,99,4.17,Imperial IPA,IPA,Trillium Brewing Company,Microbrewery,Boston,MA,2210.0,USA,42.347974,-71.04463,6,0.0,31.4628229771,19.8243432115,51.2871661886
