"","name","ibu","abv","calories","beer_style_name","beer_style_norm","num_ratings","overall_rating","brewery_name","brewery_type","city","state","zip_code","post_code","loc_id","lat","long"
"22","Live Oak Hefe Weizen",NA,5.2,156,"German Hefeweizen","Wheat Beer",366,98,"Live Oak Brewing Company","Microbrewery","Austin","TX","78702","1,948","26624",30.265158,-97.71879
"23","Hill Farmstead Everett - Bourbon Barrel Aged (2014-)",NA,NA,NA,"Porter","Porter",90,99,"Hill Farmstead Brewery","Microbrewery","Greensboro Bend","VT","05842","15,509","16829",44.574196,-72.24333
"24","Grimm Super Going",NA,4.8,144,"Grodziskie/Gose/Lichtenhainer","Sour",64,98,"Grimm Artisanal Ales","Client Brewer","Brooklyn","NY","",NA,"4881",40.695286,-73.98907
"25","Westbrook Gozu",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",182,98,"Westbrook Brewing","Microbrewery","Mount Pleasant","SC","29464","25,875","6745",32.813518,-79.85899
"26","Grimm Super Spruce",NA,4.7,141,"Grodziskie/Gose/Lichtenhainer","Sour",63,98,"Grimm Artisanal Ales","Client Brewer","Brooklyn","NY","",NA,"4881",40.649059,-73.93304
"27","Tired Hands PermaShore",NA,6.8,204,"Grodziskie/Gose/Lichtenhainer","Sour",22,97,"Tired Hands Brewing Company","Brew Pub/Brewery","Ardmore","PA","19003","1,264","18571",40.000861,-75.29694
"28","Arizona Wilderness / Beavertown Opinyonated Gratzer",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",11,98,"Arizona Wilderness Brewing Company","Brew Pub","Gilbert","AZ","85233","14,553","26038",33.348593,-111.80833
"29","Anchorage Whiteout Wit Bier",20,6.5,195,"Witbier","Wheat Beer",402,97,"Anchorage Brewing Company","Microbrewery","Anchorage","AK","99515","958","29536",61.122943,-149.88852
"30","De Garde Cherry Raz Gose",NA,5.4,162,"Grodziskie/Gose/Lichtenhainer","Sour",11,97,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","38,521","11640",45.459109,-123.80389
"31","The Veil Never Forever",NA,4.9,147,"Grodziskie/Gose/Lichtenhainer","Sour",26,97,"The Veil Brewing Company","Microbrewery","Richmond","VA","23230","32,285","23801",37.580346,-77.48831
"32","Tampa Bay Gourds Gone Wild Pumpkin",NA,5.5,165,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",24,98,"Tampa Bay Brewing Co.","Brew Pub","Tampa","FL","33605","38,090","24636",27.963849,-82.43193
"33","Highlands Hollow Thunder Monkey",NA,NA,NA,"Premium Bitter/ESB","Pale Ale",10,88,"Highlands Hollow","Brew Pub","Boise","ID","83702","3,890","18302",43.627734,-116.20756
"34","New Glarus Hopster",NA,5.9,177,"Wheat Ale","Wheat Beer",394,98,"New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","26,685","20574",42.81636,-89.64075
"35","Dangerous Man Peanut Butter Porter",29,5.3,159,"Porter","Porter",43,99,"Dangerous Man Brewing Company","Microbrewery","Minneapolis","MN","55413","24,922","23182",44.997665,-93.24927
"36","Modern Times Fruitlands - Passion Fruit & Guava",NA,4.9,147,"Grodziskie/Gose/Lichtenhainer","Sour",79,97,"Modern Times Beer","Microbrewery","San Diego","CA","92110","34,355","6960",32.766482,-117.20077
"37","Rapp Gose",10,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",121,97,"Rapp Brewing Company","Microbrewery","Largo","FL","33777","20,692","1444",27.851052,-82.76111
"38","Perennial Suburban Beverage",NA,4.2,126,"Grodziskie/Gose/Lichtenhainer","Sour",123,97,"Perennial Artisan Ales","Microbrewery","Saint Louis","MO","63111","33,751","4037",38.559302,-90.25174
"39","De Garde Azacca Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",19,97,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","38,521","11640",45.459109,-123.80389
"40","Marz Jungle Boogie",44,5.4,162,"Wheat Ale","Wheat Beer",62,97,"Marz Community Brewing Company","Microbrewery","Chicago","IL","60608","6,978","11056",41.850532,-87.6699
"41","Southern Tier Oaked Pumking",NA,8.6,258,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",67,99,"Southern Tier Brewing Company (ABV)","Commercial Brewery","Lakewood","NY","14750","20,423","23514",42.098657,-79.32439
"42","Noble Ale Works Naughty Sauce",NA,5.5,165,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",44,99,"Noble Ale Works","Microbrewery","Anaheim","CA","92806","935","14147",33.835465,-117.87362
"43","Selins Grove Pumpkin Ale",NA,4.7,141,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",38,99,"Selins Grove Brewing Co.","Brew Pub","Selinsgrove","PA","17870","35,338","7755",40.812047,-76.86138
"44","Hardywood Bourbon GBS (Gingerbread Stout)",55,11,330,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",138,99,"Hardywood Park Craft Brewery","Microbrewery","Richmond","VA","23220","32,286","23801",37.549396,-77.45739
"45","Allagash Ghoulschip",NA,7,210,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",107,98,"Allagash Brewing Company","Microbrewery","Portland","ME","04103","30,945","11808",43.685882,-70.2903
"46","Midnight Sun T.R.E.A.T. Imperial Chocolate Pumpkin Porter",30,7.8,234,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",446,99,"Midnight Sun Brewing Company","Microbrewery","Anchorage","AK","99507","973","29536",61.154834,-149.82865
"47","Wicked Weed Barrel Aged Xibalba",NA,9.5,285,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",24,99,"Wicked Weed Brewing (AB-InBev)","Brew Pub","Asheville","NC","28801","1,502","13139",35.595661,-82.55632
"48","Avery Rumpkin",15,18.1,543,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",453,99,"Avery Brewing Company","Commercial Brewery","Boulder","CO","80301","4,134","18719",40.044385,-105.21928
"49","Blue Tractor Schakolad Weizen",NA,5.5,165,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",23,98,"Blue Tractor BBQ & Brewery","Brew Pub","Ann Arbor","MI","48104","1,091","13177",42.266805,-83.72297
"50","Avery Pump[KY]n",NA,16.54,496,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",248,98,"Avery Brewing Company","Commercial Brewery","Boulder","CO","80301","4,134","18719",40.044385,-105.21928
"51","Saint Arnold Bishop??s Barrel #9",NA,12.9,387,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",24,98,"Saint Arnold Brewing Company","Brew Pub/Brewery","Houston","TX","77020","17,705","8885",29.775927,-95.31836
"52","Elysian Punkuccino Coffee Pumpkin Ale",NA,5,150,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",147,98,"Elysian Brewing (AB InBev)","Commercial Brewery","Seattle","WA","",NA,"13678",47.61487,-122.34578
"53","Southern Tier Rum Barrel Aged Pumking",NA,10.7,321,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",95,98,"Southern Tier Brewing Company (ABV)","Commercial Brewery","Lakewood","NY","14750","20,423","23514",42.098657,-79.32439
"54","Cigar City Good Gourd Imperial Pumpkin Ale",35,8.5,255,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",380,97,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"55","Saint Arnold Pumpkinator Imperial Pumpkin Stout",NA,10,300,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",307,97,"Saint Arnold Brewing Company","Brew Pub/Brewery","Houston","TX","77020","17,705","8885",29.775927,-95.31836
"56","HammerHeart Thor??s Imperial Porter",NA,9.5,285,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",21,97,"HammerHeart Brewing Company","Microbrewery","Circle Pines","MN","55014","7,295","30253",45.153516,-93.14463
"57","Pipeworks The One Horned Wonder and His Fanciful Flying Fresno",NA,9,270,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",22,98,"Pipeworks Brewing Company","Microbrewery","Chicago","IL","60647","7,014","11056",41.921126,-87.70085
"58","Epic Old Sage Brett",NA,7.6,228,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",33,97,"Epic Brewing Company (UT/CO)","Microbrewery","Salt Lake City","UT","84111","34,083","7379",40.7547,-111.88361
"59","Lakefront Imperial Pumpkin (2014-)",NA,9.5,285,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",50,97,"Lakefront Brewery","Microbrewery","Milwaukee","WI","53212","24,813","6239",43.11941,-87.94727
"60","Craftsman Triple White Sage",NA,9,270,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",60,97,"Craftsman Brewing Co.","Microbrewery","Pasadena","CA","91103","29,365","16845",34.166706,-118.159
"61","Buffalo Bills Black Pumpkin Oatmeal Stout",40,7.9,237,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",41,97,"Buffalo Bills Brewery","Microbrewery","Hayward","CA","94541","16,602","6493",37.674431,-122.08883
"62","Cigar City Cucumber Lager",NA,5,150,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",16,97,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"63","Kuhnhenn All Hallows Ale",NA,6.5,195,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",45,96,"Kuhnhenn Brewing","Brew Pub","Warren","MI","48092","40,506","23808",42.511293,-83.0597
"64","Odd Side Ales Sweet Potato Souffl?? Rye Whiskey Barrel Aged Ale",NA,11,330,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",15,96,"Odd Side Ales","Brew Pub/Brewery","Grand Haven","MI","49417","15,132","13801",43.04117,-86.19013
"65","Maine Beer King Titus",NA,7.5,225,"Porter","Porter",459,99,"Maine Beer Company","Microbrewery","Freeport","ME","04032","13,838","3494",43.843778,-70.10172
"66","Southern Tier Pumking",NA,8.6,258,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",1924,97,"Southern Tier Brewing Company (ABV)","Commercial Brewery","Lakewood","NY","14750","20,423","23514",42.098657,-79.32439
"67","Elysian Dark O?? The Moon Pumpkin Stout",NA,7.6,228,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",319,97,"Elysian Brewing (AB InBev)","Commercial Brewery","Seattle","WA","",NA,"13678",47.716648,-122.30308
"68","Griffin Claw Bourbon Imperial Pumpkin (BIP)",NA,9,270,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",30,97,"Griffin Claw Brewing Company","Brew Pub","Birmingham","MI","48009","3,521","5997",42.544084,-83.21527
"69","Uinta Crooked Line Oak Jacked Imperial Pumpkin",NA,10.31,309,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",322,97,"Uinta Brewing Company","Brew Pub/Brewery","Salt Lake City","UT","84104","34,053","7379",40.750628,-111.94077
"70","Cigar City Good Gourd Almighty - Bourbon Barrel",NA,8.5,255,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",31,96,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"71","Saint Arnold Bishop??s Barrel #6",30,13,390,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",31,97,"Saint Arnold Brewing Company","Brew Pub/Brewery","Houston","TX","77020","17,705","8885",29.775927,-95.31836
"72","AleWerks Pumpkin Ale",NA,7.3,219,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",136,96,"AleWerks Brewing Company","Microbrewery","Williamsburg","VA","23188","42,198","28166",37.322936,-76.75793
"73","Armadillo Ale Works Brunch Money",70,10,300,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",30,96,"Armadillo Ale Works","Microbrewery","Denton","TX","76202","9,974","695",33.225523,-97.108546
"74","Jolly Pumpkin La Parcela No. 1 Pumpkin Ale",NA,5.9,177,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",564,96,"Jolly Pumpkin Artisan Ales","Microbrewery","Dexter","MI","48130","10,276","25362",42.344837,-83.89907
"75","Elysian The Great Pumpkin Imperial Pumpkin Ale",NA,8.1,243,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",281,96,"Elysian Brewing (AB InBev)","Commercial Brewery","Seattle","WA","",NA,"13678",47.432251,-121.803388
"76","Central Waters Headless Heron",NA,8.5,255,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",72,95,"Central Waters Brewing Co.","Microbrewery","Amherst","WI","54406","896","12037",44.421111,-89.30618
"77","Schlafly Pumpkin Ale",16,8,240,"Spice/Herb/Vegetable","Other (Cider, Mead, etc.)",525,95,"Saint Louis Brewery","Brew Pub/Brewery","Saint Louis","MO","63103","33,720","4037",38.631451,-90.21415
"78","Greenbush PHD",NA,8.4,252,"Malt Liquor","Other (Cider, Mead, etc.)",15,48,"Greenbush Brewing Company","Microbrewery","Sawyer","MI","49125","34,951","21129",41.890521,-86.59362
"79","Eden Cellar Series #2: The Falstaff",NA,10,300,"Ice Cider/Ice Perry","Other (Cider, Mead, etc.)",18,100,"Eden Ice Cider Company","Cidery","Newport","VT","05855","26,951","17524",44.936237,-72.19921
"80","Eden Northern Spy",NA,10,300,"Ice Cider/Ice Perry","Other (Cider, Mead, etc.)",61,99,"Eden Ice Cider Company","Cidery","Newport","VT","05855","26,951","17524",44.936237,-72.19921
"81","Eden Heirloom Blend Ice Cider",NA,10,300,"Ice Cider/Ice Perry","Other (Cider, Mead, etc.)",85,99,"Eden Ice Cider Company","Cidery","Newport","VT","05855","26,951","17524",44.936237,-72.19921
"82","Windfall Orchard Ice Cider",NA,9,270,"Ice Cider/Ice Perry","Other (Cider, Mead, etc.)",25,99,"Eden Ice Cider Company","Cidery","Newport","VT","05855","26,951","17524",44.936237,-72.19921
"83","Eden Honeycrisp",NA,10,300,"Ice Cider/Ice Perry","Other (Cider, Mead, etc.)",34,99,"Eden Ice Cider Company","Cidery","Newport","VT","05855","26,951","17524",44.936237,-72.19921
"84","Eden Heirloom Blend (Apple Brandy Barrels 2013)",NA,10,300,"Ice Cider/Ice Perry","Other (Cider, Mead, etc.)",16,99,"Eden Ice Cider Company","Cidery","Newport","VT","05855","26,951","17524",44.936237,-72.19921
"85","Hill Farmstead Everett",NA,7.2,216,"Porter","Porter",520,100,"Hill Farmstead Brewery","Microbrewery","Greensboro Bend","VT","05842","15,509","16829",44.574196,-72.24333
"86","Funky Buddha Maple Bacon Coffee Porter",35,6.4,192,"Porter","Porter",352,100,"Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","13,345","27821",26.182161,-80.13341
"87","Funky Buddha Last Snow Porter",35,6.4,192,"Porter","Porter",322,100,"Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","13,345","27821",26.182161,-80.13341
"88","Founders Porter",45,6.5,195,"Porter","Porter",2167,100,"Founders Brewing Company","Microbrewery","Grand Rapids","MI","49503","15,169","13540",42.964176,-85.65885
"89","Sante Adairius Vanilla Joe",NA,6.8,204,"Porter","Porter",29,99,"Sante Adairius Rustic Ales","Microbrewery","Capitola","CA","95010","5,825","13512",36.9761,-121.95316
"90","Hill Farmstead Twilight of the Idols",NA,7.5,225,"Porter","Porter",296,99,"Hill Farmstead Brewery","Microbrewery","Greensboro Bend","VT","05842","15,509","16829",44.574196,-72.24333
"91","Great Lakes Edmund Fitzgerald Porter",37,5.8,174,"Porter","Porter",1807,99,"Great Lakes Brewing (Ohio)","Brew Pub/Brewery","Cleveland","OH","44113","7,567","11642",41.484688,-81.70125
"92","Willoughby Peanut Butter Cup Coffee Porter",30,5.5,165,"Porter","Porter",103,99,"Willoughby Brewing Co.","Brew Pub","Willoughby","OH","44094","42,258","15215",41.625886,-81.39929
"93","Three Floyds Precious",NA,6.3,189,"Porter","Porter",50,99,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"94","Dark Horse Reserve Special Black Ale",NA,7.5,225,"Porter","Porter",1219,99,"Dark Horse Brewing Company","Microbrewery","Marshall","MI","49068","23,323","18051",42.277837,-84.94869
"95","Ballast Point Mocha Marlin",NA,6,180,"Porter","Porter",116,99,"Ballast Point Brewing Company (Constellation)","Microbrewery","San Diego","CA","92110","34,355","6960",32.766482,-117.20077
"96","Cellarmaker Coffee and Cigarettes",35,7.2,216,"Porter","Porter",68,99,"Cellarmaker Brewing Company","Microbrewery","San Francisco","CA","94103","34,504","9350",37.772329,-122.41087
"97","Smog City Groundwork Coffee Porter",NA,6,180,"Porter","Porter",102,99,"Smog City Brewing","Microbrewery","Torrance","CA","90501","38,785","13628",33.828766,-118.31367
"98","Anchor Porter",NA,5.6,168,"Porter","Porter",3084,98,"Anchor Brewing Company","Microbrewery","San Francisco","CA","94107","34,488","9350",37.766529,-122.39577
"99","Smuttynose Robust Porter",60,6.2,186,"Porter","Porter",1401,98,"Smuttynose Brewing Company","Microbrewery","Hampton","NH","03842","16,054","22698",42.93569,-70.82514
"100","Cigar City Cookies and Milk",NA,NA,NA,"Porter","Porter",13,98,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"101","Cigar City Puppy??s Breath Robust Porter",NA,6.5,195,"Porter","Porter",237,98,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"102","Three Floyds Snow Weasel",30,6.2,186,"Porter","Porter",36,98,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"103","Cigar City Soggy Loaf Pumpernickel Rye Porter",NA,NA,NA,"Porter","Porter",51,98,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"104","Stone Smoked Porter",53,5.9,177,"Porter","Porter",2452,98,"Stone Brewing","Commercial Brewery","Escondido","CA","92029","12,182","17514",33.087868,-117.11558
"105","Creature Comforts Koko Buni",NA,6.8,204,"Porter","Porter",45,98,"Creature Comforts Brewing Company","Microbrewery","Athens","GA","30601","1,607","10240",33.979016,-83.36423
"106","Rapp Chocolate Hazelnut Porter",37,6.1,183,"Porter","Porter",25,98,"Rapp Brewing Company","Microbrewery","Largo","FL","33777","20,692","1444",27.851052,-82.76111
"107","Cellarmaker Wagoner",70,7.8,234,"Porter","Porter",21,98,"Cellarmaker Brewing Company","Microbrewery","San Francisco","CA","94103","34,504","9350",37.772329,-122.41087
"108","Trillium Sprang",NA,4.9,147,"K??lsch","Pils/Lager",37,99,"Trillium Brewing Company","Microbrewery","Boston","MA","02210","4,092","17848",42.347974,-71.04463
"109","Trillium Big Sprang",NA,7.5,225,"K??lsch","Pils/Lager",26,98,"Trillium Brewing Company","Microbrewery","Boston","MA","02210","4,092","17848",42.347974,-71.04463
"110","Bluejacket Forbidden Planet",20,4.2,126,"K??lsch","Pils/Lager",58,97,"Bluejacket","Brew Pub","Washington","DC","20003","40,793","11545",38.881762,-76.99447
"111","MadTree Gin Barrel Aged Joon",11,4.7,141,"K??lsch","Pils/Lager",13,93,"MadTree Brewing Company","Brew Pub/Brewery","Cincinnati","OH","45213","7,230","9416",39.180893,-84.41881
"112","The Cambridge House Copper Hill Kolsch",NA,5.1,153,"K??lsch","Pils/Lager",47,93,"The Cambridge House","Brew Pub","Granby","CT","06035","15,108","22353",41.959713,-72.79826
"113","Ruhstaller Exquisite Kolsch",15,5,150,"K??lsch","Pils/Lager",18,91,"Ruhstaller","Client Brewer","Sacramento","CA","95814","33,408","22470",38.580255,-121.49125
"114","Goose Island SPF",NA,5.6,168,"K??lsch","Pils/Lager",14,90,"Goose Island Beer Company (Brewpubs) AB-Inbev","Brew Pub/Brewery","Chicago","IL","60614","6,984","11056",41.922682,-87.65432
"115","Other Half / Finback Lime Green Galaxies",NA,4.8,144,"K??lsch","Pils/Lager",13,88,"Other Half Brewing","Microbrewery","Brooklyn","NY","11231","4,777","4881",40.618944,-73.98473
"116","Heater Allen Das Bier Kolsch",22,5,150,"K??lsch","Pils/Lager",17,86,"Heater Allen Brewing Co.","Microbrewery","Mcminnville","OR","97128","23,826","6448",45.210104,-123.20747
"117","Burial Billows",25,4.9,147,"K??lsch","Pils/Lager",22,81,"Burial Beer Company","Microbrewery","Asheville","NC","28801","1,502","13139",35.595661,-82.55632
"118","Victory K??hl K??lsch",NA,4.9,147,"K??lsch","Pils/Lager",30,81,"Victory Brewing Company (ABV)","Microbrewery","Downingtown","PA","19335","10,571","14117",40.02342,-75.71389
"119","Three Floyds / Sun King Slacktivist",NA,7.3,219,"K??lsch","Pils/Lager",26,83,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"120","Breakside Post Time K??lsch",16,5.1,153,"K??lsch","Pils/Lager",25,78,"Breakside Brewery","Microbrewery","Portland","OR","97211","30,990","10960",45.56544,-122.64635
"121","Huss Koffee K??lsch",NA,4.8,144,"K??lsch","Pils/Lager",30,77,"Huss Brewing Company - Tempe Taproom","Brew Pub/Brewery","Tempe","AZ","85283","38,243","23954",33.365951,-111.93155
"122","Wrecking Bar Breaking Bob K??lsch",21,4.8,144,"K??lsch","Pils/Lager",26,76,"Wrecking Bar Brewpub","Brew Pub/Brewery","Atlanta","GA","30307","1,657","28259",33.768205,-84.33786
"123","Maui Brewing Kihei K??lsch",51,5.1,153,"K??lsch","Pils/Lager",52,78,"Maui Brewing Company","Brew Pub/Brewery","Kihei","HI","96753","19,666","28929",20.771418,-156.45769
"124","Smuttynose Smuttlabs Kung Fu Hobo",NA,5,150,"K??lsch","Pils/Lager",21,78,"Smuttynose Brewing Company","Microbrewery","Hampton","NH","03842","16,054","22698",42.93569,-70.82514
"125","Peticolas Golden Opportunity",27,4.6,138,"K??lsch","Pils/Lager",35,76,"Peticolas Brewing Company","Microbrewery","Dallas","TX","75207","9,272","3353",32.78643,-96.81992
"126","Chuckanut Kolsch German Ale",NA,5,150,"K??lsch","Pils/Lager",50,75,"Chuckanut Brewery and Kitchen","Brew Pub","Bellingham","WA","98225","2,945","16309",48.747578,-122.48508
"127","Goose Island Golden Goddess",20,4.6,138,"K??lsch","Pils/Lager",16,75,"Goose Island Beer Company (AB-InBev)","Commercial Brewery","Chicago","IL","60612","6,982","11056",41.880682,-87.6877
"128","Ballast Point Tart Peach Kolsch",NA,5.2,156,"K??lsch","Pils/Lager",30,72,"Ballast Point Brewing Company (Constellation)","Microbrewery","San Diego","CA","92110","34,355","6960",32.766482,-117.20077
"129","High Water Cucumber K??lsch",15,5.4,162,"K??lsch","Pils/Lager",15,72,"High Water Brewing","Microbrewery","Pittsburg","CA","94565","30,369","1854",38.017917,-121.90502
"130","Coachella Valley K??lschella",NA,4.5,135,"K??lsch","Pils/Lager",22,73,"Coachella Valley Brewing","Microbrewery","Thousand Palms","CA","92276","38,471","12579",33.821318,-116.38023
"131","Worthy Easy Day K??lsch",25,4.5,135,"K??lsch","Pils/Lager",44,72,"Worthy Brewing Company","Microbrewery","Bend","OR","97701","3,026","4847",44.091256,-121.29769
"132","Stone Corral K??lsch",NA,4.8,144,"K??lsch","Pils/Lager",10,73,"Stone Corral Brewery","Microbrewery","Richmond","VT","05477","32,335","21641",44.392443,-72.95936
"133","MadTree Lift",11,4.7,141,"K??lsch","Pils/Lager",52,70,"MadTree Brewing Company","Brew Pub/Brewery","Cincinnati","OH","45213","7,230","9416",39.180893,-84.41881
